review,rating
"Untuk pengiriman pake JNE dapat free ongkir dan dapet diskon pula jd harganya lebih murah karena kebetulan pas lg flash sale.

Untuk kualitas barang sesuai fungsinya dan deskripsi.

Ditunggu untuk flash sale selanjutnya untuk produk Midea lainnya.

Thanks buat seller dan Lazada.

Jangan ragu belanja di Lazada dan official store.
",5
saking senenge pnya mesn cuci br.mesn bkrja.tk ada kndala.ws tk buat nyuci ping 3.trimaksh buat tokonya yng amnh.recomnd deh.jg buat pk kurir ramh.sukses slalu ya. ,5
"kulaitas produk bagus.
layanan penjual baik,ramah.
pengiriman sesuai jadwal.
recommended...

Beneran gratissss blender.. makaasihhh midea. Makasih lazada",5
blm dicoba..  nyampenya jam 12 malam.. mudah2an gk ada masalah.,4
"good barang bagus real pict, lancaarr jayaaa mantapp, pengiriman cepat, respon penjual baik 
thanks midea dan lazada. ",5
"pesen udah deket lebaran banget,  pertamanya dibilang bisa 2 minggu sampenya karena kepotong libur lebaran,  ternyata satu minggu udah sampai.
suka sama mesinnya, pengoperasian mudah. ",5
"Alhamdulillah, mesin berfungsi dgn baik.pengirimn cepat, pak kurirnya baik sabar angkatin mesinnya.lazada oke, seller tolong brikutnya gratis ongkir utk kulkas....hreee",5
"barang bagus selamat sampai tujuan aman, sudah di coba bagus wlo ada inside kecil sterofom yg bawah lupa gak di copot main nyoba nyalon mesin nya untungnya gak kenapa2 pengiriman cepat",5
"Alhamdulillah barang mendarat dengan selamat, pengiriman pakai JNE aman jaya. langsung di tes berfungsi dengan baik, semoga awet, amiin. Terimakasih ",5
brg sudah smpai pgiriman lumyan lama tpi mklum lewat jlur laut....packet aman dan safety skli....makasih midea indonesia...sellernya rmh banget...mkasih juga utk lzda dan abg kurir yg udh ngantr pketnya...,5
"mesn cuciny dah nyampe dngn slmt,paking rapi,dan mulis,lnsng dicb alhamdulilah berfungsi mdh2an awet mksh lazada tmbh sk aja blj disn, mksh JNE",5
"alhamdulillah barang sudah smpe smlm...bagus bgt,..gk ada yg lecet ..mulus...the best deh ...recommend ",5
"alhamdulilah,paket nya sudah sy terima,barang nya bagus mulus lngsng d pakai berfungsi dngn sangat baik👍👍👍thank you lazada😘",5
"Alkhamdulillah sampe sesuai estimasi,,, barng juga Alkhamdulillah di terima dalam kedaan baik,, cuma sayangnya ga di anter sampe rumah,, jadi harus ambil sendiri ke egen jne yg jaraknya 10 km dari rumah ,, kan syedih😔",5
"terkasih udah sampai mesin cuci nya cepat bgt semoga awat ,udah buat cuci berkali...semuanya normal ",5
