review,rating
"mantaff,brg dh terima walau sebnrnya sy tgu hr jumat tp its ok. kmplit smua bonusnya,thks bwt sellernya krn brg no cacat jg bwt lazada thks jg ....",5
"MANTUL,.....BOSS,......👍👍👍👍👍",5
"barang komplit&mantulll... m'ksih lazada,pak kurir jg tokonya .puas pool",5
Mantafff.... brg ok bonus dpt walaupun gk dpt mata potong utk keramik tp ga papa. yg penting brg bagus 👍 tks seller dan lazada.,5
"paket sudah diterima dengan selamat, packing rapih, gerindanya pun lengkap sesuai dengan deskripsi mantul, thanks seller dan Lazada sukses selalu",5
"alhmdulilah barang nya mantap sekali, ok punya...
sesuai gambar sangat puasss, puass sekali... cepat akurattt kmaren siang pesen pagi nya udah nyampe
.... makasih lazada...",5
"paket sudah diterima lebih cepat dari estimasi... Grindanya bagus, sudah di coba mantullll barangnya semoga awet... makasih ya... sukses selalu... ",5
"mantap gan barangnya ...
",5
barang real pict sesuai yg di etalase bonus juga sesuai dan sudah di test berfungsi dengan baik mantaabbb 👍👍 pemgiriman juga cepat 2 hari sdh sampai....trm ksh seller dan lazzada,5
"Barang bagus,",5
"real pict terimakasih mas kurir, terimakasih lazada 
terimakasih maxi",5
"mesin gerindanya udah sy terima dan barangnya bagus, semuanya komplit sesuai dengan deskripsinya dan buat seller tks banget ya semoga sllu sukses aja",5
"di terima sesuai pesanan, tidak lama, aman, tp blom di coba, semoga awet dan sesuai yg diharapkan. ",5
okey n sipp,5
"Alhamdulilla barangya sesuai degan ulasan,  semoga sukses dan tetap amanah. ",1
allhamdulillah barang ,5
Puas bgt. BRG sesuai di PIK..g da yg rusak..🙏🙏🙏🙏 lazada. Mksih kurir,5
mantap barangnya sesuai...... ,5
sip,5
baik.,4
mantap,5
