review,rating
"Pengiriman cepat, barang sesuai. Belum dicoba.
Thank you.",5
yg dipesan 300 ml yg dikirim 100 ml,1
Barang sudah mendarat.. Blm dicoba bikin kopinya..Mudah2an bagus.. Makasih lazada.. ,5
"Barang sesuai deskripsi gambar, seller terpercaya",5
"Alhamdulillah, datang dengan selamat dan produk ok, semoga berkah",5
"bagus barangnya, kurirnya jg baik tapii lama skali baru smpai barangnya 👍thanks lazada",5
"Barang bagus tidak mengecewakan, terimakasih lazada",5
"trimakasih paketnya udh smpai,sngat cepat pengirimannya,barangnya realpict.🙏🏻🙏🏻🙏🏻",5
"Pesannya sudah datang, mantafffff recommended Seller, LAZADA 👍 ",5
"Mantafffff recommended Seller 👍, Maker Moka Pot kopi nya, makasih seller 👍, LAZADA 👍 ",5
"pesanan sesuai,sudah mendarat dg tepat dan selamat makasih,jos joss joss",5
terimakasih seller,5
"barang bagus , sesuai pesanan",5
"Kecewa, tutup nya rusak ",5
"Tidak sesuai gambar, volume jg ga sesuai, bisa tuker ga ini? Beda banget",2
sesuai gambar . semoga berfungsi dengan baik. pengiriman cepat.,5
Bagus,5
