review,rating
"sumpah demi apapun cute bgt. ga pahaam lg kno bs oven seimut ini. mau dipake sayang, ga dipake jg sayang. gemes bgt sama ovennya. bisa manggang sm manasin makanaan, pas bgt buat dirumah",5
"barang bagus, low watt juga ternyata. dikardus 800watt, tp listriknya cm 600watt tertuliis di barangnya. waarnanya sih yg paliing ngegemesin. terima kasih lazada",5
"baguuuuuuuuuuus. warna soft bgt. pakenya jg gampaang cm puter tombol, selesai deeh. set waktu sm set panasnya jg gampang di mengerti. ternyata oke jg brand baru",5
"Sbnr'a pesen warna putih, knp yg dtg warna pink. Tp gpp, lucu jg warna'a... 😊
Smga awet barang'a... ",5
"syuukaaaaaaaaaaaa❤❤❤❤❤
makasih kak🥰🥰🥰🥰
makasih lazada❤❤",5
"sempurna ka... tanpa lecettt...
pas awal bingung gunain nya ehh ternyata di setting dulu 😄 ... lgsung di coba panggang ubi deh...Poko nya gak nyesel beli DSni... makasih kaa",5
barang cepet sampai. maaf baru ngasih ulasan soalnya lgsg pake coba bkin kue. dan mantep bgt. gampang bgt penggunaannya. warnanya bagus bgt sih gada obat sumpah,5
"cuteness overload nih oven, bikiin makin semangat manggang2. bisa buat ngangetin makan jg lagi. ternyata 2 in 1 fungsinya bisa manggang sm masak, pengiriman aman dan cepat",5
"langsung dicoba.....
Alhamdulillah berfungsi dengan baik.

ada sedikit penyok dikiiiiiit bgt sik dibagian atas, gpp masih oke...

semoga awet 🥰😍",5
sampai,5
"Pengiriman cepat, ovennya juga bagus, cuma imut sekali... max uk. 20cm, loyang²ku banyak yang ga muat haha...",5
Ternyata cpt datangnya.. Mutimut ovennya.. Suka.. Moga awet aja.. 👍,5
"paket sudah sampe..
real pict.... thx seller & lazada
smg berfungsi dan awet ",5
"Paket dah diterima,cepat datangnya,terimakasih",5
"barangnya dah ketrima,, dan berpungsi dengan baik,, mksh ",5
"lucu dan mungil ,semoga baik ",5
"Sesuai deskripsi. Udh coba dinyalain, ok. Tinggal nyoba untuk dipakai.",5
"lumayan lah, pesanan mungil sekali 😬",3
Bagus warna nya ukuran nya pas d dapur kecil... haha.. mantap.mantap..,5
mantap,5
bagus,5
