review,rating
"pket nya sdh smp sesuai dgn jumlah yg d pesan👌👍kurir baik sdh langganan..
blm sya coba..nti kl udh ada hasil nya sya beri ulasannkembali..teh nya enak tnpa gula jg gk trllu pait👍kl sukses aku ntr psn lagi🙏😊",5
"barang sudah diterima dengan baik, packing sangat bagus dan sangat baik. terima kasih lazada / pihak toko. pokoknya is the best😇😍",5
paket teh sdh sampai alhamdulillah ini yg ke 2x saya pesan dan udah turun bb saya trksh lazada dan seler buat bang selalu ramah,5
"gk tau pesenan ke brp,,soalnya tiap bln selalu order,,tq yaahhh say,,,sslu jaga kualitas🤗🤗🤗🤗,,kurir biasa langganan",5
"paket nya sudah sampai, semoga ada hasil nya
terimakasih lazada",5
😍 seneng deh ini pesanan yang ke dua(2 kotak)sebelumnya bb saya 72 saya tunggu 20 hari tgl 15 kemarin bb saya 66 cukup minum pagi 1 sore 1. saya gak minum es+manis 😍😍   ,5
"paket nya mendarat dengan selamat,packing oke,teh nya ada exp nya...good job kakak😍👍",5
kecewa pada bocor gini gimna sihh,5
"paket sudah di terima dengan tepat waktu, pengiriman sangat cepat semoga cocok sama teh ini ",5
"sesuai gambar, mudah2an cocok.. ",5
Allhamdulilah barang sudah saya terima dengan baik..packing rapi semoga cocok dan semoga BB saya bisa turun😊,5
"thanks lazada dan pak kurir,sdh tahu(langganan)
pesananku sdh nyampe,tp blum di coba,mudahan ada khasiat,bisa membuat tubuh saya langsing",5
"Ini pesanan yg ke 2, Alhamdulillah cocok 20 hari turun 3kg, itu krn minum ny 1x tiap pagi, mungkin klo minum ny 2x turun ny lebih banyak hehe",5
"trmksh barang sudah sampai..pengirimsn dan respon sellernya aja yg aga lama,,tapi yg lain okeh,,paking juga rapih bnget pake bublle warp,baru pertama nyoba si,mudah2an cocok..",5
paketan mendarat dengan selamat.. packing rapi.. kurirnya juga ramah.. mudah2an cocok tehnya..,5
Paket nya seharus nya sampai dari semalam. Berhubung saya nga ada si kurir datang siang. Siang nga ada si kurir datang sore. Baru pertama kali pesen barang di Lazada di anter malam2 dan si kurir datang berkali2 lebih 2 kali datang. Untuk teh nya belum di coba semoga teh nya bermanfaat,3
"Trimakasih lazada. teh nya dah sampe kemasan nya rapi. cepat sampe nya .
semoga turun deh berat badan saya supaya langganan 😊",5
"Pengemasan rapi,teh aman pake pelindung,,,pengiriman cepat,,,puas banget,,,semoga cepet kurus nya pake teh ini,,,",5
Alhamdulillah .. paketnya sudah diterima dengan baik .. belum dibuka sih .. semoga berkhasiat .. Aamiin .. makasih buat lazada dan seller .. semoga sukses selalu,5
"teh nya enak, di kemasan pakai gula, tapi gak pakai gula juga enak 😁
di kemas pake bubble warp super tebal..
kalau cocok n bb q turun, bakal langganan di sini 😆
tanks sis 😁",5
teh nya udh sampe packing ok bgt mas kurir nya dah langganan...thq seller&LAZADA mudah2an cocok biar langganan,5
"thank you , udah saya minum selama 4 hari dan benar benar manjur, badan berasa enteng ,perut juga udah berasa kempes ... kalau berat badan sih belum tau ,soalnya belum berani nimbang ,malu ama timbangan ..😂 ..thanks ya , kalau udah abis bakal saya order lagi 😉",5
"Paket nya cpet bgt nyampe nya, bru kmren pesen pas tanggal 16 eh skrng tanggal 17 udh dtngg❤, terimksihh lazadaa 😍",5
"Ternyata berhasil bisa BAB dengan lancar setelah minum teh ini malam hari, esoknya bisa BAB tanpa mengganggu pekerjaan. terimakasih ",5
selalu puas langganan di toko ini ngga perna ngecewain teh nya juga bagus  ampu banget 9Hari turung dua kilo setenga  pelanggan sya Suka bgt sma teh nya ini pesenan yg sekian kali nya baru dateng makasih ka,5
"sampe dg slmt,,sprti biasa packing rapih kerenn langganan sdh lama,,semoga kualitas ttp dijaga yaahhh",5
Akhirnya yg ditunggu² nyampe jg. Semoga setelah minum ini ada hasilnya. Terima kasih lazada dan yastrib herbal,5
"barang sesuai,,, packing nya rapi,, dtg sesuai estimasi.. di coba dulu semoga ada hasil turun BB nya.. terima ksh seller & lazada ",5
"Paket sudah di terima, trimkasih lazada & seller...  mudah2an cocok.

Trimkasih jg bwt kurirnya sopan dan baik 🙏",5
"saya udh refund orderan saya tp uank nya blm kembali hadeuh gimana sih...
knp ya skrg layanan lazada itu kurang memuaskan....
coba seller anda jg tolong di chek donk
costmr service nya jg gak ada tlf nya...payah banget ya nih online shop.
ogah gw kasih bintang nya jg",1
untuk yg ke3xnya pesan teh ini ada perubahan walaupun blm byk bab terus setiap pagi badan jd segar dan perut enakan trmksh seller and Lazada good job,5
pengen muntah aku minum ini bau nya gak kuat dan rasa nya yg bikin enek🤢 Tapi harus tetep di lakonin walaupun gak enak  tapi semoga banyak khasiat nya .. nnti setelah ada rasa perubahan yg baik aku bakal kasih ulasan dan bakal nex order .. terimaksih kaka 😘😘,5
"Paket mendarat dengan selamat, packing rapih dan cepat, kurir ramah. Semoga bisa menurunkan BB ku 😁",5
"maaf baru update ., barangnya sampe tepat waktu ., bab pun lancar ., semoga hasilnya memuaskan ., mksh Lazada mksh Yatsrib herbal",5
