review,rating
"Paket sampai sesuai jadwal..dikemas dg aman..
respon cepat,, good seller,,,,,thank's.",5
barang dateng pengemasan mantul kurirnya ramah jga karena dah langganan pengiriman cepat pokonya TOP BANGETTTT buat semuanya,5
blom d psang c smoga bagus ,5
mayan lah,5
jangan ragu beli disini.,5
ok barangnya,3
Barang sesui pesanan.,5
"terima kasih walau agak lama tapi hasilnya bagus

",5
"Trims polarisnya gan cepat digunakan trims yaah
",5
"real pict,cuma gagal pasang",5
"Barang bangus mulus paking rapi daripada sebelum nya 
Patah patah  terimakasih lazada",5
Paket udah nyampe tapi belum di coba.. Kurir langganan dan ramah,5
Ok siiiiipppp.... maaf gk sempet d fhoto,5
barang sampai cepat packing rapi jost,5
barang sudah diterima mudah mudahan cocok makasih Lazada,5
paket dh nympe ...mantap cepat..,5
alhamdulilah barang nya udh dateng. peking rapi makasih lazada .sukses terus,5
barang udh d terima.belom di pasang... terimakasih kk,5
barang sesuai......,5
paking rapi.cepat sampai dari estimasi.barang bagus.ok deh...,5
bagus,5
mantap. ,5
