review,rating
"bagus,murah banget mungil ada headset lagi sama kabel data..berfungsi baik.semoga awet.trims lazada",5
"Barang berfungsi dengan baik, terima kasih banyak ya",5
literally nice,5
paket nya udah nyampe nyala tapi belum di coba,5
"Pengemasan agak mengkhawatirkan, maklum murah. Tapi yg penting barang berfungsi setelah dicharge, dapet earphone sama kabel chargernya, maknyus",5
"Alhamdulillah orderanku dah smpe,, cpet jga nyampe nya,, kurirnya jga ramah...
MP3 nya,, earphone nya,, jga kbel chargernya berfungsi dgn baik
Terimakasih lazada dan jga tko yg jual nya jga smga sukses trus yah smuanya....",5
"Setelah sekian lama menanti akhirnya sampa juga, meskipun blm dicoba semoga aja sesuai ekspektasi. 
Dan utk kemasannya tolong diperhatikan lagi agar tidak mudah robek agar tidak berakibat fatal bagi barang pesanan. 
Itu saja terima kasih btw suka barangnya.. ♡",5
"gan trimakasih barang yg sy pesan dah dtg mantap kurilnya jg sopan trimakasih jg sama lazada ya semoga sukses selalu amiii
",5
APAAN INI GW SIMPEN 3 LAGU DI SITU..SEMUA LAGUNYA ACAK ACAK 3 LAGU DI SATUIN SEKALI GUSH APAAN INI....!!!!,5
"pengiriman cepat, kurirny ramah. barang sesuai gambar, kalau kualitas suara tergantung dari headset yg dipakai, mantap
",5
barangnya kurang bagus.. sudah 2 hari di pakai makin lama makin rusak sudah di cas selama 2 jam atau 1 jam sudah tidak menyala lagi...,2
Barang ok trus realpict berfungsi dengan baik trus sesuai jadwal trimah kasih tokoh dan kurir juga ramah,5
bagus,5
"barang sudah saya terima,
kecil2 cabe rawit... barang berfungsi dengan baik suara asyik

terima kasih ",5
"packing nya aman bgt ada bubble wrapnya, barangnya baguss bgt, udah dites berfungsi dg baik, ternyata dpt earphone jg",5
makasih barang sudah sampai...tak pernah lupa untuk lazada dan kurirnya yg sudah langganan sukses terus...,5
"barang rusak dijual, semoga yang jual cepat diberi hidayah ",1
"pesan kedua kali,y.mntul bngt.thanks abng kurir,,lazada dn seller,y.",5
barang dah nyape. good.👍 sesuai. tk ada masalah. tuk sekian kalinya puaas deh. makasih....,5
"bagus untuk harga segitu,murah tapi tidak murahan ,kurirnya ramah",5
"pesan 2 buah,yg 1 tombol on/off nya. gak berfungsi.kabel usb nya gak bisa to isi daya.",2
mantap lah kecil2 cabe pedess...cuma pesen hitam datang lain..oklah,5
"sesuai terimakasih
",5
dateng ma dateng tapi lama uda brapa minggu kali kntl,3
toko gak amanah barang nya gak dtg yg sampek cuma kotaknya sama hedset bawaan rusak dah pengiriman lama sampek lewat masa estimasi ,1
"mantap, sesuai dgn gambar",5
paket dah terima mantap,5
"Lumayan bagus,,  ",4
Lucu ..imut... Makasih saller...,5
paket dah smpat dgn slamat. moga awet ya trims,5
"matul gays barang ya order segera
",5
bagus tapi pas di cas gak masuk,5
Barang oke super bass mantap mksh,5
bagus gk nyesel belinya,5
"barang ok ,sesuai pesanan 👍🙏🙏🙏",5
"paket sdh d terima, cepat juga, barang sesuai harga,. terima ksh seler, terima ksh kurir, terima ksh lazada.",5
barangnya sesuai dngn pilihan dn sesuai jga dngn gambar hanya sj ngk berfungsi sama sekali( rusak)tpi gpp  🙂🙂,5
"pengirimannya cepet banget🤩
realpict,,, tapi beda warna,,,yg dipesan warna putih dikirim warna ungu🙄tapi gapapa lah semua warna aku suka😊...",5
"bagus banget barangnya walaupun pengirimannya hampir 1bulan lebih :( tapi bagus sih buat harga segitu. masih binggung ngebedain gimana abis batre sama pas ngisi batrenya, pokonya bagus lah cuman agak lama dipengirimnya aja☺ ",5
"barangnya udah diterima cuma sayangnya 1 ea tidak bisa di charge alias baterai nya mati, kurir ramah trim's buat lazada",3
mantap betul.rekomendasi bgt.barang bagus harga murah.hanya saja waktu pengisian daya tak ada lampu indikator untuk mengetahui status batre ,5
"barangnya baru sehari di pake sudah mati,, padahal saya sudah cas & beberapa menit kemudian sudah mati belum 2 menit atau nggak 1 menit sudah mati",2
