review,rating
"good barang OK nantap suara OK bngt.. 
",5
pengiriman cepat sekali,5
"pengiriman nya on time dan memuaskan
",5
mantap barang nya sesuai..pengiriman cepat..tks lazada,5
bagusssss......ga nyeseeel belanja di sinih....nti order lgi deh.....😍😍,5
"bagus banget
",5
Barangnya bagus berfungsi dg baik..kurir.y jg baek..makasih lazada next psen lg dech,5
 ckup Bintang ajha,5
Alhamdulillah brngx sya SDH trima mksih😍,5
barang sampai melewati batas waktu yg dijanjikan,4
Mantab tenan,5
mntap,5
Bagus,5
