review,rating
peket sudah sampai tapi blm di coba baru datang tadi,5
Real pict barang tlah tiba sesuai pesanan brg ori berhologram mudah2an cocok Aamiin,5
kardus packing tidak ada saya terima.,5
sangat memuaskan semua !!!,5
mudah murah berkhasiat,5
 barang sesuai semoga ber manfaat,5
barang paketnya rapih sangat. dan amanah sesuai yg dipesan. semoga cocok . amanah dan jujur . bagus saya suka . untuk kurirnya bagus . baik dan sopan .🤗,5
bagus,5
"Sesuai pesanan , pengiriman cepat , thanks",5
"👍cepat sampai ,top",5
"paket sangat rapi
penjualnya juga ramah banget
bisa konsultasi lagi
bisa jadi langanan ini",5
