review,rating
"oke terima kasih barang sudah sampai dengan amanah asli dan sesuai order , cuma sangat di sayang kan pesen dari tgl 30jul di kirim jg tgl 6 aug baru smpe tgl 9..
seller kurang respon ,mohon perbaiki",3
"terimakasih pesanan sudah saya terima. pengirman sangat cepat. kurir tidak ramah. dan barangnya pun tidak sesuai. di iklannya 10w-40 tp yang datang 10w-30. baru kali ini saya kecewa beli oli di toko ini,",3
"tapmantap, pengirimanya josgojos pokoknya...pancen oye",5
"ga nyesel dah beli disini.. dapet harga murah, code verified, pengiriman cepet. bakal langganan ini mahh. terima kasih 👌🏼",5
"matur nuhun paket sudah sampai dan selamat...
respon penjual ok  , kualitas terbaik.. pengiriman secepat kilat.. barang di packing dengan aman.. maksih",5
"baru kasi ulasan maaf, pesanan rill sesuai foto dan chat kemasan rapih gak ada minus sukses terus buat selernya dan lazada🙏",5
"Respon palapak cepat, pengiriman cepat barang sesuai dengan pesanan pokoknya terbaik",5
"barang sesusai pesanan, paking aman tidak bocor",5
"barang original dan cepat sampai this is recommended for you
terimakasih",5
"Sebelum memesan saya tanya yang dikirim 10w-40 atau 10w-30 dan dijawab 10w-40, tapi yang sampai ke rumab 10w-30",3
Barang ok mantap pengiriman cepat the best lah,5
"Barang telah sampai dengan baik , pengiriman sangat cepat 2 hari sebelum estimasi ...good job Lazada & seller thanks..👍👍👍",5
"mantap produk original, harga murah, penjual ramah, pengiriman super kilat, sukses selalu untuk penjual nya semoga tambah laris",5
"sya sangat kecewa belanja di toko Diandra jaya motor depok ini ,dipesan 2 paket,yg dikirim 1.akan sya simpan terus nama toko dan alamat ini.",1
"mantap pengirimannya cepat bngt,  buat tokonya sukses trus ya, buat kurirnya juga mantaul, pengirimannya cepat, padahal ini baru pesen kemarin tp ud dtng aja, ",5
"GW BELOM TERIMA OLINYA TAPI UDH TERKIRIM STATUSNYA???
KALO JUALAN YANG JUJUR BOSS,BULAN PUASA MASIH NIPU AJA!!!
LIAT NANTI DI AKHIRAT",1
"real pick, harga murah, paket langsung dengan oli mesin dan oli gardan. Dengan harga yang ekonomis. pengiriman juga cepat. pesan hari minggu siang, terkirim dan sampai rumah hari senin sore.
over all the best seller n lazada.
dan kalau bisa. kalau boleh saran. COD dibolehkan biar ga ribet dalam pembayaran.",5
barang bagus manttap,5
mantuk recomen beli ditoko ini kemaren pesen sekarng barang udah ditanya mantul wajib diikuti oleh seler lain nih😍😍😍😍😍😍😍,5
makasih ba/ mas  top Markotop psenan saya sudah sampai lagii sesuai dengan pesenan saya ;) makasih  juga buat driver kurir nya 👍,5
"barang bagus ori
tapi tanggal nya sudah exp 
semoga awet
seller ramah baik
pemgiriman nya pun cepat ",5
mantul dah terimakasih,5
"paket sudah di terima, estimasi juga terlalu cepet.. kurir nye ramah mkasih lazada",5
alhamdulillah  paketan oli nya sudah sampai 👍 makasih juga buat mas driver kurir nya🙂👍 😉,5
Barangnya mantul sesuai pesanan dan cepat sampai.,5
Top bingitt packingnya pun  Rapih ,5
"barang sudah diterima makasih seller, & kurir ny 👍",5
olinya sudah sampai 👍,5
"barang sudah mendarat, tp olinya sudah kadaluarsa nih ? gmn coba? apakah masih bisa di pakai?",3
"mantap oli asli bagus, cuma kol ada tulisan kecil tgl udah 2019 ya??",5
tidak real sama yg di gambar,2
Pengiriman cepat Jkt-KUDUS ... . OLi ori & Seler ramah.. . Saya tunggu Hadiahnya 😆😆😆 tanks Lazada,5
sip,5
"paket sudah nyampe,barang ori,murah lagi,thanks lazada,pokonya puas blanja disini",5
barang ori n recomended banget thanks lazada,5
sesuai barang nya ,5
pengiriman cepet banget,5
"pengiriman cepat sekali, barang sampai dengan selamat",5
sipppp barangnya,5
Bagus pas tepat,5
Oli nya bening .. mantap jiwa,5
cepet banget pengirimannya,5
thank you barang sesuai orderan,5
terimakasih,5
jangan di sini dah beli 2 dikirim satu,5
👍👍👍👍👍👍,5
"paket sesuai
pengiriman cepat
the best lah",5
Adeuh saya pesan yg 10x40w yg datang malah 10x30w hadeuh kecewa ,5
ini di foto 10w-40 kenapa di kirim nya 10-30_-,3
pengiriman cepat,5
bagus barang sudah di terima oli ori,5
lengganan ke sekian kali. satu kata untuk semua produk toko ini. RECOMEND,5
barang sudah diterima makasih seller,5
"ok sesuai dengan deskripsi, thanks seller n Lazada jaga kwalitas ny.",5
top be ge te,5
kasih tau alasan nya dong ini oli shel tanggal nya udah kalduwarsa apa gimna,1
oli sesuai.bagus,5
difikir yang sampe,5
jos,5
"mantap
👍👍👍👍👍
❤❤❤❤❤
barang diterima dengan baik",5
Sesuai pict,4
Terimakasih barang nya sesuai mantul,5
trim lazada pengiriman cepat. pesanan sesuai👍👍👍,5
Sesuai ,5
memuaskan,5
topp,5
ya,5
ajib ,5
👍,5
Oke,5
josss,5
mantap,5
Good Order,5
