review,rating
terimakasih..... jadi penjualan yg amanah 😊😊. semoga rezeki melimpah dan jualan makin laris. aamiin,5
"packing rapih dan aman. belum dicoba, semoga pelangganku puas",5
"Barang sesuai dgn pic yg ngantar jg ramah, tp agak lambat datangnya. Tks",5
"bungkus pesan nya robek sedikit tapi tidak apa barang nya masi aman dan oven saya lecet sedikit kecil sekali tapi barangnya ok
",4
"barang mendarat dengan selamat, walaupun pengiriman di luar pulau Toko memberikan jaminan keamanan barang.",5
"mantab, barang berkualitas, pengiriman cepat, seller responsif, recomended Lah pokoknya",5
Barang cepat datangnya. Mulus tidak ada cacat. Kurirnya ramah & langganan. Semoga awet.,5
Lanjut gasken. Barang bagus. Ke kalimantan utara pengiriman aman COD,5
barang tiba dengan aman. semoga awet🙏🙏,5
"thankyou kakak, kurirnya baik lagi padahal uangnya tdi berlebih lalu di kembalikan hehe",5
barang bagus tapi proses pengemasannya lumayan lamaaa ,4
"Slow respon setelah pembayaran sampai lama banget , tiap di tanya nggak ada jawaban ",1
"mantap sekali, rekomended pol pokoke.",5
Mkch yaa packing rapih..pengiriman cpt thanx yaa..buat lazada thanx...mz kurir mkch...,5
"Alhamdulillah....berfungsi dengan baik,,udah dicoba bikin kue kemarin",5
"mkasih ...barang,nya sesuai yg ak ingin,kn👍",5
"bagus barangnya original

",5
good lah,5
👍👍👍👍,5
