review,rating
"puas, sesuai deskripsi, lengkap brg'y",5
"Thx seller barangnya sudah datang.. puas banget, real pict dan real semuanya. Mulai dari box dan isinya juga sesuai deskripsi.. packingnya rapih banget dan di kemas safety banget. Syukaaaa.. ❤️",5
"Alhamdulillah... Paket datang dengan selamat packing bagus kurir nya langganan... Pokoknya TOP BANGET... Ttp jaga amanah yaaa... Biar saya makin cinta 
",5
Paket nya terpacking rapi😍sudah kubuka tadi... hasilnya memuaskan😚selalu memuaskan pokoknya.... makasih😊,5
"mantap bintang berbicara
",5
"barang sudah sampai. realpict. bagus sekali. thanks lazada, seller, dan kurir 😻",5
"Alhamdulillah paketnya sudah sampai
packing nya baik, barangnya jga real pict😊",5
Mksh seller paket sesuai pesanan...,5
"P3K sesuai iklan, lengkap isi nya, terima kasih lazada",5
REALPICT! isii banyakk jugaa makasi yaa🥰,5
sesuai gambar. terimakasih untuk bikin percaya terhadap produknya,5
mantul 👍👍👍,5
biar bintang yang berbicara,5
barang sesuai,5
"barang bagus dan lengkap, pengiriman cepat",5
"barangnya sesuai bangat, pengiriman cepat,meski sangat jau.",5
barang sdh sampai saller ramah sesuai dengan gambar..,5
sesuai dengan foto,5
"Kualitas kotaknya kurang bagus, sekali buka udah sobek. Tipis banget plastiknya. Isi sesuai harga. ",3
"barang oke , bagus dan lengkap. kenapa ya sy mau kasi ulasan tapi ga bisa masukin foto barang nya? udah beberapa beli ga bisa masukin hmm",5
"wihhh mantap packing'a aman banget.
isi'a lengkap. luar biasahhhhh gak nyesel belanja disini.
ada vocer diskon lg buat belanja lg di lilinputih",5
Alhamdulillah barangnya sudah datang. sukak lengkap smuanya sesuai gambar🧡,5
"👍👍👍👍👍👍👍👍👍👍
",5
"barang udah dateng, makasih Liliputih OneMed dan lazada, kurirnya juga ramah",5
mantap ,5
mantab,5
"Mantap
",5
oke,5
bagus,5
paket dah sampe packing na bagus n sesuai real pick,5
"suiipp...isinya lengkap semoga bermanfaat
",5
sessuaaiii order& baaguuusss,5
lumyan bagus❤️,5
barang sesuai dng gambar.tq.pengiriman jg cpt,5
lengkap dan bagus barang nya makasih ya,5
bagus.tks ya,5
terimakasih untuk lazada.. mantap,5
"sesuai produk sesuai pula isi nya
  thank you lazada",5
Bagus  komplit klu  bisa betadine sm kasa dll agak yg gede biar  pemakain banyak,5
barang oke,5
sesuai,5
good,4
mantulll,5
bgussss,5
bagus,5
mantap,5
Bagus ,5
