review,rating
bagus barang ny n kurir ny ramah.,5
"barang ok saya suka
",5
"pesan 3.. kirim nya.1
",5
enak nyaman bahanya gak gerah kok saya suka gak nyesel,5
Bintang yg bicara,2
untuk harga segitu yah lumayan tp gk kapok belanja di lazada. kurirnya ramah,5
Trimakasih barang sudah di terima.,5
unchhh...makasih ya seller n lazada,5
mantull mantap betul makasih banyak pokoknya,5
"thx bgt, biar bintang yg bicara",5
makasih banyak loh Lazada & seller,5
thx lazada & seller...sukses selalu,5
mantul bangt gan ...tanks utk smuanya,5
Thx.... Biar bintang yg bicara ,5
unchhh...makasih ya seller n lazada,5
biar bintang yg bicara....thanks,5
"barang sudah sampai dengan selamat cepat dan rapi trimakasih
thx seller & lazada ...mantab jiwa ",5
tanks utk smuanya,5
mantull mantap betul makasih banyak pokoknya,5
mantulll dah pokonya,5
"thx bgt, biar bintang yg bicara",5
mantull mantap betul makasih banyak pokoknya,5
thx lazada & seller...sukses selalu,5
Oke,5
