review,rating
"my pan just arrive, even thought there is no box everything looks good.. more importanly is the handle look classy and elegan👍👍👍
thank you seller and apps lazada🤗

if you din't know how big 20cm is, there are my finger to show you the measurement, so if you want to buy any of this product, you can considered what size you realy want is..",5
"begitu dtg lgsg di pke donk.
barang nya super good suka bngt deeh.
next mau ordear panci nya .
sukses trs ya.
buat kurir nya ramah donk.
",5
"Padahal packing ny udah bagus, dan sudah diberi keterangan FRAGILE. Tapi nyampai di saya ada yang penyok. Tolong pihak ekspedisi lebih teliti lagi. Untuk seller barangnya mantap mantap",4
Barangnya saya terima penyok,3
barang sesuai pesanan pengiriman barang sangat cepat terimakasih,5
ya Allah knp bgini.pdhl barang nya susai pesanan.tp krna pengiriman nya pake plstik doang jd nya penyok  barang nya.semoga kedepan nya harus hati2 lg klo barang,4
"Semoga kedepannya packing nya lebih safety lagi yak, disarankan minimal gunakan cover kardus_bekas jg gpp.",5
sesuai dg pic dan barang langsung dipake..tks,5
Produk yang diterima bagus dan tebal. Semoga awet. Terima kasih.,5
"barang bagus, sedikit lecet.",5
"Barang bagus, lumayan  tebal",5
barang sudah dipake..oke banget 👍👍,5
