review,rating
packing rapi nggak pecah tapi tutup parfume nya lecet nggak bisa di semprot😌😓 lain kali lebih diperhatikan lagi. thanks 🙏,3
"sebel banget sumpah,  sampe²² barang kek gini,  gmna sih aturan mah pekingnya yg bener biar gk bocor, kan kalo gini ribet. mana barang jualan ",2
"maaf kak baru beri ulasan hari ini 😄
parfumnya wangi banget sumpah 

suka sama wanginya,, pokoknya ntar kalo habis bakal order lagi deh kak 🥰",5
pengiriman cepat. harumnya aku suka. Terima kasih ne🙏🏻 semoga tetap memberikan layanan terbaiknya dan saya bisa berlangganan nantinya🥰👍🏻,5
"omegat plis ini realpict, pengiriman cepat, botol sama oppa aku utuh. dan wangi bangettttttttttttt 😍😍😍😍😍😍😍😍 ahhhhh syuka pokoknya. makasih banyak banyak 😘",5
paket y udah sampe.wangi y enak anak saya suka.pengiriman y cukup lama.kurir y ramah udah langanan makasi lazada,5
"Alhamdulillah paket nya udah sampai dengan selamat packing nya rapi pengiriman nya jg cepat bgt, abang kurir nya udah langganan pokoknya terima kasih buat toko dan abang kurir semoga sukses selalu 👍👍",5
yaa ok untk harga segitu walau wangi ternyata yg kt mau tdk kt dpt but its ok lah semua ok untk.mas pengantar tku bgt yaa,5
reallpick sesuai sama pesanan semoga bisa jadi langhanan. makasih ya seller kurir n lazada cukup bintang yang bicara ,5
parfumnya wangi banget dan ganyesel udah beli🤩,5
puas deh dgan barangnya😍,5
peking nya rapih tapi wanginya terlalu nyengat menurut ku,5
Parfumnya wangi nya enak bgt🤭,5
"sumpah rapi banget , nga ngecewain ,farfume nya tahan lama,wangi banget 🥰🥰,next order ",5
Jagan ragu lagi deh pesan di sini barang sesuai gambar gak ada yang rusak pokonya bgus cinta banget ,5
Jagan ragu lagi deh pesan di sini barang sesuai gambar gak ada yang rusak pokonya bgus cinta banget ,5
"paket sampe tepat waktu dan packing aman walaupun tanpa kardus sama sekali cuma keknya agak ngeri juga untuk next nya kalo gak dikasih kardus sama sekali but sukaaa bgt parfumnya wangi banget gak bikin enek, seller juga ramah. terimakasiiiiii 🙏 pengiriman tepat waktu banget walaupun kurir nya bad attitude. karena udah keburu kesel jadinya gak sempet fotoin deh hehe maap.",5
"Terimakasih barang nya udah sampai. Parfum nya wangi lagi. Dan rapih lgi. Kuril nya ramah baik lagi.😊😊😊
",5
lucu😘,5
"maaf ngk sempet fto soalnya sma
 yang punya udah dibawa pulang duluan tapi tenang aja produk aman,parfumnya juga wanggi adekku suka too deh pokoknya",5
good ty ty,5
"barang baik kok, aku puas bgt 🤗 makasih seller dan kurir 🥰😍 ",5
bau parfum ny lembut banget kak,5
bagus ka pelangganjg syuka,5
"sudah sampai dengan keadaan baik.parpumnya wangi bngt,thanks lazada",5
Makasih ,5
mantap,5
*****,5
