review,rating
kardusnya penyok udh kebukaan iiihh klo jualan yg amanah kaya shope trs isi nya kya ga penuh iiihh kebangetan,5
"enak bgt dingin ke kulit bibir,sekali oles langsung ngelupas c kulit bibir yg kering dan hitam itu.. TOP deh buat produk nya.. ",5
"Terima kasihh, paket nya sudah dtg.. ",5
Barang bagus dan penjual respon cepat. thanks,5
"sesuai gambar.. 
bru sekali pake aja.. kulit mati dibibir langng terangkat.. ",5
sekali pake cream ini semua daki di bibir n kulit2 mati lgsg rontok ... mdh2an dgn pemakaian teratur bibir gw bisa jd sehat dan ga menghitam lg ,5
pesanan sudah saya terima dari kemaren cream bibir nya baru di coba satu kali beneran kulit kering di bibir terangkat. dan bibir lebih halus dan lembut. suka sama cream bibir nya. next bakal order lagi lako udah abais.😁😁,5
"Mendarat dengan selamat, cepat, lengkap. Recommended toko, bubble wrapnya ampe bnyk brlapis” jdi pketan aman",5
suka banget.,5
cara pekenya gimana,5
barang bagus semoga aja cocok..kurir dah langganan,5
"belum di coba barang agak telat nyampe nya
",1
Ga bagus.....apa an tuh.. Kaya lem,5
"barang nya sesuai gambar, ringan dibibir,kurirnya juga ramah,gak nyesel deh belanja ditoko ini😘😘",5
"Barang cpt smpai, packing rapi, udah dicoba dan hasilnya wow... Next blnj disini lagiii trimakasih 😊😊",5
"barang sesui gambar, ",4
"Bau nya kyk lem, trus pas abis di pake bibir jadi lengket:( Gk yakin ini beneran bisa bikin bibir pink lagi",3
Peroduknya bagus,5
"cream dah sy coba, agak panas di bibir sy. tgl kadaluarsanya ga nampak. packing rapi kurir ramah dah langganan. ",4
Masih dicoba dulu. Pengemasan oke,5
Barang ok. Kurirnya juga baik bangat🙂,5
"Barangnya bagus,bibir saya jadi gak kering dan mulai gak hitam lagi😊",5
menscrup dgn baik,5
sipppp mantappppppp prodaknya sesuai nex order lagiii thanks selerr suksez terussss moga cocokkk,5
terima kasih barangNya sdh sampai,5
barang sesuai yg diinginkan terima kasih,5
Masih dalam proses,5
real pict 👍🏻,5
Tidak ada perubahan.. ,5
"maaf baru ngasih ulasan krn pngen tau dlu, ternyata ada perubahan, thank lazada and mas kurir ",5
"Alhamdulillah barang nya dah nyampe.kurir nya juga baik .mudah""cocok",5
packing nya gak rapih! tolong lah dibagusin lagii pengiriman nyaa!!!!!,5
baru pakai 3 hari keliatan hasilnya amanah kacida euyy jooos,5
"bagus datangnya lama
",5
"sudah 2 hari pake,ad perubahan bibirku tdk terlalu kering moga hasilnya lebih bagus g
",5
realpic terima kasih barang datang dengan selamat,5
bagus x hasil,5
dibibir jd kering,5
nggak ada perubahan 😞,3
trimakasih brang sudah mndarat,5
trimksih brang nya dah nympe kak,5
mf bru ksih komen ya ..brang bgus,5
"pengirimannya cepat,bagus juga,ga mengecewakan ,terimakasih...",5
terima kasih brngnya dh nympe brngnya bgu,5
"pengiriman cepet bgt, kualitas barng jg rekomen bgt",5
ok,5
trimakasih ,5
bagus saya suka,5
"jangan beli ini baunya kyk lem 
udh harga mhl lagi",5
sesuai pesanan ka,5
makasih buat seller nya👍,5
Ok. paket sudah sampai,5
sesuai gambar kurir ramah makasih lazada puas belanja online,5
"Terimakasih 
barang datang dengan selamat dan rapi 
dan Abang kurir nya juga ramah 
Terimakasih 🌹",5
lumayan 😊😊,5
barang bagus mudah mudahan cocok... ,4
"barang sdh sampai thx
",5
Cocok ..good,5
bagus baru pake 3 hari msh belum kelihatan,5
Tq kk barang nya bagus:),5
lumayan buat cerahiin bibir,5
semoga cocok ya,5
"biar bintang yg berbicara,,,,, pkoknya mantap👍👍👍",5
barang diterima dalam keadaan baik tapi gak tahu ada manfaatnya gak...,3
lunayan sih,4
. coba aja deh gx usah kecewa sama produk ini,5
Brekele beli 1 dikirim 3 ,5
masih belum merah,5
makasih bos barang udah ada di tangan dengan selamat,5
pengiriman'y cepet... puas pkk'y,5
bagus barang nya mantul,5
"Alhamdulillah barang nya sudah sya terima ,mudah² Han cocok ya
terimakasih 🙏
",5
proses dan pengiriman cepat banget jd seneng klo seperti ini ma thanks semua,5
"sesuai deskripsi, makasih lazada",5
semuaskan ... tapi lumayan datang ny agak lama,5
semoga bener ada nya . Krn belum ada hasilnya baru 2 hari sampe ,4
cukup memuaskan,3
"Alhamdulillah amanah pengiriman cepat dan produknya baik,",5
Barang nya sudah sya terima smoga saja cocok ya,5
barang cepat sampe peking rapih pokonya ok lah,5
sudah sampai barang nya trima kasih lazada ,5
ok,5
good,5
👍,5
👍👍,5
Makasih,5
👍,5
mantap,5
👌👌👌,5
memuaskan,5
