review,rating
"Sorry baru review. Aloe vera dari BioAqua ini menurut saya termasuk bagus. Saya sudah pakai & menurut saya aloevera ini termasuk gampang meresap di kulit. Meski seperti ada sensasi yg kek lengket di wajah tapi kalo dipegang tidak lengket. Hanya sensasinya saja. Ini ga panas di wajah cuma sedikit karena terasa seperti nempel di wajah tapi ga lengket sama sekali sih. Expirednya juga masih lama, bisa dilihat sendiri di gambar yg saya kirim.  Oh iyah perlu di inget yah ukurannya 220gram jadi g sebesar yg merk sebelah tapi khasiat nya hampir sama kok.  Dan karena saya dapet saat flashsale, untuk harga segitu ini termasuk yang worth it sih. Aromanya harum tapi tidak terlalu menyengat di hidung. Setelah pemakaian pertama saat tidur, besok pagi nya kulit saya aman2 aja Alhamdulillah & tidak lengket sama sekali. Saran saya kalo mau pake buat sleeping mask sebaiknya jgn terlalu tebal dan jan terlalu tipis juga karena aloe vera dari BioAqua ini mudah meresap. Waktu pengiriman juga cepat. Thank's",5
bagus ke muka y lembut bersih jg.. 😘😍,5
"barang sudah sampai,,, thanks",5
"pesan bioaqua 3
masker 1
yang dtg bioaqua 1 masker 1
minta kekurangan ribet banget ,pdhl sdh sy byr semua
kapoook belanja dsni
aku kiri di lazdmall itu lebih aman",1
"Paket Aloe vera nya sudah sampai sesuai pesanan, ada bonusnya sisir 2 buah, terimakasih",4
barang nya sudah sampai semoga cocok 😍😍,5
uk nya lebih kecil dr yg duluan...,4
Belum nyoba sih. Tapi pernah dulu ambil dr toko lain dan cocok. Semoga ini juga,4
makasih seller paket suda,5
Real pict..sllu puas blnja disini..kurirnya juga baik,5
barang aman . dan sesuai . . ,5
"bagus ni,, GK kecewa,, semoga cocok yaa di pake sama saya☺️",4
"baru order kemarin sore, hari ini udah dateng suka bangeeeet, thaks kk seller 🙏🏻 mau order lagi buat stock 😬",5
"barangnya sampeeee. perkiraan saya nyampenya 2/3 harii ternyata baru pesen kemaren, besoknya langsung datang! OMG keren. Masi disegell isi full jugaaa. ",5
"barang sudah sampai,barang dlm kondisi bagus cuma pengemasannya kurang rapi,tpi gpp sih.trimakasih lazada😇",5
"Uhhhh... isinya full bgt. 😊😄👍 best.
cuma sayang, waktu pengirimannya lama. pesan tgl 2 Februari sampe tgl 9 Februari.",5
"Kualitas produk bagus, di packing dengan aman sampai lokasi juga aman, cuma pengiriman agak lambat, semoga cocok. thank u seller dan lazada",5
semoga aja cocok yeee baru pertama pake enaaak bgt hehehe semoga langganan yey sis makasih udh packing rapih dan dikirim hehehe,5
"bagussss,,,,pengirimnn rapi,,,,cm salah 1 produk tdk sesuai pesananku,,tpi gpp msh bs dpke",5
"sumpah parah parah paraah banget.. ini mah bagus banget ga boong.. jujur ya ini baru pertama kali seumur hidup aku pake serum dan hasilnya bagus banget.. kalo kalian make 1x terus muncul brutusan yg ga dikit.. jgn langsung bilang kalo ga cocok.. aku rutin make 5 hari wajahku tambah glowing swiming smiring wkw.. intinya sip banget lahh
sukses selalu toko ini & lazada..
kurir nya juga ramah.. langganan wkwk",5
"sesuai pesanan, kurirnya ramah..
pokoknya top lah, kalo cocok nanti order lagi disini..
makasih lazada dan seller..
",5
"Alhamdulillah 😇😇 paket BIOAQUA Aloe vera sdh sampai. Packing rapi, kurirnya baik, ramah & sopan. Barang di trima mulus & masih segell 👍 Thanks Lazada, Seller and kurir 🙏🏻😊 Good job 😍",5
mf bru kasih ulasan..brngny mndrt dgn selamt walau packingny nggk rapi..produk di pake adem bnget smoga cocok..mksh lazada..mksh abang kurir dh lnggnn.,5
"Maaf baru sempat kasih ulasan... 😊 🙏 🙏 
Barangnya ori dan mudah2an saya cocok...
Trimakasih lazada dan seller dan Abang kurir nya... 😊 🙏 🙏 👍👍💯",5
"Alhmadulillah paket nya sudah sampai🤲kemasan sangat rapi👍kulir ramah dan amanah juga sudah langganan nganterin paket k rumah😊
Terimakasih lazada dan kulir nya selalu amanah biar  terus bertambah pelanggannya,sukses selalu🙏",5
"baru pertama kali pesan dan mo coba mudah""an cocok... untuk pengiriman ok banget. tank lazada seler and kurir. 😍",5
alhamdulillah barangnya sudah sampai kemasannya rapih dan pengirimannya cepat kurirnya ramah semoga jadi langganan 👍,5
Alhamdulillah barang nyah GX ada yg lecet sedikit pun Alhamdulillah bikin kulit jadi cerah dan jerawat kuh pada ilang,5
"ok pesanan sudah sampai, sesuai dengan pesanan mantap .",5
"TERIMA KASIH LAZADA..🙏Barang nya sudah saya terima,Barang nya real pic.. Makasih juga Buat Bapak Kurirnya.Ramah banget 😊😘  Semoga Kita bertemu kembali y Pak 😊🤭🙏",5
aku pikir cuman di laur negri ada aloevera ternyata disni juga ada trimakasih banyk.barang nya ok..kurir ny ramah ,5
"barang nya sesuai 😊 kurirnya juga Ramah, bela""in hujan""an datang buat nganterin barang ku😊 tanggung jawab bangettttyaaa pak 👍",5
sangat sangat bagus,5
"barang sesuai.. puas pokonya mudah""an ori.. walaupun salah kirim alamat tujuan..gpp..mksh seller n lazada sukses terus...mksh mas kurir",5
"Alhamdulillah barangnya bagus taada yg lecet sedikitpun😊suka bangat, kurirnya juga ramah.. thanks lazada💕😊tokonya amanah sekali",5
