review,rating
sesuai pesanan  tapi pengemasan kurang aman tnp buble jd kardus nya sobek ..semoga k dpnya lbh bgs lg ,5
"saya sangat puass..
barang nya sudah datang..
tetapi buku resep nya bahasa koreaa 
juga pengiriman nya lamaaa",4
sy pesen happycall doble pan harga 180 rb yg datang panggangam biasa harga 60 rb an gmana toko Leo mohon bertanggung jawab,5
"alhamdulillah paket di terima dengan baik tapi ada cacat barang sdikit buat packing mohon di perkuat atau di perindah lagi yah supaya tidak terjadi hal yg sama sprti ini sukses truss buat lazada
dan kurir yg baik dan ramah 😍😇😊
",3
paket udah sampe pengiriman cepat barang sesuay yg d gambar tapi blum d oba cum pmengmasa  ny tolong di  tingkat kn lagi punya saya sompel dikit karena cuma lakban2 aja,5
"Mantap surantap 👍
Pokoknya nggak nyesal belaja di sini
Barang bagus, 
kurir sudah langganan
Makasih Lazada
Pengiriman cepat 🙏🙏",5
"cepeettt bgt dateng br kmrin tf loh! dan ini cantik syekaliiii dapurku terasa lengkap semakin cntik krn alat ini, seneng makenya cpet mateng dan gk lengket.. trmkasih yah ❤",5
Alhamdulillah sesuai pesanan bagus tapi sayang nya kardus nya gk di bungkus pengemasan nya juga lama pesan tanggal 15 di kirim tangal 21 sampi ke rumah taggal 22 selebih nya baik,5
"Sudah pesen 2 kali , barangnya beuhh mantap tenan , GK nyesel deh pesen disini😁
thanks buat seller , kurir dan lazada 🙏🙏",5
"Trima kasih lazada dan toko Leo barang sudah sampai gak pake lama,pengiriman bagus dusnya utuh tidak rusak,saya puas",5
"Alhamdulillah brang sampe dgn aman
Smoga dipke y bagus ,trimakasih lazada",5
"Terimaksih Lazada , Kurir , Toko amanah 🙏 perthnkan",5
produk ori 👍👍👍,5
"Bagus barangnya,kurirnya minta ongkos lagi biasanya ramah ",5
pengiriman nya lama.. tp barang nya bagus,5
"pesan tgl 14 nyampek tgl 26, tapi GK papa puas banget real pict suka😍😍😍😍😍😍",5
happy callnya sdh sampai..bagus saya suka'semoga awet ,5
lengkap dan bagus,5
"pengiriman cepat, terimakasih",5
Alhamdulillah barang sampai dengan selamat semua serba komplit pengirimman cepat makasih lazada🤗,5
"terima kasih, paket sudah nyampe..",5
ok...pesanan dah sampai  cepet barang oke...,5
"mantap, ngk ada cacat 😍😘
",5
bagus realfic suka bangt walwpun lma nunggu'y akhir'y datng jga😀,5
"brang mulus tanpa cacat, tp pengiriman yg terlalu lama",5
thanks lazada thank abang kurir.mantap pokoknya,5
"terima kasih pak kurir.. barangnya sudah sampai sesuai ekspektasi 👍, tp pengepakannya tidak rapi",5
"cucoooi,,, mantep dahh,, mskpin lma di pengiriman tpi gpp, barang okeh bngt😊 thank you",5
mantap👍👍👍,5
"barangy dateng dengan bagus aqu suka banget blm d coba c muda""han anti lengkat abang kuriry juga baik kasih kabar dulu mao kirim barangyy",5
Ini udah 2x pesan disini... Pelangganku puas tp sayang pengiriman lambat... Semoga didepannya lebih baik dan semangat selalu ya..... Trims semuanya.....👍👍👍,5
"Meskipun sampainya barangnya nggk sesuai estimasi , tapi barangnya top bgt dah 😎👍
thank's buat seller dan lazada ...
kurir baik dan sopan 🙏",5
"pengiriman nya aga lama, barang bagus , tapi pengemasan kurang , cuma pake kardus nya aja, untung barang nya gapapa..   tapi puas untuk barang nya 👍👍👍",5
"Padahal sdh suruh di batalin ttp saja dikirim😏 proses sama pengiriman nya lma bgt,, kirain gk bakaln dtg ehh.. dtg juga paking nya kurang rapih
gk Ada pelindung sma sekali untung saja barangnya gada yg rusak😒 maaf ya bintang nya blm 5 saya kasih 3 kurang puas blnja di toko ini🙏🙏",3
Alhamdulillah..pesanan sy sdh sampe' walaupun agak lama pengirimannya' tp sy puas barang nya bagus..sdh d coba dan tdk lengket..trm ksh' pertahankan kualitasnya ya..,5
barang ok bagus meski kardusnya rusak tp untuk pengemasan dan pengiriman lamaaaaaa...... bgt butuh kesabaran extra respon penjual jg kurang menyenangkan😗😗😗😗😙,3
"Barangnya sudah sampai sangat bagus sesuai deskripsi, kurirnya ramah, Terima kasih Lazada. 
Selalu berikan kepuasan kepada pelanggan. ",5
"lumayan lama dateng'a tapi gak sia2 hasil'a memuaskan pokoke mantull
   bang.kuriirnya baek sabar
terimakasih lazada terimakasih bang kurir",5
"trimakasih,happy call nya Lom sya coba,semoga TDK lengket packing nya rapih TDK ada yg lecet,bang kurirnya ramah ,luwpun SDH MLM ttp di anterin,",5
"barangnya sudah sampe, packingnya tidak aman karena tidak pake bubble wrap sehingga ada yang lecet dibagian luarnya, seller kurang responnya dalam menanggapi pembeli, saat di chat hanya cuma di baca saja, pengirimannya lama sekali ada seminggu lebih belom dikirim",1
"Seller salah kirim barang, mau dikembalikan tapi tidak bisa foto barangnya (aplikasi lazada nya tidak bisa dipakai untuk ambil foto). Mohon perhatian bagi sellernya. Masukan untuk lazada bahwa aplikasi pengembalian barang tidak bisa dipakai untuk unggah foto",5
"alhamdulillah paketnya dah nyampe... 
maaph baru ngasih ulasan... 
brg bagus, alhamdulillah no cacat.... 
minta maaph kpd pak kurir yg lama menunggu 🙏😁",5
"alhamdulillah smpe dengan selamat kondisi bagus walau kotax hancur di gujur hujan..
makasih lazada tingkatkan trs kualitas..",5
Makasi barang nya dah nyampe pesen kmren td siang dah nyampe pesan nan nya kurir nya baik Ramah.... ,5
"barang nya udah sampai..barang ori dan baik ..recomended banget,pengiriman cepat, respon penjual baik dan pengiriman baik",5
terimakasih lazada barangnya bagus packingnya rapi pokoknya sangat memuaskan jangan ragu beli di toko ini.... kurirnya juga sopan dan rama.. ,5
"maaf baru sempat ksh ulasan Alhamdulillah barang smpe cept dr estimasi.. awalnya agk kesel liat kemasannya penyok n gak rapih hanya di lapisi kardus sepotong sy buka dlu Don Abang kurir nya takut nya barang lecet n penyok tp ternyata woooww Alhamdulillah tidak apa"" barang mulus n baguus puaaas dech Sama sekali gk kecewa mksh Yach seller n lazada Smga sllu amanah 
maksh jg Abang kurir udh sabar nungguin paketnya di cek dlu 👍🙏",5
Bagus ,5
"Terima kasih kak, pesanan sudah saya terima dalam keadaan baik, waktu pengiriman sangat cepat, bahkan hari minggu masih dieksekusi dan saya terima. Semoga tetap dipertahankan agar pelanggan semakin banyak dan order bisa meningkat
",5
"Happy Call sudah tiba dengan selamat dan tertulis Made in Korea.
kondisi mulus walaupun dus ada peot.
Di dalam panci ada karet cadangan 1 bh.
cuma bahasanya Korea kita gak ngerti apa tulisan ini, sebelumnya ada bahasa Indonesia ? bisakah kita dapatkan ?",4
Produk  mudah2an baik pengemasan sangat lama pengiriman  lama seller  lumayan baik merespon chat.. semoga cust suka awet dan berkah Ammiin,4
"mksh kk HAPPY CALL nya bagus bangeeeettt pelanggan sy seneng banget🤗
babang kurirnya jg baik sopan udah langganan smg sehat slu babang biar bs nganterin paket lg😊",5
barangnya bagus kurirnya sabar dan sopan pokoknya aku terharu dan bahagia terima kasih lazada dan seller dan kurir semoga sukses selalu,5
"kecewa 😣 pengiriman lama, udah gitu ga rapih pengemasan nya banyak lakban acak²'n banget 😒
tolong lebih rapih LG dalam pengemasan nya ",3
Alhamdulillah barang udh dtg sesuai keinginan...pengiraman lumayan cepat..2minggu sampai..dan barang mulus gak ada cacat..makasih lazada,5
"kurirnya aneh masa minta ongkir tambahan, katanya karena ini barang besar, padahal kan inikan belinya sudah termasuk ongkir kan",5
"Alhamdulillah sesuai pesanan,barang sampai dalam keadaan baik.hanya saja pengirimannya cukup lama sampai lebih dari seminggu mohon seller untuk lebih mempercepat dalam hal pengiriman.utuk kurir ninja cukup baik karena hanya satu hari sudah sampai 🙏👍",5
Alhamdulillah paket sudah mendarat dngn selamat...barangnya baguuus...ori made in korea..pengemasanya cuma pake kardusnya aja tp is oke..pengiriman sesuai estimasi..makasih seller.. makasih abang kurrir...makasih lazada,5
"waduh kacau banget! respon penjual untuk kirim barang bener bener lamaaaaa banget. pdhl katanya readystok, ditanyain iyaiya doang. responnya juga tidak gitu menyenangkan. duh kecewa banget, percuma barang bagus kalo pengiriman dan respon buruk. tolong perbaikin sistem nya seller bener bener lamban, chat si dibales tp iya doang? lucu deh",2
"Alhamdulillah sudah sampe , barangnya bagus  , mudah - mudahan awet 😊😀",5
barang uda smpe pengirim an cpet n alhmdullilah gda yg lecet aq suka n uda dcobain hasil pnggangan q nyummy 😘😘😘thanks lazada👍👍👍.kurirnya jg ramah 🤗,5
Alhamdulillah...barang dah datang kurir ramah tpi di kemas ya ceroboh ga rapi utungnya barang ga penyok .kualitas sesui gambar,5
pengiriman lumayan cepat.sesuai pesanan.suka sudah di coba walau katanya kw.puas hasilnya moga bagus terus.,5
alhamdulillah paket udah datang barang nya bagus sesuai gambar memang belanja di lazada gk pernah kecewa kulit nya juga baik,5
Ternyata engselnya oglek yang sebelah kiri,4
"gak sia""nunggu lama barang ny bagus bgt",5
"karena aku udh pernah bli dr lejel.ud bandinginya gampang,ini kasar,ngekleknya",3
"paking sepeti tu Pengok smw'a gk lagi beli disini
makasi
",1
"bagus tapi belum dicoba, makasih lazada",5
Alhamdulillah ,4
Mantul.. bagus  dan ORIGINAL.  Makasih seller.. Makasih mas  kurir... Semoga makin laris jualannya.,5
barangnya mantul,5
Barang sesuai harga,3
kusukaaaa syekaliiihhh. puuassss,5
"pengiriman super super lama... padahal deket....
tp brg Ok...",3
"mantap bangat, happycall nya gede sesuai gambar. pokoknya gk nyeseldeh belanja d lazada, abang JNE nya jg baik. trimakasih buat tokonya, mudah mudahan barangnya awet. 👍👍👍",5
"Barang ok sesuai pesanan,ya meskipun gak ORI to oklah harga segitu, respon cepat, pengiriman cepat kurir ok",4
"barangnya bagus.  dan tebal
peking rapi.. pak kurirnya pun ramah",5
"Alhamdulillah paket nya datang sesuai pesanan.
suka dan tidak kecewa bagus banget ",5
"Bagus, respon penjual cepat dan pengiriman cepat",5
bagus barangnya,4
"paketan sampai dgn mulus ,tapi sayang gk dipacking jadi kardusnya penyok untuk isinya gk lecet",5
memuaskan sesuai gambar,5
paket udh diterima. DOS agak penyok dikit tp brg aman. mudh2an awet yaa..tks seller,5
"Joss sesuai pesanan, TRIms ya",5
"barang nya bagus mulus, terima kasih lazada qu suka😍😍",5
mantap......bguss pemanggangan nya...,5
sangat bagusssssss,5
"kebesaran ya salah pesan, permukannya juga agak kasar, tapi semuanya lumayan lah, tq lazada",4
"barang di terima dengan jangka waktu yg lama, barangnya ada sedikit cacat di bagian penyambung nya ada yg lepas. kecewa",2
"Alhamdulillah barang nya Dateng jg meski lama pengiriman nya tapi barang mulus ngga ada cacat terima kasih lazada jg Abang kurir nya 
",5
barang kw kualitas sangat jelek dari seng plat dicat sma pilok aja pen dibelaknya longgar kardusnya hancur tidak dipeking brengsenk penipu,1
barangnya mulus tanpa cacat sedikitpun mgkin karna gk ori ya mknya barangnya agak ringan mksh abang kurirnya ramah n maw nganterin biarpun dh mlm,4
lamaaaaaaaa bngeeeeet datangnya aku kira GK bakal d kirim. Alhamdulillah barang bagus bnget Peking rapih.,5
"asli ga kecewa deh...meski agak lama pengirimannya...dah d pakai nih puas bgt,thanks ya...lazada keren deh ga kecewa",5
"Barangnya bagus sesuai dengan gambar gk ada yang lecet sama sekali
Tྂeྂrྂiྂmྂaྂkྂaྂsྂiྂhྂ lྂaྂzྂaྂdྂaྂ Aྂnྂdྂ sྂeྂlྂlྂeྂrྂ",5
"barang sudah sampai sangat bagus, sya kasih bntang 5",5
bagus...tp blum d coba lengkt ap g..cm barang lm nyampeenya..,5
pengiriman nya lama. kirain ma ga di proses pas pesen lagi dtng nya 2,5
barang salah kirim.pesan nya happy call.yg datang malah bakaran sosis tipis ,4
"Mantap ...! barang sesuai pesanan n sesuai deskripsi...n murah...thanx seller, lazada n kurir...",5
barangnya sudah sampai tetapi telat dr yang dijadwalkan dan tidak dipacking langsung ,3
"paketan udh sampe,pekinganya rapi,kurir nya sopan dan baik,mudah2 barang awet.maksh lazada sukses terus.",5
"barang bagus, pengemasan rapi, lama diprosesnya,  tapi pengiriman cepat. thanks lazada, seller dan babang kurir",5
"sedikit lecet bagian depan..
pengiriman sesuai estimasi yg di berikan 
semoga saat di pakai gak lengket
",5
