review,rating
"Pesanan tanggal 06 Agustus, saya terima tanggal 10 Agustus 2020. Barang sesuai dengan pesanan, di packing rapih dan aman, sehingga utuh dan diterima dalam keadaan baik.
Terima kasih seller, ekspedisi, kurir dan Lazada 👍👍👍🙏",5
"pesan udah saya terima,dan malam ini juga langsung saya coba pasang rancun tikusnya campur ikan, smoga berhasil membasmi tikus, tks buat lazada, seller, mas kurir, semoga amanah dan barokah buat semua. aamiin",5
"mantap
barang bagus
harga terjangkau 
jos jos
mantap berkualitas bagus ",4
barang sudah sya terima dngn baik dan smga sja racunnya ampuh. ,5
"wih manteppp
.datang racun langsung di coba ...has",5
"joss 
ketombe rontok",5
"sumpah,mantul banget ini racun,,saya udah coba racun apa aja,boro boro dimakan,, tp setelah beli racun cair ini,,wowww sekali kasih umpan 8 ekor tewas,,mati di tempat pula,,👍👍👍👍👍👍👍👍👍👍👍👍",5
m'f bru ksh ulasn krna ingin thu buktinya tpi jos lah.nanti mau psen lg klo udh abis.ma ksh lzda dn tkonya amanah.kurirnya langganan,5
kalian beli aja ga kecewa.... baru di taro 10 menit tau2 tikus modar semua....cuma di tetesin dikit2 di umpannya stngh hari panen 10 ekor...,5
sangat buruk ga bertanggung jwb.. udah mah bocor pas nyampe barang rusak.. aku marahin tuuuhhh kurir prodak ini kecil bgt.. dasar toko ga amanah ,1
"mantap racun ini ampuh buat ngeracunin kucing liar yg suka nyakar ngerusak tutup cover mobil saya yg mehong. 

segala racun di minimarket udah saya cobain dari racun Dora, Rattopik, ampe baygon cair ga mempan, cuma Mao Wang yg sanggup sampai sampai kepikiran buat beli Sianida tapi takut ntar jadi ngetop kaya di Jessica. 

mantap top markotop

saya akan beli lagi, secara cover mobil saya udah jadi target latihan Cakar Maud no Jutsu komunitas Desa Hidden Meaaow of kucing- kucing liar di perumahan saya. ",5
kirain saya botolnya gede. eh ternyata kecil sekelingking doang... tapi manjur sih tikus lngsung tepar gk jauh Dari umpannya. thanks lazada. sukses selalu... ,5
"Racun tikus telah kami terima, kondisi salah satu bocor, namun isi masih banyak, semoga bisa mengurangi populasi tikus, terima kasih",5
racun tikusnya da sampe smg manfaat ,5
barang x udh sampai walaupun lama tungguin x...trims..semoga sukses selalu  semua x..,5
"racunnya manjur, tapi sayang agak bocor jadinya basah kardusnya",5
"super joooz 
gak bs foto soale ngeri kayak pembantaian",5
"Makasih lazada, mantep bgt semalem dipasang langsung 8 ekor tikus mati",5
"walau cuma beli 2 biji, tapi pengemasan rapi dan juga dikasih bublewrap",5
udah d tes tikus mati,5
Maksi lazada. Mantul banget,5
mantap 5 jempol,5
"MANTULL GAN
",4
biar bintang yg bicara baru sdh ku coba ternyata banyak tikus yg mati pokok nya mantul deh,5
barangx udh ta ada yg rusak..trim....sukses sllu,5
tikusnya langsung KO,5
"tikuss pada mati, satu umpan cukup dua tetess.. barang baguss murah lagi ini, nanti order lagi",5
barang cepat datang tp masih blm di coba ,5
blom di coba tp semoga ajh ampuh,5
joos....bgt obatnya...baru naruh kue kasih racunya...tikus makan langsung klepek2 isdet...🤣🤣,4
Paket dah nyampe sesuai deskripsi.,5
mantul barang nya bagus bgt ,5
"pengiriman sangat cepat,,,,,mantull👍👍",5
Siip,5
mantap deh,5
"sesuai 
",5
 ampuhhh ,5
mantap terbukti dalam semalam dapat 7 ekor tikus yang sudah mati ,5
jossss,5
👍👍,5
