review,rating
"alhamdulillah barang mndarat dgn slamat,,
hatur tengkyu lazada n seller,, kurir ramah lanjutkan 👍🤝😊",5
pengiriman y lma...,5
"baunya beda dari biasanya. gak segar gitu aromanya, padahal expired masih jauh,  jadi ragu makenya.",3
"barang sudah sampe baru pertama pesen ud dapat potongan harga, thx lazada...",5
brng realpick sesuai pesanan 👍👍👍,5
harga murce,5
"paketannya dah sampe 
alhamdilillah cepat
terima kasih lazada",4
Bagus banget mkasih🤗,5
"terima kasih ya kak pesananku sampai🙏 pengirimannya cepat, dan respon penjual juga baik👍",5
thx sukaa 😚,5
❤,5
good,5
good,5
