review,rating
"barangx sdh nyampe bagus ...
mksh lazada",5
Terimakasih Lazada and seller paketnya dtg sesuai estimasi tapi maaf pointernya ga nyala ya...apa Lom ada baterainya ya...,3
"Barang sesuai pesanan, sayang senter g nyala. pesan warna putih datang warna hitam, tp ga apa2lah. kurir ramah. Thanks lazada.",5
"kurirnya ramah udah langganan, barangnya mantul,tq",5
"semua berfungsi , harga nya murah lagi
teriama kasih lazada",5
"bagus sesuai gambar laser,lalu,pulpen bekerja dengan baik ",5
sesuai dengan deskripsi.,5
sangat bagus pokok nya nggabakal kecewa,5
Alhamdulillah tidak mengecewakan,5
"Nice and real pict
thanks Lazada 👍",5
"Barang OK cuma.batrei utk.pointernya kayanya kelamaan disimpen jadi hrs ganti baru.
Secara umum...Sangat Bagus",5
packing rapih tidak sembarangan. penyampaian cepat. lampu dan laser berfungsi dgn baik tapi tinta nya kurang bagus,4
Barang dah sampai udah dicoba tapi masa lampunya mati udah dipencet tombolnya berkali kali masih mati lampunya gimana sih..  😤😤,2
gk ada lampu lasernya gak nyala.,2
mntullll lh buat harga segini,5
"barang sesuai, sampai tepat waktu",5
Barangny realpeck,5
mantapp slurrrr,5
sesuai dgn deskripsi produk.,5
"Warna yang bukan jadi pilihan, tapi selebihnya barang bagus, berfungsi buat android, Thanks",4
berfngsi bagus ,5
"dikira panjang
",4
Barang Baguss...,5
bagus...gak nyesel beli.,5
barang sesuai gambar dan semua berfungsi dengan baik pengiriman 4 hr baru sampai terima kasih,5
Keren banget boltpontnya. Makasih semuanya,5
laser pointer ny gk fungsi. ,2
lasernya ga berfungsi,3
"Barang berfungsi dengan  baik ,thanks ya",5
"sip, tq",5
"good
",5
mantul👍👍,5
mantapp,5
mantab,5
Mantul,5
o,5
