review,rating
"barangnya sesuai gambar, cuma saat pemakaian baru 10-15 menit panas banget mesinnya.. semoga aman2 aja gak napa2..",5
"baru tak coba mobil2nya,ok semua,..tpi ini tolg di perbaiki lg QC,NYA...biar rapi alat2nya,tpi overall ok...",5
Akhirnya datang juga mobil mobilanku...wwkk lumayan lah dari pada bersohin karpet pake sapu lidi..tapi ane bingung bosque yg kotak kecil sama yang bulat ini buat apaan gk ada di daftar nanusl bosl hadeuuhhhhh,5
brang bagus packingnya jg rapi. trima ksih lazada dn seller. tau gak itu fungsinya utk apa,5
puas sekali,5
barang sudah diterima trmksh lazada & seller packing rapi,5
"Barang bagus , paket sampai dalam keadaan baik , berfungsi normal semua 👍👍👍",5
mantap..thx,5
myantul barang sesuai gambar ,5
diterima barang ok sesuay pesanan,5
Barang sudah di test. Ok. Bisa COD pengiriman cepat lah.,5
keren desainnya sedotannya lumayan lah,5
"produk bagus, ada 2 benda yg saya belum tau kegunaannya
",5
barang sesuai dan berfungsi baik,4
sangat memuaskan sesuai dengan pesanan.,5
