review,rating
kecewa ah bli nya 65rbu di jual cuma 42rbu.semat anda sukses.,5
Barang nya ok tapi sayang nya ga di tulis harga nya kesan nya kaya bukan emas asli deh,4
"barang ud nyampek gan
puas karna sesuai pesanan
nanti klo ada rezeki mau beli lagi buat investasi🤝",5
mksh bnyak ya... itung2 untuk tabungan,5
mksh ya....lumayan untuk investasi....,5
"Awalnya sih agak ragu krn gak pernah beli emas online 
Tp Alhamdulillah sdh nyampe sesuai standart pengiriman n packing bagus sekali
Tambah pingin beli lg nih",5
"barang sesuai, buat investasi...
packingnya rapi, pengiriman cepat, kurirnya ramah sekali...Thanks Lazada..",5
"Barang sesuai pesanan , seller ramah sekali chat langsung dibalas . Untuk pengiriman cepat 1 hari nyampe 😁",5
makasih mas logam mininya sdh sampe.dan masya sangat kecil dan imut.saya suka banget makasih lazadah,5
"barang sudah sampe..maacihh"" Lazada next aq order lagi😊",5
"alhamdulillah udah sampee barangnyaa,, 
aman asliii,,  recommend lahh",5
barang bagus,5
"alhamdulillah udh sampe,mksh lazada,mksh juga bt mas kurirny yg ramah",5
pengiriman lama... tp gpp barang sip,5
okeee bngett,5
ternyata mini.tapi gak papalah lumayan,5
"pengiriman cepat, barang ori..rekomended",5
Sesuai pic,5
