review,rating
mantaaap. pengiriman jg cepat. minggu saya trima paket.,5
baguuuuuusss 👍 ,4
mantapppppppppppppppppp,5
parahhhh bnr..masa pesanan sya di titipin jauh bgt dr kmpng sya..gmn pertanggung jawabnya..sy bkn se x 2 x blnja di lazada tp br x ni sy kcwa..kurir j&t parahhh,1
mantab..!!! super cepat...,5
barang sdh diterima tks,5
terima kasih barang sesuai pesanan,5
Alhamdulillah sesuai pesanan ,5
"Mantap sesuai harapan.. Terimakasih 👍keren
",5
"Ok, barang sesuai pesanan",5
"barang bgs sesuai pesanan thx,",5
Mantul... ,5
Sangai bagus dan sangat membantu dalam melakukan pekerjaan. Terima kasih,5
Mantap Jiwa n rekomendasi utk berbelanja di toko ini.,5
prosesnya cepat banget ok ni toko,5
barangnya bagus,5
barang sudah sampai sesuai dengan keinginan,5
"terimakasih,,",5
gak ada komplemen sama sekali gak mengecewakan pengiriman dan seller pokok good job dach,5
mantep dehh barangnya,4
sesuai deskripsi,5
barang sdh sampai dlm ko disi baik dan berfungsi normal.  trims,5
barang sip...,5
ok narang sesuai gambar,5
memuaskan sesuai dengan pesanan,5
barang diterima cepat. Terima kasih,5
"alhamdulilah dah nyampe""tpi blum saya buka barang titipan mksh lazada",5
sesuai deskripsi,5
"belum sampai pakai.. pengiriman cepat  top


",5
siipp bagus......,5
Mantul dan rekomendasi utk toko ini.,5
"barang oke, sesuai",5
sesuai keinginan,5
sangatlah memuaskan,5
Puass..barang sesuai pesanan dan cepat sampai tujuan ,5
"barang sudah sampai, terima kasih barang sesuai pesanan",5
brg sdh diterima packingnya rapih,5
Bagus,5
Ok.. ,5
bagus,5
