review,rating
"Alhamdulillah..barangnya bagus lampunya jg nyala

terimakasih buat lazada ..semoga berkah 
dan kurir nya jg baik ramah tamah 🙏",5
"Alhamdulillaah baranh sudah sampai, sudah dicoba dan berfungsi dengan baik semua colokannya..rekommended seller..terima kasih seller, kurir, dan lazada...semoga tambah sukses !",5
Brg sdh sampai & sdh dipakai.. Smg awet umir pnjg brg ini.. Tks lazada n seller... Kurir kurang sopan.. Mks..,5
"mantul barang nya ok pengiriman nya cepat ga nyessel belanja di lazada tanks lazada top banget ,👍👍",5
𝕒𝕝𝕙𝕒𝕞𝕕𝕦𝕞𝕕𝕦𝕝𝕚𝕝𝕒𝕙 𝕓𝕒𝕣𝕒𝕟𝕘𝕟𝕪𝕒 𝕓𝕒𝕘𝕦𝕤 𝕞𝕒𝕜𝕒𝕤𝕚 𝕝𝕒𝕫𝕒𝕕𝕒.,5
"pengiriman super cepat dan diterima dengan kondisi baik, barang bagus dan berkualitas dan langsung dipakai berfungsi dengan baik, terimakasih semuanya",5
"Alhamdulilah pesanan dah sampai,, paket sama kaya di gambar, makasih seller and kurir, sukses sllu",5
mantap berfungsi dgn baik,5
"barang sudah sampai pengiriman cepat,barang bagus terima kasih",5
"bagus banget,,, jangan diragukan",5
"mkasih lazada pketnyah udah nyampe.
dan kurirnyah ramah. sukses trus lazada ",5
tanks lazada smoga sehat selalu smuanya n dimudahkan sgala urusan n rezekinya ,5
pengiriman cepat....packing aja kurang bagus,5
"mantul berfungsi dgn normal dan packing sgt bagus, trm ksh kurir dan lazada n seler nya",5
paking rapi kurir ramah brang sesuai semoga awet.trima kasih lazada ,5
"paket sesuai,kurir ramah,trmksh",5
sdh dicoba utk mencolokkan toaster.dan berhasil.,5
"terimakasih buat paketnya, tp saya agak kecewa karena kabelnya gak sesuai dengan yg d cantumkan. ",2
alhmdllh lumayan bagus terimakasih lazada,5
Makasih..  Barang nya bagus idup semuah👍👍,5
"Makasih..  Barang bagus, colokan idup semua,  maaf baru ksih ulasan",5
berfungsi dgn baik .TKS,5
Thanksss.....,5
mantap berfungsi dengan baik cuii,5
keren brg ny..harga sgtu..byk guna ny,5
berfungsi dng baik,5
mantul..dateng nya cepet lagi,5
cakep.....barang mantap dcoba nyala sempurna👍👍👍 pengiriman cept🙏🙏⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐,5
alhamdulilah barang sampai bagus pula tks lazada,5
ok barang mantap berpungsi terimakasih,5
mba ini gimana sih stop kontaknya ko ngga bisa dipakai kecewa banget belanja disini ,2
Trimakasih orderanku nyampek dengan selamat trimakasih untuk seller barang ok banget sesuai dan berpungsi dengan baik.dan kurir sangat ramah pokoknya sllu top untuk lazada saya sangat suka belanja di LAZADA🖒🖒,5
"brg sudah sampai dan berfungsi dgn baix,tapi stop kontak nya kaya ada bau sangit² nya,yahhh semoga awet dah",4
"paketnya udah smpe, kurir nya ramah, tapi pas di coba mengecewakan bgt gak bisa di pke, pas di colokin kelistrik bisaa pas di coba nyalahin kipas angin, kipas anginnya gak nyala, lampu di colokan nya malahan mati 
gembel bgt😒
nyesel bgt beli disini",5
"pembelian ke 2 x nya.. berfungsi dgn baik.. 
mksh bnyk seller, lazada & abang kurir...
murmer.... tp g murahan.... ",5
"barangnya bagus , sesuai dengan gambar .harganya murah banget . pelayanannya cepet .. semoga tokonya makin maju . + makasih lazada ... 👍👍",5
"Alhamdulillah barang sesuai, seller amanah, Terima kasih buat Seller,Abang kurir dan Lazada,semoga tambah sukses selalu",5
sangat kecewa.... barangnya ga bisa d pake wlw lampu on offnya nyala. harusnya cek dulu sblom d kirim... ,1
"gak nyala.pas di liat kabel nya copot 1, tp udah saya bnrin.lain kali di cek dulu sebelum di kirim trimakasih
",5
mntp bos,5
"paket dh di trima alhamdulilah udh di coba 👍pengiriman cepat mksh 
aku ksh bintang 4 supaya lebih bagus lg dan selalu Allah
",4
Barang tidak berfungsi sama sekali alias RUSAK! Kok bisa jual barang rusak! Bagaimana cara return barangnya? Sy tidak mau tahu! Sy harus menerima barang yg BENAR! Kalau tidak kembalikan uang sy!,1
"Alhamdulillah blanja disini slalu puas dan sesuai , kabel nya berpungsi dgn baik , terimakasih seller n lazada jg Abang kurir yg SDH antar ,semoga lancar jaya aamiin",5
"baru pertama belanja dilazada bikin kecewa mintanya apa dikirimnya apa, giliran dichat gk ada respon. mrngecewakan. semoga makin sukses ajh klo jualan itu yang amanah dong mba/mas. mudah mudahan gk nyampe ketipuka kya saya yah mbk/masnya",1
paketnya sudah sampai. tp sya bingung mau dikembalikan atau gmna? barang tdk sesuai deskripsi. beda merek dan panjang kabel 5 meter.,5
keren.....,5
kenapa cuma plastik kresek hitam ya pak n buk ? pengiriman ga aman nih dan kurir agak lelet pengirimannya ,3
"Alhamdulillah sudah sampai paketnya, pengiriman nya cepat 3hari langsung datang, produknya realpick dan semua berfungsi dengan baik, kurirnya ramah.thanks lazada n untuk tokoknya semoga produk nya laris manis dan banyak peminatnya.terima kasih",5
Bru ksih ulasan.sangat kecewa banget mesen apa Datengnya raket nyamuk.kalau gak ada barang jangan dikasih biar orang itu gak kecewa mau mesen lagi...!!!!,5
"maaf baru ksh ulasan, pkonya mantep dah, sesuai pesanan dan cepat pengiriman nya, mksh lazada dan tokonya,",5
"Paket sampai dengan selamat ,berfungsi dengan baik semoga awet terima kasih lazada gak nyesel deh order disini",5
Stok kontakny udah ditest bagus tp cable sama colokk ny ga sama putihny tp toh gapapa dah remkomended lah 🔥👍,5
packing rapi...barang oke berfungsi semua... kurir ramah n sopan... pokoknya untuk kali ini gak mengecewakan... alias puasss blanja d lazada.. ,4
"Paket Stop Kontak sdh saya trima tdi siang, dah saya coba,,,*cakeeep,,,*Aq sukaaa,,,Terima kasih Lazada 🙏 Terima kasih Seller,,🙏",5
"Mantap dengan harga murah bisa pake colokkan banyak jadi bisa ngegame lagi deh ama temen"" makasih lazada🤗🤗",5
Pesanan udh sampai barang bagus sesuai gambar mantap pokoknya pengirimannya juga cepet.thanks lazada ,4
thanks seller Lazada n delivery service fast respon barang sesuai dan berfungsi dengan baik 👍👍👍👍👍👍👍👍👍👍👍👍👍,5
"Paket sdah sya terima dgn baik dan sesuai keinginan,terima kasih lazada dan tokonya jga buat kurirnya..Top semua 👍👍",5
"Oke gan,, Barang Udah Mendarat Real Pick Bangett Saya Suka top markotop  kurir nya juga  Ramah, sukses Buat yg punya toko, sukses juga Buat Lazada..  ",5
jgn ragu brng bgus d jaya. cm sy slh pilih sj yg kbel nya 1.5 m.. kmren sharusy yg 5m.. gk pp nanti order lg . terimakasih lazada d kuriry yg baik.,5
"sangat kecewa baru kali ini beli barang dilazada ,barang yg saya terima dlm keadaan rusak atau tidak dapat digunakan ...",5
gmana sih saya pesen colokan ny yang 5 knpa datang colokan nya yang 3 gk bnr banget,5
ini gimana kok gak ada listrik yang masuk sama sekali..sudah di coba gak bisa...gmn Lazada nama baik anda di pertanyakan,1
"bagus barang nya,dr 4 cuma 3 yg bisa dipake yg 1 korslet mungkin pas dipake mati..pengiriman lumayan lama tp barang tetep nyampe.",5
stop kontaknya ok..smua nyala..tinggal dipasang buat kamar anak biar ok mo pasang lampu kelap kelip dan yg satunya buat colokan gosokan jadi bisa dipke lngsung ⭐⭐⭐⭐⭐👍👍👌packing standar plastik kresek item..,5
"mantap, barangnya bagus, langsung di pakai aja nihh,  semoga awet tahan lama. thanks seller rekomendasi banget lah pokoknya. thanks pak kurir yg sangat ramah dan juga udah langganan. thanks lazada. saya nyaman atas pelayanan nya. semoga semakin di tingkatkan lagi kualitas pelayanan nya",5
"ini kok barang nya datang cuma 1 saya kan pesan 2 ,sedangkan bayarnya 2 barang,tolong yg 1 barang lg segera yaa...saya sudah sering tp baru kali ini barang dtng gak sesuai quantity
",5
"Alhamdulilah  sudah sampai, tpi Sayang lkabel pendek, trimakasih ya lazada. 
Kurir nya baik ramah, sopan🙏😊",5
barang datang cepat dan sesuai deskripsi tapi beda merk sama yg di gambar beli 5 tapi belum di test semoga tidak mengecewakan,5
"stop kontaknya bener ad 5 lubang,tapi knp ga nyala,jgn dikirim barang rusak dong ,klo ky gini customer merasa dirugikan.Baru x ini belanja di Lazada kecewa.😔",5
Alhamdulillah barang sudah diterima dan berfungsi dengan baik. kurir nya baik banget. makasih seller n lazada,5
dh salah kirim untung nyala yg diterima stopkontak 3 lobang panjang nya ga ada 1.5 meter lg kan order nya 5 lobang payah nih ga teliti,2
"mantap, pengiriman layan cepat. paket lengkap dan semua sudah dicoba dan menyala. kualitas standar menyesuaikan dgn harganya yg murah. thanks.... ",5
"pengiriman cpt, barang sdh kami terima, sangat kecewa stop kontak yg dibeli tdk menyala alias mati,sdh di cb di 2 tempat colokan tetap tdk nyala. sy pertanggung jawaban, untuk pergantian baru.",2
3 colokanya longgar,3
stop kontkny bagus mksh,5
alhmdulilah barg yah bagus cefat juga fegiriminyah ...😍😍😍maksih abag kutirayah udah berlangannn,5
Mantul barang nya aman dan berfungsi dengan baik... terima kasih seller dan lazada team kekeke,5
keren berfungsi sempurna,5
"alhamdulillah sesuai keinginan
",5
mntp jiwaaa,5
Buat abang kurirnya emng udah langganan. ,4
gak berfungsi...,3
"Maaf baru ksih ulasan nya skrng.mantap lah pko nya.kurir nya ramah.baik,langganan lagi.poko nya mantul....",5
berfungsi dngn baik,5
ok brang mantap. ,5
"top bgt barang ny
",5
"ok barang berfungsi dan harga murah banget kualitas ok , tapi pengiriman agk lambat",5
Bagus berfungsi dengan baik dan nyala lad merah,5
baguss berguna bgt cpt pengirimannya,5
Alhamdulillah bagus,5
"Puas, berfungsi dengan baikkk👍👍👍👍",5
good job thx Lazada,5
stop kontak nya bgus smoga awet👍👍,5
sip barang ny mantap👍👍👍👍🙏,5
barang ya bagus sesue sama pemesanan...,5
"produk oke, ada sni nya. kabel jg cukup tebal. smoga pemakaiannya aman dah tidak bermasalah",5
"saya mengkonfirmasi produk ini sampai tempat dalam keadaan baik..
terimakasih...",5
alhamdulillah suka deh stop kontaknya..,5
okeh sip lah makasih,5
sesuai pesanan dan berfungsi dg baik...barang oke...thanks ya...,5
mantul👍👍👍👍👍,5
"mantap sukses terus lazzada
",4
mksh brang dah nyampe,5
