review,rating
"mantp.. mkasih semuanya 
sugses lelau.. 
",5
"pesen no 11 malah dikirim no 1, g bener bgt.",2
"Ini ko saya beli mata kail elite size 11 ko kecil banget si ,,kecewa banget engga sesuai dengan yg di inginkan ",1
terima kasih... sudah sampai... mantap,5
kirain size 7 besar..  hhhmm.. terr..teerrtipuuuuu..!!!,1
respon dan pengiriman expresssss.....cepat sekali👍👍👍,5
mantap saya senang blanja di toko ini barangnya bagus sesuai pesanan. ,5
Mantaaaap,5
mantab jos ,5
ukuran no.7 kok kecil seperti uk.5,2
👍,5
jos,5
👍,5
