review,rating
"paketnya sudah terima, mau coba dulu kalo ada kemajuan akan sya order lgi..",5
"semoga berhasil, kurirnya baik banget",5
"alhamdulillah barang sudah diterima, kurirnya ramah dan tanggung jawab.
baru satu kali dipakai sudah ada perubahan, tumit yg pecah²nya sudah mulai hilang",5
ok realpick,5
"Mksih lazada,,,,
    Sangat mantulll sangat menpuaskan👍👍👍👍😘",5
Alhamdulillah barang meluncur dgn selamat;) ,3
lumayan,5
"ini obat kaya magic sumpah begitu oles di kerik langsung bersih terimakasih lazada,",5
"kereenn,, kaki pecah pecah ku jd bersih 😍",5
ok....sesuai pesanan,5
cepat baguss,5
"baru sekali pke blm ada hasil..kurir baik,sopan 👍🏻",5
mantap.baru pertama pke uda lngsung mau terkelupas,5
barang cepet sampai.. txs ,3
"Seperti biasa nya .ok
",5
bagus banget gk kecewaa,5
Barang ok sesuai,5
trimakasih lazada... pesanan sampai dgn baik.. sukses selalu untuk lazada,5
"barangnya bagus, hasilnya aq sangat puas...
terimakasih...",5
barang sudah sampai mudah2an ccok mksh seller mksh lazada ,5
Barang nyh blum saya terima!!,1
thanks barang bagus walaupun agak lama,5
tumitku dh nyampe blum di coba makasih lazada,5
Bgus produk nya kemasan rapi ,5
bagus bgt ..,5
alhamdulilah barang sudah dtg & sesuai pesanan y. klo ccok nti pesan lg . mksih 🙏😊,5
Recomended,5
sesuai,5
TOP BGT,5
