review,rating
alhamdulillah kuteks nya keren bagus sesuai yg di pesan ..makasih juga buat abang kurir nya ...senang belanja di lazada ,5
"barang sampe dengan aman, sudah dicoba semua, bagus bisa dikelupas, cuman kalau mau yg maksimal harus 2 kali oles kuteknya jadi bagusss makasih semua pas sama yg saya order ga ada yg kurang",5
terimakasi udh tepat waktu pesan ya sangat memuaskan dan terimakasi Lazada dan kurir dan ninja X😍😊😁,5
maaf ya kak aku kan pesenya warna maron kenapa datangnya unggu emang enggak d liat apa aku kecewa banget lo kak,5
aihh...salah kirim ap gimana.masa pesen kutek nyampey maskara...hargay juga beda 3x lipat lebih mahal...gimana siehh...,5
"syuka,
wrnanya bguus sesuai pesanan😍😍
pengiriman tepat wktu😁😁
trimaksih lazada seler abng kurir
smoga sukses sllu👍👍👍👍",5
"warnanyaa lucu tp sayng mudah copot gak tahan lama d kuku,pengiriman nya cpet seler nya jg respon nya cpet makasih ",5
saking lama'y sampe lupa sama pesenan sendiri 🤣 excited dong pas buka warna sesuai yg di inginkan warna hijau. and buka yang ke dua beda warna dong 😂😂 yg saya pesen merah maroon. yg datang ungu 🤭. tp ya udah lah ya gpp. thx,3
"Udah mah pengirimannya lama terus gak sesuai pesanan pula, saya pesen warna apa malah datangnya warna apa !!  Kalau jualan mau laku jangan bikin pelanggannya kcewa dong, Padahal saya udh Cht juga jangan sampe salah warna tapi iya² Bae sampe akhirnya salah warna kan ",5
"barang sudah sara terima dan paking nya rapi ,warnah soft"" saya suka....😘😘
kurir dah laganan tq lazada ....sukses selalu👍👍👍🙏🏻",5
klu mau d kirim d cek lagi barangnya minta warna merah marun knapa yg dateng warna abu ,1
"sis kenapa warnanya g sama ch,ak pesan warna yg kaya digambar eh yg dtng kaya gini,nyesal banget ak,bru kali ini ak pesan g sesuwai
,kalo buat4⁷7⁷⁷⁷ to to to to you yu",5
"mesen warna maron kok yg datang warna ini...tolong donk kalou lagi kosong Jangan d kirim dulu ... 
   makasih buat mas kurir y udah langganan",3
"ga sesuwai warna nya.mita warna merah ko jdi nya beli.
",5
"sukaaaaa, kena air juga ga ilang warnanya,tpi ttp bisa di kupas kuteknya😹",5
proses kiriman cepat. mksih,5
minta mrh yg Dtg wrna Bgini kecewa bgt,5
"wangi coffe good day,,semoga halal yah. termaksih",5
"produk ok , belum di coba sh tp dr packaging oke lah .. ",5
"Alhamdulillah barang sdh diterima dgn baik, terima kasih Lazada👍",5
