review,rating
terima kasih paket sudah tiba sangat rapi dan sesuai keinginan. yg bawa juga ramah. Kiranya bermanfaat uyk kantung mata saya.,5
"tks barang nya sudah sampai
semoga pakai ini, kantung mata saya bisa hilang 
dan saya bisa lebih percaya diri 
tks lazada",5
"terimakasih lazada barangnya udah nyampai mudah""an cocok & kurirnya ramah Dan sopan",5
sdh datang cpt mudah2 an cocok,5
"barang ny udh sampe,tapi blm di coba smoga aj cocok",5
"alhamdulillah, barangnya cepet sampai, masih proses, semoga mata panda ku membaik",5
2 hari mata panda juga bisa hilang tapi buat kantong mata belum.  sangat bagus,4
barang sudah sampai dengan baik,5
Semoga mata pandaku membaik ,5
barang sesuai pesanan pengiriman cepet bangett sukaa pokoknya terimakasihhh lazadaa❤❤❤❤❤🥰🥰,5
👍🏻,5
"paket dah di terima 
dan tidak mengecewakan
",5
baranya bagus.,5
mksh  palet nya  sfh  nyampe  . suxes  sllu   .good  job,4
mksh ladaza bgs bngt kantung mata ku jdi hilng,1
barang tlh nyampe dlm keadaan baik. ,5
"brng udah mendarat... 👍
",5
"pengiriman ok, barang ok...",5
Sesuai gambar,4
pengirimannya cepat👍👍,5
gk mau hilang kantung mata hitamnya,5
"Makasih Lazada barang sudah sampai,kurir baik,pokonnya lazada 0k",5
paketnya sdh nyampek..makasi lazada,5
bagus,5
mantap,5
