review,rating
"barang ok sesuai gambar, peking rapi,,,,pengiriman jg cepet,,,,tp belum dcoba, mudah mudahan terbukti deh,,,,👍👍🙏",5
paket sudah saya terima namun cara pemakaiannya gimana??,5
jos akhirnya datang juga yg di tunggu... ,5
sip paket cepat sekali sampai..,5
"bagus motor sy langsung kinclong

",5
barang ok mantaps,5
terima kasih barang sudah sampai sesuwai pesanan drevernya baik dan sopan.,5
Kerak sma jamur pasti pada ilang... Makasih lazada ,5
Bintang 5 buat the Bakrie Top Seller.... Thx ,5
mantul,5
mantap,5
