review,rating
Alhamdulillah barang nya udh nyampe rumah,5
"Barang sudah datang 
tapi ukurannya berbeda dengan yangvdi gambar
tpi gppalah minimal harga nya murah
",5
barang ny bgus sekali gk pernah kecewa deh belanja di lazada... 👍👍👍,5
"Sesuai gambar
Kurir langganan saya 
Thanks lazada",5
payah yg digambar mah lebarnya 5cm yg datang lebarnya cuma 2cm ,3
Realpict brg nya,5
"kirain 5 x 5, tau taunya 2,5 x 5 ",1
pengiriman lama,5
mksh barang nya sesuai pesan👍👍👍,5
"Trma ksih
Insyallah bli lgi nih",5
"waw
",5
Top sesuai,5
"parah dichat bilang 5 x 5 yang datang 2,5 x 5 
makan tuh uang nda jujur ",1
