review,rating
"keren cincinya makasih lazada
g pernah kecwa blja di lazada
slalu amanah
kuririnya ramah
pertahankn
sukses slalu bwt lazada",5
"Brang ny bgus. Kemasan ny jg rapih
  Saya suka. Pokok ny bgus bgt cincin nya gk ngecewain makasih lazada. ",5
"Bagus  barang nya cuma agak besar dikit ukuran nya
",3
"ko cincinnya yg d kirim 1 doank ,d gmbar bkannya couple ,lain x d teliti lgi ya ka ,lo bang kurir mah baik dah lngganan",5
cincinx kgk sama motifx...satu endless love...satu lage heart...kecewa...,1
mantaaappp gan,5
"Tdk menyesal cincinya bagus sesuai pesanan, mau order lg no 16 dan 19",5
"kata nya cincin cauple tapi kenapa yg dateng nya satu,,parah bner kecwa bangettt",2
maaf katanya caple tapi yg datang kok cuma 1 gimana tuh,5
"paket sudah mendarat, Alhamdulillah cincin'y bagus banget sesuai di foto.aq seneng pas di jari ku.mksh lazada mksh jg mas kurir yg baik",5
"asikkk yang ditunggu dari kmrin udh dteng👏👏😊👍,cincin pas di jari saya dan wrna ya saya suka?kurir ya juga baik ramah,mkasih lazada🙏😊",5
makasih lazada cincinnya sudah sampe Cepet banget estimasi pengingirimannya puas dehhhh kurirnya juga ramah lagi ,5
barang nya bagus yuk order disini ajah,5
mantap gan..saya kira dapet dua eh ternyata dapet satu doang,5
"katanya cincin pasangan tunangan,cincin couple tapi kok cuma 1 si gmn ini?
",5
lama skrang mah pengiriman nya,1
Alhamdulillah bagus ka barang nya tapi ko yg di kirim cuman satu,4
"pesen cincin di tulisan bilangnya couple dapet 2 tapi barang nya yg datang cuma 1
",5
di kira gold.dtng silver,5
Sangat mengecewakan sekali sikap dari seller ini karena TDK bisa mengembalikan barang,1
katanya couple ko yg datang cuma satu gimna sh bwt toko... makasih Abang kurir ny,1
"kirain cicinnyah dua
sangatkecewa banget",1
sangat bgus tp gk bsa milih berbeda2 ukurannya ,5
KECEWA KATANYA SEPASANG TAPI KOK YANG DATENG CUMA 1,2
cantik bangat,5
"cincin y bagus bgt saya suka,,
mksh lazada 
mksh abang kurir y baik dan ramah 
suksess ya lazada..",5
"Alhamdullah barangnya udah sampe pngirimannya juga cepat,cincin sesuai dengan gambar dan pas dijari aku,Masa kurirnya juga ramah udah langganan... Makasih lazada semoga jadi langganan",4
"Alhamdulillah cincin bagus dan nyaman dipakai, tpi tulisan di cincin gampang pudar, y gpp, good joob lazada... ",5
alhamdulillah paket dah nyampai kulirnya ramah makasih lazada,5
bgus cincin ny aku suka banget ,5
mantul..ini orde ygk,5
"sesuai ekspektasi, thank's lazada",5
Bagus cincin ny real pick..makasih lazada next order lagi,5
"Barang Oke Sesuai, Packing Rapih Pokoknya Thanks.",5
"aku suka, pengiriman juga cepet, tpi kok gk sesuai gambar ya?? tpi gpp deh

Terima kasih 🙏🙏",4
"aku suka, pengiriman juga cepet, tpi kok gk sesuai gambar ya?? tpi gpp deh

Terima kasih 🙏🙏",4
paket sudah diterima dengan baik. terima kasih,5
bagus cincinya seprti cinci tunangan saya yg lupa naru hehe tapi kekecil gpp aku suka makasih,5
"real pict sangat memuaskn sesuai yg di gambar 
proses pengiriman cepet👌👌👌",5
"Alhamdulillah barang sudah sampai .
  pecking realpick ",4
brng bagus anakku suka,5
"terimaksih lazada,barang nya oke,dan sesuai pesenan😊",5
barang bagus sesuai deungan peusanan tpi yang datang cincin nya cums satu ,5
"gooddbagus kali
",4
bagus sih sesuai pesanan....lumayan lah,5
Bagus banget real pick 👍,5
Mksh lazada walau kekecilan gpp mau pesen lg modelnya q suka😊,5
pas bngt di jarimanisku..dan tidak luntur,5
Cincinnya bgus real pict tp kekecilan kyak bkan ukuran 17,5
"Trima kasih lazada pesenan saya dah smpai, proses pengirimanny cepat & kurirny ramah banget",5
bagus sesuai dengan gambar nya oc lah,5
"Cincin nya bagus,tapi yg satunya karatan😏",3
"bagus aku suka 
",5
Bagus cicinya maaf baru kasih ulasan.. Pokonya top lah,5
kurang cocok di tangan,1
Pesan 2 tpi yg 1 matanya pecah,4
terimakasih lazada barang nya selamat sampai tujuan nya dan terima kasih kurir nya baik dan sopan,5
Thx lazada cincin nya pass d jari manisku,5
cantik cincin nya,5
barang bagus sesuai..mksh 🙏,5
Sesuai dengan pesanan ,5
👍👍👍👍👍👍,5
"bagus aku suka cincin nya, udh 1 bln make belum luntur2. makasih lazada",5
mksih lazada brang nya dah sampai dengan cpat,5
mf bru kasih ulasan...bgus brg y...recomndd pokok y😊👍,5
uk 18nyh kurang gedee jdi ga kepake,4
bagus rielpick bAnget,5
oke pas bgt,5
real pict..thx,5
trimakasih,5
"thanks lazada barang orderannya Cepet sampe, puas dehhhh ",5
ok deh cincin ea tpi ukrn 16 kekcilan...,5
No 17 di jari aku kegedean jd g kpke ,5
kekecilan satu tapi joss lh barangnya,5
thanks Kaka. barangnya bagus.aku suka,5
aq suka,5
mksh ,5
jossss,5
bagus bgt,5
mantapzz,5
oke,3
bagus,5
cantik,5
Bagus,5
bagus ,4
mantull,5
mantul,5
mntap ,5
mantull,5
