review,rating
"bhan bagus,👍👍👍 tapi sleeping nya gak sesuai warnanya. pesan merah tapi yg dtang malah warna nya antara merah sama pink. gak tau itu warna apa??🤔🤔🤣🤣🤣",5
barang mantap sesuai gambar dan pesanan..jgn ragu beli di toko ini ..,5
mantappp..pesanan mendarat dengan selamat...,5
"Pesan hari Minggu, dikirim Senin, tadi siang sampe, seller gercep, pelayanan sangat baik, tingkatkan, kualitas baik untuk harga terjangkau, keseluruhan sangat baik, cuma resleting warna pink dan dalaman sb warna putih takut mudah kotor :) ",5
"barang bagus , buat sleping bag ny bulunya lumayan tebal tapi bahan luarny bising kyk keresek . padahal yang di sebalah merek mammut juga tapi bahan luarny bedah . cuman itu aja sih yang lainya paten",5
mkasih gan paket sudah mndarat mski da human eror sdkit Krn pihax pngriman nya sdkit nakal...Krn hamocx nya smpet ga da dlm paket. tp pihax toko saat d konfirmasi respon dan sgera d gnti over all Kren. suxses trus gan🙏👍 mhon  pihax lazada rekanan dgn kurirnya d perbaikin biar gax trjdi lg sprti mksih lazada 🙏👍,5
"siiipp seragam semua sesuai pesanan warna merah & sesuai deskripsi SB bulu.. 
tapi hammock nya ternyata ultralight & mohon untuk SB nya seenggaknya di bersihin dulu min dari bekas benang jahitan/apa jadi keliatan kotor.. ",5
mantul barangnya👍👍👍👍 kapan² pesan lagi,5
puas baget sama reseller,5
"maaf baru ksih ulsan ga nyesel deh pkok nya, pngiriman cpat, mksh lzada..",5
"mantap paten kali jos
",5
alhamdulillah..paket sudah datang...paket sangat memuaskan untuk harga segitu...kurir pun sangat ramah...makasih lazada,5
lengkap sudah.. seller nya bner2 fast respon 👍👍👍 gak kan nyesel dah blanja di mari.. tks ya gan👍👍👍 smoga berkah jualannya..😉,5
barang cepat sampai,5
SB nya enggak sesuai dengan yg di iklan,5
Mantap terimakasih pokonya oh banget biar awalnya paket kurang pas pertama Dateng tapi langsung di kirim ulang kekurangannya pokonya semoga tambah maju usaha dan terus menjaga kepuasan konsumen,5
"Sesuai yg d harapakan, sesuai foto nya, kualitas nya lumayan bagus sesuai dg hrganya lach. Tapiii matras nya kurang tebal. Packing nya rapi... Pokok nya mantul lach... Enggak mengecewakan....

Pengiriman nya jga cpat",5
"mantappp...
",5
"sleeping bagnya bagus flysheetnya tipis belum dapet coba semoga awet 
",3
"sumpah sangat puas belanja nya, gak ragu lagi dah buat belanja di toko ini.. makasih banyak ya, semoga amanah terus..",5
"pesanannya paket matras.. sb.. sama hammok.. tapi dapetnya cuma matras sama sb...  kualitasnya jelek..hati hati kalau beli di toko ini
",2
bagus banget pokoknya,5
barang oke. makasih lazada dan kurir nya,5
Barang baguss..senang saya..siiip pokok e.. dadaa..,5
"Mantul bangat dahh ini outlet cepet bales nya dan engga mengecewakan pelanggan baru..
Mudah mudahan awet dan penjual makin jaya ",5
"sipp brangnyya sesuai dgn yg d ftooo,,,thanks lazada mksih Abang kurirnyya",5
Barang bagus sesuai pesanan,5
"Paketnya cepat sampai, barangnya bagus tapi hammocknya lebar sekali.",5
"barang sudah nyampe,,pesanan sesuai,kiriman cepat,terimakasih lazada",5
"produk nya keren...saya suka banget...!!!
walau sedikit kecewa dengan waktu keterlambatan pengiriman nya",5
"buat pengirimannya cepet banget packingannya rapi produk juga ga ada yang cacat, matrasnya lumayan tebel jahitan pinggirnya rapi banget. buat hammocknya juga bagus. kalo buat sleeping bag dua layer sih kalo diliat kaya yang  tipis tpi waktu dicoba anget cuman bulunya nempel ke baju tapi ga masalah sih.. barangnya sesuai pesanan,, thanks lazada udh beberapa kali pesen selalu sesuai harapann",5
"Hammock kok gak ada ya , gak lengkap ni",3
"paket syudah sampai dengan cepat sayang packing kurang rapih.
 terimah kasih kirir yg baik hati",4
trimakasih gan atas responya walopun barang hilang anda tetap bertanggung jawab....👍👍👍👍,5
jangan ragu lah joss kualitas bahannya,5
sudah smpai dengan selamat dan kondisi baik. tpi sayang terlalu lama smpainya,4
alhamdulillah mantap mendarat dengan selamat .makasih lazada .istimeewa bangetttttt,5
kecewa sleeping bag tidak sesuai dgn yg digambar..,2
paket sesuai seperti di foto.. bagus ,5
lumayanlah u/ harga segitu👍,5
Bagus sesuai gambar,5
"Gapapa lah walau warnanya lain, tapi udah konfirmasi dulu .. yang penting barang ga ada yg cacat",5
"Tidak bisa berkata2,👍👍👍",5
biar bintang berbicara ,5
"mantapppp pluitnya ketinggalan tapi di kirim lagi, good seller sukses terus gan",5
matapppp bangett. bagus paking rapi. ,5
"mantap bang, sb nya tebel,  komplit 3 item. ",5
lumayan lah sesuai deskrip sesuai dengan harganya,5
Sesuai Pesanan. Mantuulll. 😍😍😍😍,5
suka sama barngya♥️,5
barangnya sudah sampe.terimakasih ka!fast respon pengirimannya jg cepat,5
seperti pesanan,3
mantap sesuai deskripsi. biar bintang yg berbicara,5
"mantap sesuai pesanan. 
",5
"barang cukup bagus...dan sesuai dengan keinginan saya...
mudah2an kualitasnya juga bagus...",3
"bagus nyaman untuk di gunakan 
",5
"Hammock  matras bagus,tapi SB nya jelek bahanya",4
penjual ramah mantep. ,4
real pick. tpi msih banyak benangnya di sleeping bag nya,4
matras gk sesuai tpi y ws lah ,5
sleeping bagnya hangat. enak buat tidur. pengirimannya cepat bgt.,5
mantap lurd,5
yang ragu beli disini pergi aja di toko ini cuma barang ori dan kualitasnya bagus ,5
Recommended 😁,5
Nice. Bneran lngkap dan ga rusak,5
baru bongkar n cek. kok hammock cuma 1 ya? pdhl sleep bag n matras 2,5
"Puas banget, dengan barangnya sampai dengan selamat, semoga makin sukses dan jaya
",5
"barangnya bagus dan sesuai pesanan, gak nyesel deh pokok nya ",5
mantul.. pengiriman sangat cepat dan kurirnya baik,5
makasih lazada ,5
barang sesuai pesanan,5
Pelayanan mantap..fast respon..barang oke..cepat sampai..,5
matrasnya tipis,3
Top kumplit puas belanja disini,5
"sesuai dengan harga lah, jangan bereksptasi lebih tinggi",5
SB nya tidak sesuai dengan gambar... Saya pesan yg Mamut dikirim malah yang lain.,4
"trmksh, brngnya smpe dgn cepat. kurirnya jg baik..
hanya bhnnya agak tipis. ",5
"Barang bagus, pengiriman cepat. Thank you Lazada!",5
ok mantul barang nya,5
sb kurang panjang jadi gak muat sama saya,2
pengiriman cepat kali cukup cepat cepat kali wkwkkwkw... barang bagus sesuai foto... ,5
"Top Markotop ...

Sesuai pesanan , Makasih",5
"baring ssuai pesanan,pengiriman tdk ssuai prmintaan😁",2
"barang cepat sampai

",5
anak saya suka barangnya memuaskan..murah tapi bagus pertahankan!!,5
"asli bagus gann mantapp
",5
barang dah dtang...Komplit semua ada....Mksih ya,5
Barang bagus..sesuai pesanan,5
Bagus walaupun matras nya sedikit cacat,5
"pengirimannya cepet, orangnya rama, barang yang dipesan bagus.. sangat puas ",5
bagusss dehhh... toooppp bgt,5
sabgat memuaskan,5
sangat memuaskan,5
Sangaaat puaaasss...,5
terimakasih outdoorgrosir paket nya dah sampai dan senang tidak mengecewakan ,5
keren suka banget sama barang nya terimakasih,5
bagus,5
Madep bos,5
memuaskan,5
Mantul,5
Mantap,5
Mantap,5
"mantep 
",5
