review,rating
mantab barangnya,5
bagus👍👍👍,5
sesuai orderan makasih,5
peking rapi sih tapi ko d pake y panas trus bau gk kaya biasa y wangi mudah2n hasil y bagus aja ,5
barang realpict banget,5
"pengiriman cepat ..paking nya rapih ,,sesui pesanan..
",5
alhamdulilah sesuai pesenan mksh lazada dan selerr,5
Goooddddd😻😻😻😻😻😻,5
pengiriman nya oke,5
barang ori. belum di coba semoga cocok. kurir nya ramah thanks lazada,5
pengiriman cepet barang ORI okelah,5
mantapppp pengiriman nya 1hari sampe,5
Nice nice,5
