review,rating
"Real pict.. Seller ramah, & cepat pengirimannya, sebelym tanggal estimasinya, good buat tokonya👍👍👍",5
Okee banget bajuNya udh gituu murahh lagii bahan nya agak lembutt jugaa lgii okee mksihh maju trs lazada👍🤩,5
"baju nya bagus banget nyaman banget buat dipake terus ngga tipis,, berlangganan ini mahh 😁😁
semoga tetap jaga keamanan nya ya 
",5
"ini ke dua kalinya order.. alhamdulillah responnya cepat.. barang yang kosong langsung di kabari..  makasih.  👍👍
cuma pengirimannya agak lama.. 2 minggu baru sampai barangnya... ",4
"tadinya ada motif yg gk ada yg saya pilih... tp dr pihak seller nya langsung hubungin saya... sellernya amanah... bagus bangetttt..
makasih sellerrrr..",5
sip saya suka sesuai dengan yang di inggin kan untuk kurir nya ramah pertahan kan terus tengs lazada🙏🙏🙏🙏👍👍👍👍👍👍,5
"Alhamdulillah paket sdah sampai,sangat memuaskan pelanggang saya suka Deng kainya,makasih lazada,kurirnya ramah🥰",5
"bagus banget tebel bahannya😍. custmrnya baik banget ada pesenan yang kosong lngsng di hubungi dan konfirmasi, bakal jadi langganan😍😍😍",5
"mksih lazada barangxa sdh smpe Dan aku suka bgt bhanxa lembut pokokxa kualitasxa bgus, maaf ya bru kasih ulasan",5
"Barangnya ok...cuman warna flaminggo ini kurang rapi jahitan di kerah nya tapi gak pa2 sy suka yang tosca polkadot yahud banget..pengiriman cepet banget
makasih ya toko dan abang kurir dan lazada
nanti sy order lagi",5
"alhamdulillah bjunya sesuai pesanan terima kasiihh kk,terima kasih buat pak kurirnya semogaa lanacar semuanya",5
"belanja disini barang barangnya selalu bagus pokoknya bahan adem,ini udh 3 kali nya order dan ini ingin order lagi, semoga penjualnya selalu memberikan pelayanan yang baik untuk customer dan langganannya amin...",5
jgn ragu ya blnja d toko ini..sumpah barang'y bagus bgttt plgi bahan'y super lembut beda sm d toki lain bhn'y kasaaaaarrrrr..ini mh  mantul top dech,5
paket udah datang.. bahan lumayan dgn hrga segitu.. aq suka.. cuman lama bgt paketnya ngx datang2.. kurir yg ngantar kurir biasa nya... ,5
"sangat menyenangkan belanja disini barang real pick bahan bagus ini udh kedua kalinya order, pengen order lagi.",5
Puas sih untuk harga segitu. Q sekalian beli 3 tp q ngerasa aneh masa di kerah leher yg satu kecil yang satu gede. Jadi keliatan aneh bgt. ,3
"bajunya bagus realpick, tapi sayang, beli 2, minta beda warna n motip tapi di kirim motip sama n harga sama.",5
paket nya sudah sampai realpick banget kurirnya baik rekomen banget deh seller nya juga ramah ada pergantian warnya ngabarin dulu makasih lazzada ,5
Bahannya cukup bagus dgn harga sgitu playanan bagus bgd disaat wrna yg sudah diinginkan kebetulan tdk ada langsung konfirmasi trhadap pmebeli patut dicontoh untuk toko2 yg lain👍👍👍,5
"barang nya bagus,, aku suka, aku suka😀😀😀,, cantik kali, reseller ramah barang kosong langsung d konfirmasi
kurir nya juga baik ramah 😀😀😘😘😘",5
"ini pesanan kedua,waktu pembelian pertama  aq pake tetangga pada nanyak hrganya trus kaget2 krna murah banget, jd deh ini pesen lgi sekali banyak Alhamdulillah smua pda suka, trus aq peswn lagi ni untuk ke 3 x nya,tp blom smpek masih dijalan.
barangnya bagus, dtgnya jg cepet, kalau brng yg kita pesen kosong tokonya hub kita dan ngabarin biar ganti corak lain, pkoknya ini toko is the bestlah.makasih toko dan lazada",5
lumayan tebal,5
Bahan bagus respon penjual baik tapi sayang toko harus memperbaiki stok yang dijual karna banyak stok yang dipesan kosong 🙂,5
"barang nya bagus benget,,😍😍😍
pokoknya ga nyesel belinya.
makasih buat toko.😊😊😊
makasih jg buat mas kurirnya....",5
"cepet bgt  1 hr lgsg sampai , mantab 👍 walaupun motif nya beda 1 ci sama yg d pesan tp it's ok lah 😊
bahannya jg bagus 👍",5
"sumpah demi apapun ini barang nya real pict ,bahan tebel ,pengertian sangat cepat ,di luar expetasi ,kemarin meser hari ini dateng 😍😍😍 berkah slalu untuk toko ini.  .",5
"Realpict euy,pengiriman cpt bgt,pesan tgl 29 siang tgl 30 siangny udh sampai pdhl estimasi tgl 3-5 next insyaAllah order lg motif lain,sayangny ga bisa kirim foto,",5
"alhamdulillah baju yang ditunggu tunggu ibu saya udah datang bajunya bagus semuanya dan sellernya baik dan fast respon terimakasih lazada, seller, dan kurir yang udah langganan.",5
agak sdkit kcwa krna motif yg d inginkan trnyta kosong pdhl d fto msih ada... ya ok lah pelayann sngt baik wlpn d konfirmsi dl lwat whatshap buat pilih motif lain,5
alhmdulillah sesuai dgn pesenan dn bhan'y bgus dn tdk nyesel deh blnja d tko in sesuai dgn pesenan.. trma ksh yaa,5
"bajuu nya bgus,cmn syng warna light purple nya gaada😳jdi warna putih item deh,,tpi gapa2 aku suka ko😍trimkasiii pkonya puas bngett😊",5
penjual fast respon. barangnya kosong. dan langsung berikan stock yg ready. jd bisa langsung ganti. terima kasih ^_^,4
"Kemarin barangnya sudah sampai, walaupun warnanya bukan Hitam tp gpp karena tokonya bertanggung jawab telepon terlebih dahulu buat konfirm bcs barangnya abis jadi diganti warna Pink, tetep bagus ko warnanya dan bahannya adem, cuma saran aja kalo emang barangnya habis bisa dihilangkan dari stock biar pembeli yang lain gak kebingungan.. thanks",5
