review,rating
"Untuk yang cari PS3 dilazada disini aja lah, recommended seller deh mulus gaada minus game sesuai request",5
Makasih barangnya bagus langsung main,5
"Barang bagus,cuman sayangnya game nya cuman 1 aja",3
"Alhamdulillah.. paket datang dengan selamat, dan sudah di coba semua game nya..
Baguss dan semoga awet..
Kekurangan, sayang nya game FIFA sama moto GP yg d request d tiadakan..",4
alhamdulillah paketnya udah sampai walaupun gk ada stkernya tapi ps nya mulus pakingnya rapi terimakasih reseler,5
"sdh order ke 3 kalinya,paket datang dengan keadaan baik,kondisi barang jg masih sangat mulus, smuanya berjalan normal. tp agak kecewa,psnya yg dtng seri 20xx,bkn yg seri 25xx.. ya mgkn krn sellernya banjir orderan jd",5
"order ke 8 kalinya di toko ini, masih seperti yg sudah sudah, ps dtng dlm keadaan oke,mulus, smuanya berjalan dgn lancar. walaupun ada beberapa game yg di request ga dikasih. tp maklumlah sesuai kapasitas hd nya yg cmn 120 gb. karena covid 19,pengiriman terlambat sm harga ps nya yg naek 350rb. 😂😄😜. mp game seller ps 3 paling recomendedlah pokoknya..  ",5
"Terimakasih gan.. 
Sangat puasss",5
"ps 3 slim cfw warna hitam 2 stik,terima kasih barang yng sy terima dlm keadaan bagus,mulus dan berfungsi dngn baik",5
thank ya buat toko.. ps3 aman bagus tidak lecet . bisa di gunakan sesuai deskripsi dan request game nya di isi sesuai permintaan.. mantap buat tokonya.. pokonya jangan ragu belanja disini dan rekomended bangetb👍👍👍👍👍🙂🙂🙂🙂,5
Makasih mp game dan lazada mudah2an awet ps nya 😊,5
"mantap PS nya dan stick nya berfungsi dengan baik semua
makasih yach Gan",5
barang udah sampai makasih tapi belum dimainin karena sya pake tv tabung ga ada kabel av,5
"Alhamdulillah sdh dtg barangnya..... Anak sy gk sabaran lgsung d pasang PS nya  thanks lazada.. . kurirnya dh laganan tks, sukses slalu mpgame 👌👍😍",5
"Cara packingnya lumayan bagus ada pelindung benturan,  cuman  kemasan untuk jamnya yg tidak bonafid,  cuman bungkus plastik aja,  nggak pake box,  tapi okelah jam berfungsi dengan baik ",5
"Sangat memuaskan semuanya berfungsi dengan baik pokoknya jangan ragu untuk belanja di sini di jamin tdk mengecewakan recomended seller deh pokoknya
Trimakasih MP game
Trimakasih LAZADA",5
"alhamdulillah terimakasih gan ps mendarat dngn selamat,pakingnya good,ps berfungsi dengan baik,anak sy sngt seneng gamenya sesuai request,kurir ramah, makasih gan....makasih lazada ",5
"barang sudah di terima. 
bukan seri 25 tapi seri 20 .
padahal minta seri 25.
game yg bisa di maenin cuma bola aja PES.

yg lain ga ngerti deh.
begitu di buka malah kaya film game.
bukan game",5
"suaranya msh blm keluar,,msh usaha 😊
6 jam main non stop,, mesin nya g panas,, semoga awet🥰
makasi reseler🙏",5
"Ps,nya mantap
semoga awet",5
skin ga ada casan buat stik salah.nex order tolong puasin pelanggan,5
sip lah..rekomen pokonya..,5
Packing nya rapi .. beli Ps sebelum nya juga di pakai buat rentalan juga awet .. Makasih Mp Game .. Semoga Laris selalu ..,5
"respon cepat,pelayanan cepat. 👍",5
"kemasan rapi,barang sesui pesanan, joooosss",5
Mantaf.... ,5
pokoknya jangan ragulah beli disini semuanya lancar jaya aman lah pokoknyaa,5
"kurang puas kaga di kasih kardus...  
kurir nya sih mash biasa TOP asik... ",2
Bagus cuman kipasnya agak keras bunyinya dan boxnya bukan box asli tpi gpp muda²an awet😁,5
sudah di tes barang bagus buat sekarang tidak mengecewakan untuk game sesuai order thx mpgames!!!,5
kiraen warna merah,4
"barang second banyak lecet,dan buat PES 2020 nya gak bisa.buat yg lainnya ok makasih",4
Pengiriman cepat .. Packingannya rapi .. Mantap .. Kurirnya baik dan ramah .. Makasih Mp Game,5
Barang bagus walau hasil reffurbish cuma game yg di requist gk lengka okelah,5
"bagus ps nya, cuma ada game yg di request gaada, malah game lain yg di copy, tp gpp... lanjutkann!!",4
mantap & semoga awet,5
sip,5
 🖒,5
"Mantapp ,",5
top,5
👍,5
