review,rating
"alhamdulillah paketannya sudah sampai, penjual nya pun ramah, saya di wa untuk konfirmasi bonusnya... gak nyesel belii di toko inii, barang original ,amanah dan terpercaya... trimakasihh 🙏🏻",5
"2 blue icenya mang gak.ada isinya ya,soalnya.kosong hanya plastik aja,,
yg lain.barangnya oke",4
"Sesuai dengan pesanan, pengemasan sangat baik dan rapih👍👍 rekomendasi buanget untuk belanja di toko ini...",5
"Barang real picture, packing rapi pakai buble rapping jg, mudah2an bermanfaat dan awet barangnya, kurir ramah.. Reseller ramah, senang belanja di toko online ini, Thanks Lazada 😊🙏",5
"paket sudah sampai sesuai estimasi,, packingan rapi, aman karena ada bubble wrap nya,, pompa asi juga sudah dicoba,, barang lengkap sesuai deskripsi,, semoga awet pompa asinya.. makasih lazada",5
"Packingannya datang lengkap, minta warna yg netral dikasih beneran, pompa nya berfungsi dengan baik tp belum dicoba mompa, packingnya juga rapi, kurirnya ramah karna memang sudah jadi langganan setiap saya beli barang di lazada, mantull memang 👍👍👍",5
"Respon sangat baik, pengiriman cepat, barang bagus & berfungsi dg baik. Syukaaa sm paket lengkap... 😍
Murmer tp BUKAN murahan!
Tq so owner & lazada.... 🙏😊",5
alhamdulillah packingnya amaaaannn...barangnya pun aman jadinya. Sukaaa.. makasih Baby Ho n Lazada😍😍,5
"sudah datang beberapa hari lalu. paket lengkap, aman, gak ada yang pecah, sudah dicoba ternyata bagus sekali. ASI ku lancar, 15-20 menit mompa udah penuh 100 ml. sedotannya lembut kayak pas bayi nenen. keren sekali, sesuai dengan harga pokoknya",5
brng lngkp.. plynan rmah.mksi kk,5
Bener² mantul,5
nagussssssss damkeren,5
"barang bagus berfungsi dgn baik ,moga awet..",5
"terima kasih.. suka sesuai pesanan
",5
"mantap. berfungsindengan baik. seller ramah bgt. 
pengiriman ok.. recommended seller..",5
"paket sudah sampai, mudah2 an berfungsi semua n awet.",5
"barang sudah sampai, barang bagus... tapi tas nya gak sesuai permintaan, minta warna merah sama kuning, yang datang warna hijau sama biru... tapi gak pa2...yg penting barang ok.. seller cepat tanggap. ok lah pokoknya",3
"reall pich,, trimakasih lazada ",5
trima kasih 😊,5
ko nyedotnya ga keluar asi saya.padahal asi saya banyak.,5
"Alhamdulillah paketnya sdh sampai, terima kasih Lazada..",4
oke,5
Oke,5
barang berfungsi dengan bagus,5
"barang cepat sampai .. terimakasih
semoga barangnya bagus",5
"barangnya sudah sampai, pengiriman cepat, barang berfungsi dengan baik. terimakasih lazada",5
Trimakasih paketnya sdh sampai. Tapi knp icegelnya kosong yah?...,5
sesuai pesanan.. dan barang berfungsi dgn baik 👍👍😇,5
pengiriman cepett bett...penjual responsif..baik..,4
sangat baik dan lengkap.... berfungsi dengan baik... pengiriman cepat... terimakasih banyak,5
mantappp,5
paket good,5
