review,rating
"Puas. Thanks lazada,seller,dan kurir. ",5
"mantaaaappp, thankyou kaa",5
"tumben ni ga bisa jaga amanah, udah 6/7x order , baru ini mengecewakan, yg katanya ada free gift nya  yg harganya 120rb, ini kaga ada, plastiknya pun udah robek, memang sih GRATIS, tapi apa ya patut curang kayak gt? kl ga niat kasih free gift GAUSAH KASIH jg kami tidak keberatan 🤗 next yg lbh baik lg ya",3
 pengirimannya cpt.. packing aman.. & udah paatonori klo d official store.. dpt harga sale jg.. da best deh ,5
"baru kemaren malem pesen siangnya udah nyampeee cepett bangettt.....kurirny juga ramah harganya murahh sukkaaa banget
",5
"baru kali ini beli pampers tp tidak seseuai dengan pesenan,,pesen L yang datang malah XL,,kecewaaa pdhl udah percaya bnget belanja di sini,setiap bulan beli disini",2
"paket sdh mendarat walaupun estimasi maksimal pengiriman, ada notif dari ekspedisi pengiriman gagal krn kondisi rmh kosong pdhal gak pernah kosong kodisi rmh.",5
"alhamdulillah cepet banget sampenya ,pesen selasa siang smpe rabu pagi , recomend banget dah ,dapet harga disc . makasi swwety dan lazada . ",5
"mendarat dengan selamat , sebelum masuk rumah di lap lap biar virus2 yg nempel pada kabur , makasi lazada makasi team kurir yg siap mengantar . ",5
"Alhamdulillah barang sudah sampai sesuai pesanan, pengiriman jga cepat tidak terlalu lama . Terimakasih sweety dan lazada",5
"mantapppp,,,,, pesenan yg ke 4 kalinya selalu passs,pesan malem siangnya barang nyampe terimakasih sweety",5
"Baru semalem dipesen, besok malemnya udh sampe.. Luuar biasa pelayanannya, anak ku seneng bnget smpe dibuat mainan😂",5
"Dari kesekian kali order disini baru hari ini kecewa.. tulisannya ""FREE WIPES"" tapi pas dateng ga ada WIPES nya.. entahlah, apa dr sellernya ga ada atau dr pihak kurir yg nakal.. ",3
"baguuussss....! cepet sampenya..pesen tgl 30 jan sore, 31 jan siang sdh sampe...pertahankan ..! terima kasih",5
"Pelayanannya recomend...hari ini pesan, besok udh sampe..mantaplah, ga kecewa.
Semoga selalu dipertahankan pelayanannya...thanx lazada",5
langganan.. mantap dah,4
"cepettt dateng nya
.",5
fast delivery and good quality product ,5
"barang ori. packing jg rapih. hanya pengantaran nya aja yg lama, lewat dr estimasi. saran aja mending pake LeX untuk kurir nya",5
udah langganan disini. Sweety gold diapers is the best choice for my boy. thank u for the discount. lazada is the best ever😘👌,5
"Pembelian kali ketiga. Pengiriman cepat, packaging rapi, kualitas produk bagus, kardus kondisi baik, semoga sering adakan promo diskon.",5
"Barang oke pengiriman juga cepat.. gak pernah kecewa selalu beli lagi dan lagi.. mudah2an harganya  sering discount yaa
",5
"sangat baik, pesan jam 8 pagi,jam 8 malam paket datang, barang sangat baik,dan yg pasti.... murahhhh.. trimaksi abang kurir ninja ex",5
"mantaaap .. pesan tgl 01nov, tgl 02nov udh nyampe. the best emang 👍
paketnya dipacking rapih, cucoook ..",5
"Sesuai pesanan, barang cepet sampenya, trimakasih",5
Uda langganan blanja pampers di sini,5
puas cepat sekali sampai di hari yang sama,5
"pesen pampers dsni g pernh mengecewakan,sudah murah,cepet sampe ny jg",5
