review,rating
"oke barang mantullll, selamat sampe tujuan

thankss seller",5
"Alhamdulillah barang sudah diterima sesuai pesanan dan berfungsi sebagaimana mestinya. pengiriman cepat dan barang dikemas aman
terima kasih Lazada.",5
"produk oke..sesuai dgn pesanan..
kecewa bgt tapi sama kurir J*E nya.. ga akan lgi pakai jasa pengiriman itu *NOTED",5
"ini gimana?? kok  nggak bisa ngeprint mesin nya keterangan dihp sudah berhasil di cetak.. tapi di printer nggak gerak dan tercantum tulisan kaya umum nya, cuma getar aja.. mohon dong seller kebijakan nya",3
"Sudah diterima, aman dan baik. Trimakasih",5
pakcing rapi.. barang joss  markotop,5
"Barang bagus,  sesuai pesanan...  Mksh lazada",5
makasih sudah keterima dgn baik barang bagus mudah²an awet n usaha nya Lancar .aamiin ,5
godjob biarkan bintang yg berbicara,5
paket dah sampai....barng ok,5
"produk ok, 😊",5
Barang bagus sesuai dedkripsi,5
barang tidak bisa di gunakan rusak,2
"barang mantap sesuai dengan apa yg saya inginkan,trims seller,trims Lazada😘😘👍",5
printer ga fungsi sama sekali conec blutooth nyambung putus..ga sesuai deskripsi garansi ga ini,1
"pengiriman ny lumayan lama,,barangnya bagus berfungsi dgn baik.
",4
"Barang sdh di terima dan berfungsi baik ,pengiriman cepat dan aman .
Trm kasih",5
sangat bgus langsung pakai,5
"barang sudah sampai,terimakasih lazada",5
mantuul,5
real pict,5
barang ,5
