review,rating
"ini toko yg resfon y cepat 10000%
mau beli satu item tetap di layani🤩🤩
cpettttt superr cepettt sampe y barng gw
gw akan tetap langganan karana ini pertma kali y gw beli disini. god 
semoga suksesssss bnyak rejeki y ",5
"Barang sudah saya terima dengan baik, packing rapi pake dus, barang semua komplit sesuai pesanan.
Respot seller sangat cepat, pesan langsung dikirim hari itu juga dan tidak nunggu sore apalagi 3-4 hari baru diserahkan pada espedisi. Rekomendasi bangat seller. Sukses buat seller & Lazada.

Maaf tidak bisa upload foto sinyal di kampung gk kuat.",5
"Barang Bagus...sesuai...kwalitas bagus
pelayanan Kurir Ramah...sopan dan cepat
trima kasih",5
"Bagus.., isinya jg penuh, recommended seller deh pokoknya.. terima kasih....",5
"Pasta thermalnya kirain yg putih,  tapi its ok lah",4
"Packing lumayan rapi
Isi dalamnya pun penuh ternyata",5
"paket udah di trima dengan baik,sesuway dengan pesanan👍👍👍kurir baik ramah",5
"barang bagus sesuai dngn harganya, kurirnya jg ramah, trims lazada
",5
"brang okkkkk
",5
terimakasih....barangnya ok bgt,5
mantap,5
oke,5
