review,rating
"mantap .. aku pake buat ps4 jalan bro, cuma yah gitu dehhh 360p aja hehehe, tapi penjualnya baik dan ramah , sagat membantu. sukses terus 11best'store",5
"Barang udah sampai packing rapih, kurir nya baik tapi barangnya gak bisa di pake, jelek tampilan ke layarnya gak muncul,, tidak jelas gambarnya",2
"Mantab lah, cuma kurang jelas gambar nya",5
barang sudah..  diterima dengan..  dan langsung bayar. trimakasih banyak.. atas kepercyaan kepada kami sebagai konsumen. ,4
barang sesuai Spec,4
"Gambar nya tidak jernih,",1
"proyektor nya ga jelas tidak sesuai dengan promo terlalu kecil gambar nya sama seperti layar komputer saja jadinya
untuk ketepatan waktu ok.. memuaskan dan mudah kordinasi",5
"sorry telat ngasih ulasan. barang sesuai gambar, kualitas video sesuai spek, barang semua lengkap, berfungsi dgn baik, semua lancar jaya.",5
packing bagus pengirim ramah cm pengirimannya aga telat,5
"Thanks, barang diterima tepat waktu, packing rapi dan sesuai pesanan.",5
terimakasih.. paket sdh dtg lbh awal dari estimasi. 👍👍👍,5
"sesuai deskripsi,, semoga barangnya awet",5
mantul .dan bagus .Trimakasih  Penjual dan Lazada dan juga Pengirimnya  ok  trims ,5
biar bintang yang menilai..😄😊,5
sesuai hrga,5
