review,rating
maaf bru kasih ulasan...real pict nympe nya jg cpt..tp buat papan yg bwahnya kurang kuat jd ga bsa naro yg aga berat. ,5
sesuai pesanan,5
"Makasih kak bagus banget raknya gak nyesel deh pokoknya beli disini,penjualnya ramah banget😘",5
Bagus sesuai gambar..👍👍,5
barang sesuai tidak ada yang cacat,5
Makasih kak entah ini orderan keberapa kali disini pokoknya langgananku mmg ini,5
"Brgnya bagus ,pengiriman cpt ,kurir ramah 👍👍👍",4
Jgn ragu blnja di toko ini amanah pisan😍,5
"bagus banget, barangnya datang langsung habis cuman proses lma banget",5
real pick...,5
sesuai pesanan dan harganya murah,5
bagus real pict,5
bagus suka,5
Cantik barangx real pict,5
Real pict,5
bagus,5
real pick,5
langganan terus,5
Ahmdllah barang nya dah sampai ssuai harapan.. 😊😊😍🙏🙏,5
"bagus,sesui pesanan",5
"bargx bagus.
tokonya amanah",5
"Barangnya sudah sampai.terima kasih
salam dari Watowiti Flores NTT",5
Bagusss 😘😘😘,5
baguusssesuai gmbar,5
Good,5
bagusssss.........,5
mantap... puas beli d'lazada... 😍😊 kurir baik...👍,5
"basah, jamuran, jahitan banyak yang lepas",3
nice,5
Sesuai,5
oke,5
bagus,5
baguuuus,5
Mantap,5
realpick,5
"puas
",5
"bagus
",5
Good,5
Good,5
Bagus,5
ok,5
