review,rating
"haduh... gmn mau retur... salah kirim, di kirim malah sodim, bukan ram pc",1
RAM DDR2 2GB Kingston PC6400 sdh sy terima & langsung sy coba ke PC dg hasil memuaskan..RAM berfungsi dg baik. Trims. Cuma nunggu barangnya lama..Ninjavan 12 hari baru nyampe.,5
"gk mengerti btl masalah memory, setelah dipasang keduanya pada komputer properties tercantum 2,96 GB of Ram, padahal yg dilabel tertera masing2 2GB x 2 hrsnya 4GB. salahnya dmna kira2??? mungkin sy yg kurang ngerti",5
 barang dah di terima makasih  mataaaaal ,5
mantaap barang udh datang lancar jayaaa... tpi pengiriman aga lamaa... 😁👍,5
"Barang sudah d terima, tapi belum di coba karna masih d luar kota, semoga barang nya bagus & awet, Thanks gan 👍",5
mengecewakan barangnya kurang 1 pcs,5
sangat lama pegiriman nya ,1
barang dah nyampe 😁,5
Memory sudah diterima dan ,5
Barang nya bagus rapi dan cepat di kirim nya. Makasi ya ,5
Good,5
"mantap, murah, dan berkualitas",5
nice,5
"mantap barangnya bagus tidak cacat. ada gk yg 4 GB DDR2 ?
",5
"barang oke, tpi pengiriman lambat. ",5
"mantap, 👍🏿👍🏿👍🏿",5
barang dah sampai tapi blm sempet nyoba,5
barang sudah nyampe terimakasih lazada,5
ini ih keren,5
"Barang sudah sampai, proses pengiriman cepat, barang belum sempat di test..",5
Terimakasih barang sudah saya terima dan berfungsi baik... merasa bahagia...,5
tks ram'y ok,5
good ..,5
