review,rating
Real pict... Sukaaaa pokokkee... 😊😍gak kecewa.... Mksihh lazada😘😘,5
mksh lazada barang nya bagus...sesuai harga ,4
barang'a udh smpe real pict sesuai sama digambar semoga slalu tetap.amanah yah dan brng pun ok lah,5
barang mantap ..,5
alhamdulillah sesuai harapan maksih lazada 😘🥰,5
bagus kasurnya 👍,5
barang nya sudah d bawa sama yg pesen jadi ga sempet d photo overall i like it 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,5
"luar biasa bagus bngt ksur nya...sayang  nya ga smpet photo brng nya langsung di bwa sma ade,,poko ny okelah,trimksih seler sma lazada,,,",5
"puas bgt dg barangnya..baguuusss sesuai gambar dan pesanan..TPI sayang pengirimannya sangat lama..TPI aku syuuka
",5
oke lah,5
Makash lazada paketan  nyampee bagusss pula gk mengecewaknn kurir nyha juga ramahhh gk nyesell dehh ,5
"pesan keroppi yang datang doraemon gimana nih , gaada pemberitahuan lagi. jelas2 tulisannya keroppi malah di tulis ulang pake pulpen DORA. kalo barang gaada kan bisa dibatalin. kalo jualan yang jujur dong yang AMANAH, ini gimana nih pertanggungjawabannya, bisa dibalikin gak nih",1
bagus banget barang nya sangat sesuai,5
alhamdulillah brgnya udh nyampe walaupun agk lma brgnya bgus bangett kemasan rapi sesuai pesanan puuuaaass deh terimakasih lazada🙂😚,5
"Alhamdulillah bagus, walaupun ganti barang tapi masih bagus, penjual nya juga cepet respon, cepet ngabarin, pake pengiriman kilat, setengah jam udah nyampe, makasih🙏😊",5
"maaf baru ngash ulasan ..brang sudah d terima 2 hri yg lalu , dteng lbh cpt sblm ekspedisi , lumayan buat kado , bgus jga brangnya ... 😊😊",5
"Alhamdulillah udah nyampe kasur nya, bagus bgt, sesuai di gambar, gk ada yg cacat,kurir ramah, makasih seller. ",5
"Maaf baru kasih ulasan .
Paket nya udh di terima kemarin siang puas sma hasil nya sesuai gambar ... Kurir nya juga baik udh langganan 😍",5
"Alhmdulilah sesuai harapan..
empuk bgt ksur y..",5
"sipp dehh barang sesuai pict,,kurirnya juga ramah, cepet",5
Ga ada yg ngecewain..semoga selalu amanah lazada,5
lumayan. pengiriman juga oke. karena langsung buat kado jd gak tau kualitas aslinya,5
barang udh dtang..brngnya bgus pakingnya rapi..kurirnya juga ramah..tpi sdikit kcwa lma bngt dtngnya..,5
"alhmdlh psnn sdh smpy meskipun agk lm pengirimnya, bntal guling nya doang wrnay agk berbeda tp tk aplh krna butuh untuk calon my baby🤰trmksih, lazada mmg ok g perlu repot bepergian nyari k toko2 cukup d rmh nunggu paket datang COD 😘",5
"Lumayan bagus buat harga segitu, bisa di cuci dan di lepas dri isiny, sayang, y guling baby kecil tpi ya namanya guling bayi si baguss.... ",5
