review,rating
"Paket sudah diterima,barang Bagus bisa digunakan dengan baik,, lancar,, perihal awet tidak tidaknya blm tahu,,, pengiriman termasuk lama,, mungkin Krn terpotong wkt libur (Sabtu Minggu),,kurir ramah,baik Krn sudah langganan.. intinya toko ini memuaskan..",5
alhamdulilah barang bagus sesuai dg yg di pesan dan bisa berpungsi dg baik,5
packing rapih... remote berfungsi dengan baik,5
ini yg kedua kalinya ... sama bagusnya ... thanks,5
paketan udah mendarat cuman blm saya coba bisa apa ga,5
"barang bagus , terima kasih lazada!
",5
"Pesanan telah sampai diterima dgn baik. Proses pengiriman paketnya juga cepat, dibungkus rapi dgn bubble wrap. Thank you for Seller and jasa kirim Lexid. 

Abang yg kirim paket juga sopan dan ramah. Sudah langganan kirim paket ke rumah, makasih yaa mas Tri. Semoga makin dimudahkan rejekinya dan selalu sehat. Recommended service.

Harga, produk dan kualitasnya berfungsi dgn baik for LG type XD Black Pearl 21 LCD slim. Josss, kini si kecilku telah Happy kembali. Karena sudah bisa gonta ganti program acara TVnya dgn remote ini.. Overall thank you. Next mampir kembali gan dgn produk yg lainnya.",5
"alhmdllah pket dh tiba,lgsung dicoba brfungsi dgn baik,terimakasih semuanya lazada, seler,dn bang kurir",5
Saya kasih bintang tiga karena remotnya pecah tp lumayan masih berfungsi,3
"barang datang mulus dan bisa di guna kan dengan baik terima kasih lazada tingkat terus yg terbaik buat pembeli jangan di kecewakan
kurir nya baik terima kasih....",5
 Cuma berfungsi sekali tekan ajah pas nyalain trus kesana nya gak berfungsi sama sekali...itu waktu pertama nyalain juga harus ditekan banget baru nyala.bentuk remotnya sih sama persis dg remot bawaan tv nya dri LG tp bahanya jauh bgt..yah sesuai harga lah n resiko beli onlen yah begini ,1
lumayan' daripda bolak balik' pencet  tombol' akhirnya tinggal pencet remot dweh' sungguh memuaskan ' tank lazada' moga sukses,5
bagusss bangett😂bisa di pakai nyala tv nya😋😋😍🤗 pertahankan yah kak. datangnya pake buble wrap🤗,5
top remotnya semua berfungsi ...cm paketannya agak lama datengnya...,5
mantaaap lah,5
mkch lazada remotenya dah smpi dan bgs,5
