review,rating
"paket ud njmpe, trimaksih kk,smga mkin laris ya kl jual brng nya mmg sempurna...barang nya dtng dlm.kondisi sngat bgus,,pengemasannya bagus,rapi banget,pake bable2 gtu,pokok nya kerennnn banget dech,..brang nya lucu aku suka skli,td ud kucoba  trnyata hidup,smga aja bertahan lama,dan tdk bermaslah,,agk kecil tp egk apa2 ttp oke kok.",5
"Masa Baru dipake Sekali nasinya langsung gosong dibawahnya, tombol warm ngga berfungsi. Tolong dicek Lagi Kalo barang rusak. Jangan dikirim. Kasian nanti kecewa",1
haruskah begini.....lampu nya gk bisa ke bawah harus di ganjel baru bisa...klo barang nya si buagus banget ...,5
"terbaikk..
Barang bagus..mantul pokonya

",5
semoga awet yaallah aamin,5
makasih kurir lazada...barang sdh sampai dan tidak ada yg penyok atau lecet..lucu bgt..aq suka ,5
"barangnya bagus , uda coba masak nasi Ok . uda gt dikirimnya warna biru doraemon . aissh terbaik lah toko ini . packing aman pake buble wrap di kotaknya.  harga murah bukan berarti kualitas murahan . semoga awet.  makasih seller ♥️",5
"Ok barang nya tp kembalian nya kurang 20000 kwnpa bisa gtu,saya udh langgann lazada bukan sekarng aja,buat kurir nya 👎👎👎👎",4
"Mantap, murah tapi tetap berkualitas. Terima kasih. Semoga berkah bisnisnya.",5
mantap barangnya sesuai yang di harapkan mkasihb lazada,5
baru dtng lngsung d coba gosong gini masak nasi bner2 kcwa..,5
bagus cepat bgt mantap lah,5
bagus banget di kasih gambar Spongebob semoga awet thanks lazada ,5
"Mantap gan barangNya, semoga awet",5
te om ma kasih barng ya sudah yape ,5
"maaf baru kasih ulasan ,barangnya bagus sangat memuaskan ",5
"barang ok, pengiriman lancar dan cepat",5
barang bagus fungsi baik masak cepet Mateng ,5
Real Pict. Packing rapih n kurir ramah. thanks,5
lumayan bagus ricecokkernya,5
biar bintang yang bicara,5
gaa nyesel blnja d lazada.. real pict pokonya..,5
"kecewa
ga bisa d cook harus d ganjl😒pdhl brng ny bgs",3
barang udah sampek langsung di coba dan hasil nya memuaskan lazada memang jozz pokok nya ,5
kecewa banget coloknnya patah bagian belakang bawah becah,2
Sangat puas,5
"cepat sih dtngnya, real lict pula, cuma mntanya doraemon, yg dtng minion.. ",5
"mantul.. brg mulus realpict,maaf foto'y gk bisa kekirim gk tw knp
",5
"sesuai pesenan 
 kurir nya pun ramah 🙏🏻🙏🏻",5
"Bagus banget untuk harga segitu, pengiriman cepat dan kurir ramah",4
ok pengiriman cepat barang bagus,5
ok sip barang sesuai pesenan.👍,5
ya barang yg di mintak  tok beda tapi dak apa la sip lah pokoknya,4
oke,5
mantap👍,5
manteb,5
