review,rating
alhamdulillah pesanan sudah datang Terima kasih lazada dan kk kurirnya☺sesuai pesanan ada relpictnya gak nyesal deh beli ditoko ini👍,5
pesanan sudah datang Terima kasih lazada dan kk kurirnya☺ sesuai dengan pesanan dan ada relpictnya udh dua mesan gak kecewa bahannya bgus pelanggan saya suka👍,5
barang dg harga segitu kbilang bagus... kurirnya juga ramah... cma rok luar yg jaring nya d aku k panjangan 😁😁 mungkin karna akunya trlalu tinggi😅,5
bahan nya bagusss banget tebel pengiriman nya juga cepet karna Deket sih hehehehe.. pokonya yang lagi nyari roktutu ya disini tempat nya ♥️,5
"bagus bgt kak puas
maksih lazada",5
bagus pelanggan ku syuka💖,5
"Bagus rok tutu nya..ga nyangka harga segitu..sy pesan 2..abu2 dan hitam👍 kurir ok banget..
Makasih lazada..👍",5
".sumpah demi apa BAGUS banget💗😍 sebelum nya aku aga"" takut gitu beli nya,,barang nya datang bagus ",5
alhamdulilah paket sampai dg selamat pun kurirnya ramah udh langganan. jngn ragu order di toko ini insyllh amanah sellernya terimakasih 🙏👍,5
Alhamdulillah Sampek warna sesuai cantik banget.. sesuai lah sama harga...kurir ny jga ramah nganterkan Sampek dpn rumah.. terima kasih lazada bakal langganan deh,5
"Alhamdulillah...Bagus banget bagus babget barang nya udh sampai dgn selamat akhirnya bisa Cappel kurir nya ramah tp kasian depan rmh saya lg keberulan banjir ya kurirnya banjir""ran tp tetap di antar sukses terus untuk lazada😘",5
keren bgtt puas deh.. ternyata amanah bgtt langganan deh .. aq minta sama mau couple di turutin sampe nunggu penjahit y sembuh tapi puas g kecewa 😘😘😘,5
"barang tidak sesuai pesanan, yang datang rok ukuran bayi, tolong ya mana tanggung jawabnya niat jualan ga ? kita kalo jualan itu harus jujur biar berkah:)",1
"barang sudah sampai,bagus sesuai dengan harga,thank you lazada ",5
"barang nya sudah smpai
terimakasih",5
kecewa banget jlk jaitan nya juga ngga rapih,5
maksih lazada paket nya sudah sampek..warna sesuai.. pokok mantul lah,5
"Nice,real pict",5
Biar Bintang Yang Berbicara,5
aku senang bgt barang bagus bgt dong,5
bagus sihhh cuman pengiriman nya lamaaaaaaaaaaaaaa bangettttttttttttttttttttttttttttttttttttttttt,3
ini rok tutux cingkrang bgt ini ma buat anak2 bukan buat org dewasa,1
real pict mksh,5
"agak sedikit kecwa sh,Pesan Warna mokkanya2 mlh yg datang warna moka1 ijo1,tp gpp lh😁",1
Ka gimana ya ko pesen 3 yg dateng nya cuman 1 kurang 2 rok tutunya,3
"rok nya bagus ,dan saya puas beli di lazada",5
Lumyan 😊😊,5
rok nya sanget bagus terimakasi lazada ,5
barang nya sudah sampai sis real pict qw suka banget ,4
Barangnya baguss aku sukaa😍😍,5
"bertanggung jawab
",3
sip dah suka makasih ka hehe,5
"Salah packing dikirimnya rok tutu anak,tp respon penjualnya cepat.bs diretur semoga nanti brgnya bagus dan g salah kirim lg",4
brg di kirim sesuai permintaan...bahan kurang bagus..buru di pake lsg sobek,2
"rokny bagus tp sy pesen tiga bahan bisa beda""",5
barang tidak sesuai 😬harusnya pink mlh item,3
Barang'a bagus..sesuai hrg thank's lazada,5
mantul bgtt.. Murmer lagi  insyaallah langganan,5
👌,5
suka banget ya. real pict... makasih ya. ,5
real pick bagus bgt... ga nyesel blanja di sni.. puass sekali,5
rok ny bgus realpic,5
rok tutunya ngepas ,5
"recommend 
",5
rok nya bagus realpict,5
Barangnya bagus n kurirnya jg baik,5
Bagus..trmksh ,5
"Alhamdulillah sangat suka banget, sesuai pesanan saya",5
Makasih...brng nya bagus,5
Roknya lumayan bagus..anak saya suka.,4
"roknya real pict nyaman dipakai,, kurir ramah. terima kasih lazada",5
lumayanlah,4
terimakasih lazada terimakasih bang kurirnya.paketan udah nyampe.barang sesuai pesanan,5
real pict,5
bagusssss,5
👌,5
"bagus
",5
