review,rating
"Dari segi packagingnya itu rapih pake bubble wrap, dililit pake lakban bangett.. Dari segi produk itu real sabun leivy.. kalo pengiriman juga cepat. cuma nunggu 2hari udh sampe.. Pokoknya suka.. kalo habis pasti pesen kesini lagi",5
barang nyah bagus kurirnya juga ramah maksih lazada saya sangat puas banget dengan barang nyah,5
"sabun kambing nya sesuai and wangi tapi gak tahan lama wangi nya, qu kira gede x gak tau nya kecil , kurir nya udah langganan baik and ramah",5
"Sabun Susu Kambing ""Leivy"" 250 ml sudah sampai sesuai gambar & deskripsi... Exp Date: Jun 2023 masih lama sekali...
Packing pakai Bubble Wrap...
Pengiriman lumayan cepat...
Thanx...",5
pekingnya rapi suka,5
maaf bru kasihh ulasannn pketnya udah datangg dengann selamatt realpic...kurirnya jga ramahh baikk...terimakasihh lazadaaa,5
"Alahmdulillah paket ya sudah sampe
Cepet bangat sampe ya padahal baru berapa hari pesen🙂",5
Sabunnya bagus,5
"terimakasih, brg nya sesuai.... smg makin baik lg.",5
suka banget sama sabun ini next time nnti klo abis bli 2 sekaligus buat stok hehe❤,5
"istri sy bilang terasa lembut dan lembab di kulit, wangi juga...trs terang nyoba yg kecil dulu takut gak cocok, abis ni mo beli yg gede",5
brang y bagus sesuaybpesenan trimajsih,5
Pesanan cepet dan kurirnya langganan😅,5
terimakasih♥️ pertahankan kualitasnyaaaa.,5
top lah pokoknya,5
bau ya wangi,5
"Packingnya rapi, ga bocor
Tapi belum di coba
Semoga benar memitikan",4
"Halus bnget sabunnya suka banget, kurirnya jg ramah, bakalan pesan lgi yg gede",5
"sudah mulai nampak perubahan n, saya suka, order lagi nih",5
Pesenan dh nyampe mkasih..,5
packingnya rapih,5
mksih pesenanny udh nympe ...jg bwt kurirny👍,4
Sabunnya wangi.. top deh,5
"Aku suka sma leivy shower cream cocok dikulit aku jdi putih halus,maksih lazada pertahankan yh😊😊",5
wangi..,5
lmyan,5
👍👍👍👍,5
