review,rating
"alhmdllh palette udah nyampe... 
baru pake sekali mudah2n Koreng anak sy sembuh
sy kasih bintang 3 dulu ya nnti klo ada perubahan saya tambah jd bintang 5",3
alkhamdulillah... datang jg... packing rapih... kurir ramah dan dh langganan... semoga manjur.... dan jd langganan... ok trima kasih seler & Lazada....👍👍👍👍,5
brg diterima bagus semoga berkhasiat makasih seller dan lazada,5
Good real pic,5
"untuk pengiriman let's Oky  tpi obatnya kurang manjur. tank""s seller",5
barang sudah saya terima semoga cocok .,5
"Ini orderan yg kedua, manjur salepnya, thx.",5
alhamdulillah brg nya udh dtg cepet lagi smga salepnya ampuh dehh☺,5
"udh d terima blm d coba...
mudah"" an cocok trimaksih lazada n abang kurirnya",5
karena kurirnya dah langganan jadi selalu puas good lazada,5
semoga cocok buat kakak saya,5
"tidak jelas pesan satu datang 2 
",5
Salep nya sudah sampai...semoga cocook,5
kemasan bagus semoga manjur ,5
Mudah2an cocok,5
jdi langganan semoga tetap amanah ya jualan nya dan semoga tidak ada efek samping nya jg,5
"salepnya sudah saya terima semoga cocok ya...thks lazada n seler
",5
sesuai orderan,5
Barang cpt sampai moga z bagus hasilnya,5
y,5
cocok,5
