review,rating
paketnya sdh sampai dan diterima dgn baik. Packingnya rapi bngt. Semoga awet dipakai. Terimakasih Lazada dan seller,5
alhamdulillah smpai dengan sempurna .. barang nya bagus dan nyaman di dipakai .. terima kasih bossku ,5
"Alhamdulillah paket sapunya sudah sampai, sapunya bagus banget lentur ga kaku, terimakasih seller & lazada",5
"Mohon maaf 🙏 Kwalitas kurang bagus, klo dibuat nyapu rontok trus, entar lama² bz abiz tinggal gagangnya doang..",3
baguss sukaaa,5
Bagus sapunya pengiriman cepat gratis ongkir pula mksh kk dan lazada,5
sapunya ringan enak di pakai,5
Sapunya ringan enak dipakai,5
barang bagus sesuai fungsi nya normal semua nyaa..makasih,5
"barang bagus,  sesuai pic",5
sapu bagus gak kecewa dech😎😎,5
"Alhamdulillah, 
fast delivery, good product, value for money, recommended seller",5
alhamdulilah sapu dah sampai..smuanya bagus..seneng sekali..dptnya jg dr grazy deal makasih lazada ,5
