review,rating
"Sesuai pesanan, bagus... Cantik  saya suka... Semoga kualitasnya ttp seperti ini ya, kurirnya juga baik",5
okelah ini keren,5
mkch Lazzada barang sdh sampe cakep...bahannya jg lembut tp sayang bget...ya...aku pesen yg doraemon di bawainnya Motif kupu2...,4
"Kecewa bgt, baru x ini kecewa blnja di lazada. Motif ini kan gak ada di gbr deskripsi. Jelek bgt motifnya....jgn belanja deh di seller ini klo ngga mau kecewa kaya aku. ☹",1
bagusss bahan nya tebel ,5
sartangnya bagus tapi pengiriman lama banget 😬,5
terimakasih pesanan sesuai dan kurirnya pun baik,5
"suka banget lucu..bahanjya bagus..rcomended bgt,,trmkasih lasada puas bgt blnja dilazada..kurir baik bgt,saya g ad dirumah dianterin ke rmh ortu sy..udh 2 x ini.. tx pak kurir tx lazada dan seller",5
"brg psn sy trma dlm keadaan baik krn bngkusnya rapih bgus sarung tanggannya kulirnya ramah dlm pengantar brg psnan sy, trmksh Lazada n toko ANTARESTAR sy ksih bintng 5 ",5
"barangnya sdh sampai ,yg dikirim tidak satu pasang tp hanya sebelah yg  kiri saja...masa cuma pakai sebelah😭..bagaimana ini..",5
GA sesuai warna ,5
"Sangatt puassss sekali.. .bahan nya ademmmm
Pengiriman cepat... Ressselllerr nya past responn.. 
Sarung nya warna nya bagussss😍😍
Next ordeerr lagiii",5
sangat puas sesui seperti di gambar dan barang bagus pengiriman juga cepat terima kasih ANTARESTAR dan Lazada,5
maaf gak sempet difoto Krn pesenan ttga Alhamdulillah yg pesen puas dan lsg dipasang di motor nya... makasih seller,5
makasih kak... barang nyampek sesuai pesanan,5
"Lumayanlah .. cm Jahitannya kurang bagus pdhal aku beli yg 25rb 3 pcs, baru sampe lgsg aku pasang eh bunyi ‘krekk’ , pdhl punyaku yg lama aku beli 15rb tapi kuat bgt jahitannya.. ",3
mantaaab barangnya baguuus banget.. datangnya cepat sampai lagi.. ,5
"bahannya oke sayang jahitannya kurang kuat dibagian deket bolongan rem, dan ukurannya yg buat tangan kanan lebih pendek.",5
bahannya c bagus v sayang gx sesuai sama pesenan... masa w pke motif ginian....,5
"barangnya udh nyampe. bagus seh tp lama banged nyamoenya. order tgl 5 desember nyampenya tgl11 desember. tp suka brangnya kog. tks gan
",4
"Bagus , barangnya cepat sampai dan modelnya tidak diikat ke stang tapi ada karetnya jadi praktis terutama bayarnya bisa cod 👍🏼",5
"maaf baru kasih ulasan. Satamo nya bagus bahannya nyaman, motifnya pun bagus. pengirimannya jg cepat, makasih lazada n Antarestar...",5
"banyak yang  suka barang ini, sampai saya harus order lagi buat saudara saya. thanks Antarestar, thanks Lazada 😍😍",5
"Barang sampai sesuai prediksi, barang Ada ok nyaman di pake. Terima ksh Antarestar, terima ksh Lazada",5
"kualitas produk sangat baik,  tp maaf saya kasih bintang 3 karna dari awal order saya sudah infokan mohon tdk mengirimkan motif karakter karna ini pesenan emak2..  pihak sana konfir setuju..  ehh pas datang semuanya beneran motif karakter.. emak2nya pd kesel sama sy tau gk mba",3
"barang nya sudah sampe ...
dngn cepat ..
tp knp kirim motif nya samaan ...
😣
lain x di cek lagi ya min ...
biar langgan ny g kabur ...",2
"Kualitas produk baik.. Tp sayang uda konfirmasi k seller untuk motif dan warna dan sudah disetujui tp barang sampe ga sesuai. Pesen coklat am item polos yg dateng coklat am ijo, padahal buat anak cowo. Tp goodlah 👍👍👍.",4
"Alhamdulillah sudah sampai,cepat sekali sampai , pesan kemarin sore pagi ini sudah datang. Suka sama motifnya ,terimakasih ya . Jadi nagih pingin lagi..semoga untuk pembelian berikutnya juga dipertahankan untuk kesenangan konsumennya.. ",5
"5 bintang...realpict,bagus,pokoky ak sukaaaaaa,kualitas oke,,,,setiap hari aku belanja di lazada tp gk pernah kecewa,semua sesuai yg d harapkan,sukses trs bt lazada,tks lazada,tks bt toko'y ANTARESTAR,tks bpk kurir'y langgananku...the besssttttt",5
"barang bagus bahannya tebel..dilapis furing lagi toop dah harga murah pula, untuk kurirnya sangat ramah..makasih",5
bagus kurirnya juga ramah cuma motifnya aja gak terlalu suka tapi gak masalah karna barangnya bagus🖒😉,5
Terima kasih Lazada. paketnya sudah sampai. cepat sekali sampainya sesuai dengan estimasi. barangnya bagus dan berkualitas. lebih tebal dan ada furingnya. motifnya juga suka banget. udah di coba di pasang di motor dan memang praktis ga ribet pasang lepas sarung tangan buat bulak balik komplek. mantap. ,5
"sering blnj di toko ini, barangnya jg bagus, kekurangannya, kadang wrn yg kt pesen beda dgn yg diterima, tetapi barang yg di terima ttp OK",4
"Sarung tangan motor'nya cantik, motifnya suka banget. Terima kasih ANTARESTAR dan LAZADA.",5
sudah di terima dengan baik ,5
mendarat dgn slmat terima kasih,5
"Ko barang nya beLum saya terima yh
gimanah ini",5
bagus...sesuai dengan deskripsi...makasih lazada !!,5
Bagus dan mantap,5
barang nya sesuai dengan pesanan minus nya motif ngga bisa pilih sendiri ...,4
"barang cepet sampai, bagus, bahan tebal dan pake puring",5
udah oke,5
terima kasih,5
paketanx rapi dan bahanx tebal. mksh antarestar. mksh lazada,5
"bahan ny bagus ...
aku suka gambarnya",5
"Bagus...sesuai pic,kecepatan pengiriman jg baik,kurir ramah..makasih ya",5
Barang sesuai gambar.,5
Recomendeed,5
"barangnya bagus, ada puringnya juga.. suka banget",5
Sesuai lah ya sm hrganya,5
Baik respon cepat barang bagus,5
"Aya bilang yang merah,,,ini malah kaya bocah 😭",5
"CEPET SAMPE BENER , BARANG OKLAH ",5
Barang bagus....🙏,5
Mantappp ... real pict ... ,5
barangnya bagus ga kecewa deh ,5
okeee...sesuai pesanan,5
bahannya bagus,5
barang bagus 👍👍👍 makasih lazada,5
Sangat puaaasss.....terimskasih lazada,5
Lucu saya suka,5
bagus bangeet aku jadi gak kepanasan lagi,5
bagus... bahan tebal ada furingnya lg.. ,5
"barangnya sdh sampai, suka..",5
baguussssssssss.. suka sukaa,5
"sarung stang motor bahannya bagus nyaman dipakai,kurir nya ramah n baik...makasih seller n lazada",5
terimakasih Lazada brang ny buas bnget..,5
"cocok, bagus",5
barang nya ok enggk ngecewain ,5
saya suka.makasih,5
Saya belum terima paket ini saya juga belum bayar,5
"Makasih ya ,packing rapi ,cepat nyampenya.maka si lazada,siap order lagi...",5
bagus warna cerah,5
"oke brng nya udah nyampe bagus,makasih lazada",5
tmakasih .barangnya sudah sampai..baguss bnget,5
Minta motif leopard dkirimny motif lain..,4
bahanya mantul.pengirimanya cepat dan mantul..maaf ya blm d foto .,4
baguss banget sesuai pesanan... ,5
bahan bagus beda banget sama sebelumnya saya beli di pasar kaget kereeen terimakasih lazada,5
Bahannya bagus,5
warna tidak sesuai kecewa,1
bagus tebal oce pkonya,5
"brg""a bgus bahan""a jg tebel recomed dech thx Canada",5
"suka,,,, suka,,, suka,,,, 👍👍👍😘",5
