review,rating
"2 x saya pesan sll g pernh waras pda buta warna apa..saya mnta pink d ksh kuning pesan lg mnta army d ksh merah klw jual n tau warna sdh dri pda nipu warna saya rugi 2 x 
",5
"sy mesen warna hijau dateng nya warma laen
 ",5
"Wrn ok motif tdk  persis jahitan ada yg tdk rapi , lumayan sesuai harga , makasih Lazada",3
Ini juga semua jelek bngt ga sesuai di gambar kapok belanja di toko ini,1
"barang nya tidak sesuai gambar,dan warna yg d pesan sangat kecewa😑",1
"saya sangat kecewa, saya kan pesan yang warna hijau armi kenapa ko di kirim yang warna coklat ituh ga amanah sekali, kalou ga ada jangan di kirim dong
",1
"saya sangat kecewa banget barang nya ga sama d gambar ,pesen warna yng d gambar yng dtang watna lain...
🙏🙏",5
saya kecewa karena kerudungnya tidak sama .yang saya pesan kerudung polos tengah bermotip pinggir.yang datang kok garis garis semua.,5
*kecewa* saya mesennya yg warna hijau botol kok yg datang malah warna orange,5
gimana sih persen y ijo botol yg datang putih kecewa tau.,1
maaf ya kak ... tidak sesuai apa yg dipesan..kecewa ,1
"sangat kecewa,sy order yg warna hijau,,knpa yg datang warna merah?? bisa di tukar gk ni",1
"Lumayan dengan hrga segitu tpii pengiriman warna nya beda, dan tolong klo mau pengiriman barang di cek ulah ",3
perasaan pesannya yg army knpa yg dtang warna lain ya,5
paket dh smp Alhmdllh sy suka brg ny..kurir ramah mksh lazada,5
"iya hijabnya sdh sy terima dgn baik, ya cukup bagus.
",3
"saya minta warna hijau kok bukan hijau yg dikirimin Nya
",5
"suweeeee,,ga jelasss banget,,pesen warna apa,yg dikirim warna apa,,kapok",5
Alhmdlh hijab sesuai dgn gambar ..tnks laz..,4
"barngny sdah dtang,,tp kcwa sma warna ny,,,",4
"pesen army kok yang datang warna pink
",3
Pesenn warna apph yg di kirim aph ,2
"Pengiriman cpt, bhn hls, cuma beda motif, trims",5
G sesuai dngn pesanannya,5
makasih lazada bahan nyah bagus,5
Bagus,5
