review,rating
"warna tidak sesuai pesanan, mnt ungu dkirim biru.  kecewa bnget, krn nih utk pesanan org lho.  ukuran kecil cocok tuk anak2 ,.pkoknya kurang lah. tolong dperhatiin donk peranannya ",5
Warna tidak sesuai apa yg dipesan,1
"Warna TDK sesuai, mnt navy malah dkrm green",3
sajadah nya bagus real sesuai gambar dan kualitas ok bgt,5
mantul barangnya..pngiriman cepat dan packing sangat bgus ...pokoke mntap dah,5
"Sangat memuaskan,best seller",5
Saya kira tebal bgt . Ya lumayan lah,5
Warna cokelat gambar Ka’bah. Lebih nyaman untuk sholat krn empuk.,5
"barang ok,kurirnya jg ramah,,terimakasih seller,,makasih lazada",4
gk i,1
