review,rating
cepet banget nieh pengirimannya cuma 3 udah sampai nieh barangnya + tapi sayang nieh barangnya gax rapih tuh jahitan nya ,3
"Bagus 👍
Tapi lain kali harga pengiriman di paket nya di perjelas ya, biar kurir nya ga di buat bingung oleh harga nya jelas 😁",5
"Ya Ampuuun dapet selimutnya wrna oren,warnanya pudar banget,jahitan kurang rapi,ada sobekannya pula 😥😥",2
"barang nya udh nyampe,trimakasih kak ,barang nya bagus,sukses selalu",5
puas banget. terimakasih😊,5
"cepat sekali pengiriman nya bagus
",5
Muanteepp bagus mbaaa makasih yaa recomended bgt,5
"menyenangkan
",5
"selimutnya halus, makasih lazada",5
Selimut nya lembuuuuttt...baguuuss...,5
"mksih lazada...barang sesuai pesanan,pengiriman cepat....mksih...🙏",5
Yess okee.. Thank lazada,5
kecewa harga naik gk sama,3
Makasih lazada paketan ya udah sampe    sesuai dengan gambar sangat puas ,5
lumayan,4
bguss,5
tipisss,2
Bagusssss,5
Lumayan ,3
