review,rating
"paket sdh mendarat,realpick sesuai estimasinya makasih seller mksh om kurir",5
Alhmdulillah barang dh nympe dengan slmt. cepat tanggap untuk lazda dan seller serta kurur trms.. sakses sellu buat semuanya...🙏,5
"mantab, barang sesuai gbr, dan berfungsi dgn baik thanks seller, lazada... selalu suka belanja d sini",5
"alhamdulillah barang sudah sampai dan terbungkus rapih ,cuma ko mgga ada batu baterenys ya
lalu beli dimana baterenya yg seukuran senter ini
tolong dijawab",5
barang dah sy terima dengan baik cuman ga ada batrenya trima kasih lazada sukses dan mantap lazpedia,5
"Senternya berfungsi dengan baik, barang sesuai gambar dan benar - benar ( pocketman) senter -> ukurannya sesuai dgn tangan",4
"Barang sdh sampe dgn selamat dan brfungsi dgn baik, kurir gk ktmu, buru-buru mau soljum.
Thanks Lazada",5
"barang sudah sampai n saya langsung tes ok, saya seneng banget apalagi bisa bayar di tempat, terimakasih lazada n seller, semoga sukses selalu,",5
"Thanks Lazpedia dan Lazada..
barang mantab datang lebih awal..
mantab, pertahankan service konsumen..",5
"Barang sudah diterima,kliatan bagus blum cb nyala krn batre masih ad di toko batre,heee,semoga nyalanya terang,  👍🙏",5
terimakasih barangny sdah sampe.... pengiriman cepat... dan barangnya bagus... pengepack an jg bagus.... terima kasih buat seller dan lazada... ,5
"alhamdulillah senternya sudah sampai,barangnya bagus udh d cek bisa nyala dan juga free batrai,pengirimannya pun cepat
",5
"Terima Kasih Lazada dan Seler,  paket sudah diterima dengan baik....dan berfungsi
Barang bagus kecil kecil cabe rawit
Kurir nya baik, sopan, pengiriman sesuai
pokoknya sukses semuanya",5
brng mendarat dengan baik dan kondisi brng aman normal smua susai apa yg saya pesan mksh yaa smoga makin trus di jaga kualitas ama produk yg di tawarkan top dah senter.a kecil2x caberawit,5
"senternya imut banget nyalanya terang smoga awet barangnya, T O P buat yg jual,kurirnya baik dan ramah,tambah sukses buat yg jual dan lazada.",5
"barang sudah sampai gan,,kurirnya ramah,barangnya bagus tapi sayang kok blm ada batrenya,makasih lasada ",4
"brg nya lucu imut2 kecil tp bagus ko.. tp sayangnya tdk lengkap .. seharusnya dilengkapi dgn batu senternya,. tksh lzd..",5
"kurirnya ramah, cuma penjualnya kagak bales2 padahal chat dari siang cuma di baca doank, bukan mau komplain, cuma mau nnyain jual batu batre nya kagak",1
paket senter LED SDH sampai di tujuan..kecil tp terang dan ringan.. sesuai harganya..mantap.. terima kasih banyak.semoga awet.,5
kirain ada batrenya tapi ga apa mantul deh mkasih buat semuanya lazada Ama kurirnya dah langganan sihip deh,5
"mayan..ok lazada mangtap
",5
"saya kira pakai baterai yg bisa di cas,nggk taunya pakai baterai remot biasa,kurang terang",5
ok juga barang nya sangat sangat bagus makasih gan,5
Mantaap... proses pengiriman cepat. Terima kasih,5
Barangnya sdh di terima...,5
"Saya kira'in senter nya gede,padahal kecil...
dah gitu,gk ada batrai nya...aduhhhhhh gk sesuai lur...
Untung aja bukan punya saya,untung punya teman yg nebeng...
saya sih gk ngeluh,teman saya ngeluh bangat lur..wkwkwkwkwkwk
klo pesanan saya slalu sesuai kok,lazada mantap",5
Barang nya udh nympe.. Cuma sayang barang nya mini Banget Trus ga sm batu batre nya Lagi.. V gpp lah... Yg penting barang nya bisa kepake.... ,5
