review,rating
"Barang udah sampe, pengemasannya rapi dan real pict. Sukaa bangett . Kurir nya juga ramah. Terimakasih",5
"Mantuuuulll.. aku syuuukaa 😍
barang sesuai,pengiriman cepat,,",5
barngnya baguuss sesuai hrga sesuai gambarrr...next order lagiii makasih lazadaaa,5
secantik ini...thx lazada🤗👌💗,5
keren sepatunya pas 🖤🙏,5
Kualitas ya okee barang bagus trima kasih untuk kurirnya 👍,5
Bagus mantap thanks 🥰,5
recomended bangeeetttt😍,5
"atuh ini mah realll pict bangeeett bahan bagussss,keker dan rapi banget pokonya no cacat..nex time order lg kesini dah 😍😍
maksih banget lazada,maksih seller sudah amanah dan kurir baik ramah 🤗",5
"bagus banget sandalnya , puas banget , kemurahan dengan harga sgtu ,kualitasnya terlalu bagus hehe. pas juga diaku biasanya kekecilan
mksh seller ttep amanah ya😊",5
bagus bagettttzzzzs😍😍😍😍😍😍,5
bagus sesuai harapan,5
"alhamdulillah barang memuaskan, cepat sampai juga 
kurirnya ramah dan ganteng 😁",5
Pokonya puas banget😘,5
"bagus saya biasa nya pakai ukuran 37 tapi 37 paling kecil di toko ini jadi saya harus pesan lagi ukuran 39 baru pas. jdi buat yg biasa pakai ukuran 37 hrus pesan ukuran 38 atau 39 baru pas
",5
"Bagusss,,,Sesuai harganya...thanks ",5
"secantik itu sendal nya, hihi sukaaaaak 

lg pesen lg 1 untuk mamah.  ",5
sandl real pict smga tko nya sellu amnah.. kurirnya jga ramah thank you,5
udh yg kedua kali'y pesan sendal ni.. cuco bgt deh.. g nyesel.. brg realpict bgt,5
"syuka bgt,heelsnya kokoh,bagus,sesuai gambar.makasih lazada.makasih jg buat kurirnya.bakal jd langganan nih",5
selalu ku suka,5
"persaan gua pesan nomor 38 masak yg datng 39, barang gada minuss sihhh cman lebih hati2 aja kalau packingin pesanan orang",5
gapernah kecewa selalu real pic bgt 😍😍😍,5
"pas mau upload fto/video hp eror muncul tulisan lazada tdk menanggapi,ok gpp. yg pnting aku ska bgt ma sandal heelsnya mantuuul.meski psen size 40 yg dtg 39 tp alhamdulillahnya pass...  👌thanks lazada",5
ko warna ny kusam y ad titik titik nya kaya kotor kardus ny udah bolong ngga rapih...biasa ny bugus sekarng saya ag kecewa,5
"barangnya bagus,.",5
"barang bagus,  kualitas nya oke,  harga terjangkau,  biar bintang yg berbicara😘😍",5
"kaya ga berasa pake hils 35rban, parah bagus bangtttt",5
Bagus banget😍,5
"Barangnya real pick , kurir ramah 👍
trmksi lazada ❣️",5
"barang nya sudah sampai, terima kasih  lazada
",5
syukaa banget sandalnya cantikk puas belanja di sini,5
bagusss bangett Riel fixx bahan tebal lagiii,5
realpict bgt deh.. top markotop pkk'y,5
"kecewa , aku kan pengennya warna hitam ko dikirim warna cokelat 
maaf aku kasih bintang 1 , kurirnya ramah 😔",1
heels nya bagus bgt real pic cuman aku salah pilih size ajah. jadi aga kelonggaran sedikit. pilih size sesuai kaki kmu saja,5
"trima kasi kak maaf baru komen sepatunya bagus,nyaman di pake tapi tempat simpan sepatunya kurang rapi kk,kurir nya juga sopan baik",1
"Syukaaa...
Sebagus ini dengan harga segitu. Pengiriman cepat, kurir juga baik. Trima kasih...",5
"barangnya realpict , kurirnya ramah dan pengirimannya juga cepet ! pokonya barang bagus sesuai dengan kenyataan .
terima kasih lazada",5
"walaupun lama bangeettt pngiriman nya... tapi puas dgn yg d dapt, pas barang datng, bner2 real pict bangt, dan heels nya d kira pendekan lah gjtu kaya d gambar, tapi ini lbih tinggi, its oke, barang bagus, smoga nanti kalo udh d pake ga cpet copot alias bikin malu😅 harga murah kualitas lumayan bagus🥰",5
alhamdulillah real pict😍saya suka saya suka❤❤❤terima'kasih Lazada and kurirnya sangat sangat ramah😘,5
"aku kasih bintang 3 karena warnanya GK sesuai pemesanan,barangnya sih bagus",3
mantap sesuai pesanan..trimakasih ya lazada..,5
"Bagus, aku suka ",5
barangny bagus untuk chat seller ramah banget untuk abang kurirny ramah,5
"sepatu nya bagus, cuma ukuran 38 kaya 37 ",5
"MasaAllah bagus banget syukaaaa bangett.
mksh pengiriman y cepattt bangett",5
mantull pkokny👍👍👍👍,5
bagus sekali cucok banget di kaki.sesuai gambar.makasih,5
Pas bangetttt sukaaaa😍😍,5
i likee....  i likeeee....  ukurannya pas sesuai harapan pokonyaa ga nyesel..  mksee yaa,5
"Barangnya udah dateng, and i really like it, bagus banget deh pokoknya, terima kasih Lazada",5
sandal y bagus bngttt aku suka bngttt😍😘,5
senang bagus banget,5
barang ok bagus realpict cuma prosesnya lama,4
"real pick banget dehhh.....
  pokokx ngak nyesel😍😍😍",5
"bahn nya bagus dan tidak mengecewakan,saya sangat suka☺️☺️",5
bagus sekali,5
Keren sukaaa bgttttt,5
mantabb krenn,5
mksih lazada pokonya puas brang udah d terima dengan baik Dan barang nya bagus ,5
barangnya bgus sesuai gmbar,5
bagus banget ,5
tanks lazada syuka banget,5
lumayan bagus tpi gde dikit,5
