review,rating
"Widjesnya cantik sesuai pula sama yg d gambar tapi sayang nya no yg d sandalnya d hapus dan pas d coba menurut ukuran kaki aq sih itu no 38 bkn 39, tapi gpp deh aq ttp syukaaaa ko 🤗",4
kecewa banget pesan apa dikirim apa nysel sumpah,5
sandal nya bagus real pic tapi sayang nya ada cecelan potel gk 100%mulus tapu ggp lah mudah mudahan customerku suka makasih seler ........,5
barang nya sesuai dengan fto mantul poko nya😊,5
bagus banget.... Kuril ya ramah.... makasih ya kak... makasih lazada,5
barangx ok sih kmasanx rapi jg n kurirx jg ramah tp talix kpndean 😞😞,4
"ALHAMDULILLAH, PESANAN SUDAH SAMPAI DENGAN SELAMAT , CEPAT , GAK ADA YANG KURANG DAN SESUAI PESANAN . SEMOGA SEPATUNYA AWET DAN BERKAH DI PAKAI NYA .  KURIR NYA BAIK , PENGIRIMAN CEPAT SEKALI . TERIMA KASIH TOKO PUSPA DAN LAZADA 🙏🏻😍🙏🏻",5
"mantul,, lagi n lagi, barang sesuai ke inginan,, mksh buat toko n jg lazada, + kurir nya. moga sukses ",5
real pic..cuma tali nya kcil bgt y...dan packing nyagak rapi..tp gpp harga sgitu lmyan bgus. istri sya suka.. mksh smua yg trkait..🙏🙏,5
sumpah bagus banget real pict pokoknya mah..... tp sayang k gedean harusnya no 37 tp gpp ak puas... thx lazada,5
aku beli wedges di Olshop ini yang tadinya buat lebaran. eh gajadi pake wedges baru Krn seller nya ngirim nomor ukuran yang gak aku pesan.. size nya di lelehin dong..tapi tetep ko keliatan aku pesan uk 40 yg di kirim 39..dan gak muat d kaki aku.ini seller bener bener curang. jangan mau belanja disini.. dia ngebintuin rezeki nya sendiri dgn cara yg curang . Untung gak sbrp tapi ngejelekin tokonya sendiri. hati hati jgn ada yg mau belanja disini. cuman di toko ini pertama beli kecewa parah . jangan mau pokonya nanti nyesel di chat gak di bales cuma di baca doang ih Sudi. toko apaan ga amanah sama aja ngerampok,1
brang nya sihh bagus iya tpi sayang aku kecewa bngt masa gk sama tali nya mw pke nya gimana kalo gk ada talinya 😠 lain kali jualan nya yg jujur donk 😠😠,1
alhamdulillah real pict .. makasih seller ramah & amanah 🙏 ,5
sangat tidak sesuai dengan pesanan kecewa sepatu nya bukan yang saya pesan...ko bisa yah gak teliti gitu aneh ko  jualan  begitu.sepatu yang datang apa yg di pesan apa aneh  gimana caranya klo pengen di tukar lg keseeeeelllll,1
"maaf baru beri ulasan,soalnga baru ada waktu pegang hp. Barang bagus banget,terbungkus rapi. Bapak kurirnya ramah dan sopan,terima kasih lazada🙏",5
trimakasih barang sesuay gambar.. top deh poko nya.. abang kurir nya baik dan udah langganan sopan juga amanah,5
maaf ya lain kali klu ngebungkus barang tuh harus di cek.masa sepatunya ada yang kena roko apa yng bungkus nya lgi pda ngeroko.lain kali tolong perhatiin lagi mna bukan punya saya.kecewa bangettt,5
"maaf baru ksih ulasan, brang dh smpai, sepatu nya bagus cman aga ke gedean tp gpp lah, kurir juga ramah pngirimn cpat, mkasih lazada dn kurir nya. ",5
"makasih barangnya bagus banget aku suka pokonya Lazada makin di depan deh kulir nya jga ramah 😊😊😊
",5
paket ny sudah datang  dah lama aku menunggu ahir ny paket nya nyape juga .sepatu nya sama sesuay  gambar ny . cuman kecewa dari tali nya kecilan .tapi gak app lah aku suka sepatu ny makasih lazada,5
"paket datang hati senang 
karena sendal sepatunya bagus banget real 
sesuai gambar
terima kasih lazada",5
