review,rating
"Terima kasih Lazada, barang sudah saya terima, kualitas bagus, harga murah, warna sesuai pesanan. belanja puas. ",5
"alhmdulilah nyampe jg  🤲brgnya cuco banget top markotop dech pokonya,walaupun kirimannya agak lama tpi puas dech belanjanya GK ngecewain kemasannya rapi aman, bang kurirnya langganan lagi makasih sukses tuk Lazada... is the best 👍👍🤩⭐⭐⭐⭐⭐",5
Sangat bagus helm nya.. Thanks  all.. Kurirnya juga amanah sekali.. Very good👍👍👍👍👍,5
"keren sesuai pesanan... 
",5
pengiriman ke 2 top markotop..,5
Ada dikit Cedera .. Tp ga apa2 yg penting punya helm,4
kerenlah....,5
"packing bagus....
barang bagus....
kurir ramah",5
"barang sudah datang dg keadaan baik.. 
barang bagus... 
pengirimnya ramah.. 
trm kasih... 
👍👍👍👍👍",5
"tidak sesuai pesanan yg datang warna putih semua padahal pesannya 3 lain2 sdh datangnya luama e... dtg warna sama semua 
",5
"Barangnya ringan.
Lumayanlah dengan harga segitu free ongkir.
Pengirimannya sesuai estimasi.
Thanks Lazada.",3
"mantab 100%
sesuai gambar dan walaupun pengiriman dari luar
negeri tapi pengiriman cepat..
lanjutkan..!",5
helm Sy sdh diterima to tdk sesuai dgn warna nya Sy kecewa banget tolong kalau tdk ada warna nya  harus diberitahukan supaya pembeli/pemesan bisa memilih pada pilihan ke dua nya  ,5
mantaaap...,5
"ok, barang dtng dlm keadaan baik
cuma ada penyok sedikit tp gak masalah..
thanks..",4
👍👍 terima kasih,5
Packing sih oke tapi ko banyak penyoknya ya? Entah dari pengiriman entah dari tokonya ,3
Packing aman dan bagus,5
helm nya bagus murah lagi,5
mantap...makasih...sukses selalu lazada,5
sangat bagus sesuai pesanan,5
Barang sesuai deskripsi 👍,5
barangnya bagus sesuai gambar walaupun sedikit penyok👍,5
"alhamdulilah barang bagus sesuai pesanan datang lebih awal dari waktu perkiraan, makasih lazada",5
mantapz,5
"good job
",5
mantap,5
"barang keterima sesuai waktu, barang matap....puas ",5
bagus,5
baik ,4
