review,rating
"Keduaaaa kalinya aku beli disini cepet banget pengirimannya ownernya ramah banget , dan enak banget seprainyaa , luvvv banget ♥️♥️♥️♥️",5
good quality ,5
baguss sesuai pesanan 👍👍👍,5
"barang nya tepat waktu, bagus , warna nya sesuai tidak mengecewakan trimakasih ...kurirnya jga ramah .",5
"mantapp..
insyaallah nanti order lagi .🥰🥰🥰😘😘",5
Barang yg di pesen udah dateng tpi belum di coba abang kurir nya baik ,4
real pict bagus sesuai pesanan,5
Bagus bgt bahanya adem ,5
seprainya cantik sesuai harga,5
barang bagus..,5
Alhamdulillah....trimah kasih lasada barangnya bagus kurirnya jg baik sesuai harapan .....smoga kedepan lebih baik lagi semangat,5
selalu jd seprei favorite....bahannya lembut tdk berbulu warnanya keren keren...,5
bangus banget aku syuka,5
"terimakasih  bagus dan adem ,
",5
Sepreynya bagus bahannya adem okd pokoknya. ,5
"bagus.... kain tebal jua... sejuk dan agak mengkilap...
di rekomendasikan....",5
bahan ch lumayan warna ny gk sm kaya gambar aku tuh pengen ny kuning golkar cerah yg datang kunyit busuk y sudah lh,5
"penjuak ramah, produk bagus dan adem bahannya.
kurir ramah",5
bgus alhamdulillah😍,5
"sudah dtg barangnya kmrn,, syuka banget sama spreinya
thx lazada",5
"bahan nya tipiiss dgn harga segtu lumyan mahal,,

",2
keren spreinya real pict.lembut juga.,5
Udah sampe paketnya makasih yah real pict bahannya embos asli syukakk ☺️,5
mantap bro..,5
barang sesuai pesanan,5
"sepreinya bagus,realpict👍",5
realpict.thx,5
baru beri komen kain lumayan.lembut dan baru di cuci.& tidak  luntur ,4
barang bagus cuman warna nya gk secerah di gambar tapii ttp bagus,5
"terimakasihh
",5
Makasih sudah sampei sesuai pesenan datang nya,5
muantapp pake bangett,5
"sumpahhh bagus banget, yg beli GK bakal nyesel dehh. bagus banget. sesuai dengan gambarrr. ",5
seprei nya bagus bngt mksihh yaaaa 🤩,5
oke..sama dgn yg merah. ungunya blm saya pakai,5
ok barang  seprai nya sesuai..istri saya suka warna Pilihanny,5
"sukaaa...
semoga bner"" g luntur .
mksih lazada, 
next order lgi yaa wrna lain.. ",5
bahan bagus adem lagi d.pke tpi gk smpet foto,5
bgus sih... cmn gakbtw luntur atau atau TDK klw di cuci,5
seprei nya bagus next order lagi,5
barang bagus ,3
"Ok Alhamdulillah barang sampai dgn Amaan,Paking Rapi...kurirr Ramah.",4
"sepreinya bagus , cuman kainnya agak tipis, sesuai dengan harganya 😊",5
mantullll!!!!!real pict bangettt bagusss bangettt,5
Bahannya bagus adem. Terima kasih semuanya.,5
"real pict,,,,tq lazada... ",5
maaantulllll,5
barangnya ok,5
"bagus bgd,lmbut..gk sbr mw mesn lgi
",5
"barang datang sesuai gambar,kurirnya juga ramah tapi sayang tali guling nya kurang atu😪",3
"Aku suka warnanya cerah , adem dipakainya ",3
puas...,5
Bagus,5
mantul,5
oke deh,5
"bagussss

",4
bagus,4
bagusssss,5
"bagus.
",5
