review,rating
barang sampai dg paking rapih,5
dikemas dg rapih dan aman mksih,5
"barang kualitas ok..saya uda pake tahunan nivea moistirurizer yg ada SPFnya..gak pernah beli online tapi sekrg tiap kali carrefour uda gak jual lagi,makanya beli online",4
paketnya dah sampei barang sesuai gambar pakingnya rapih jg kurirnya ramah makasih lazada,5
barang Cpt sampai..,5
Alhamdulillah sesuai pesanan,5
lumayan,5
"respon seller cepet banget, ramah gak nyesel belanja disini, recomen banget❤",5
pengiriman oke,5
barang sudah sampai tapi belum di coba semoga cocok dan ada hasilnya ,5
"coba dulu, klo cocok nnti bli lgi",5
"barang sesuai gambar, kurirnya ramah",5
sesuai gambar🖒,5
mantap,5
"
",5
okkk,5
ori,5
