review,rating
"barang ok. ga kecewa.
bisa liat pertandingan liga ingris.
dan juga seputar bursa transfer pemain",5
makasih lazada paket nya udh datang semoga cocok bwt rambut aku ,5
"shamponya sudah sampai packing rapih nggk bikin kecewa, smoga cocok terus manjur, klo cocok di kpala nanti pasti kmbali ksini lgi ",5
alhamdulilah sampoonya sdh sy terima semoga sampoonya bagus bisa mempercepat tumbuhnya rambut sy makasih lazada dan makasih kurir nya ramah,5
kemasan bagus dan barang sesuai pesanan.trimasih seler dn lazada,3
terima kasih,5
"bagus, packing rapi, barang ori, baunya wangi, sesuai pesanan, barang datang sesuia estimasi...",5
mksh lazada paket nya udah datang....ramah banget buat si mas nya....,5
👍👍,5
"mantap sesuai pesanan,tapi pengiriman nya lama haha,,thx lazada",5
Paket sudah mendarat terima kasih selera/tokonya dan Lazada kurirnya ramah udah langganan 👍,5
tks lazada kurirnya ramah,4
smg cocok ...,5
"terimakasih barang sudah sampai ,semoga hasil nya bagus dan cocok
",5
langganan aku Alhamdulillah hasilnya tidak mengecewakan rambutnya lembut,5
"Sesuai dgn yg d order,hanya saja estimasi pengiriman lumayan lama.thx",4
"alhamdulilah barang nya sudah sampai dengan rapi, moga ada hasilnya, trimaksih produknya",5
barang udah diterima dg baik..kurir ramah..barang diantar sngat cpt..trmksh lazzada??,5
wanginya kusuka de,5
sampho ny bgus sy cocok,5
"saya minta shampo yg mengurangi rontok yg datang yang nyuburin🙄,tapi gak apa deh.",5
terima kasih shmpo yg dipesan sdh sampai mksi ladaza kurirny baik ramah😊,4
mantap dah..,5
Ok,5
