review,rating
"Alhamdulillah barang dh nyampe dgn selamat...mdh2n awet,,,top markotop...mksh lazada ",5
"makasih lazada barang barusan nyampek , pengiriman cpt dan pakingnya juga rapi .belum di coba , semoga awet.",5
"saya sangat kecewa sebagai pesanan ini...
buruuuuuuuuuuk sangat........",1
alhamdulillah barangnya udah sampai dg selamat dan sesuai gambar di tambah lgi kurirnya ramah dan murah senyum,5
"barangnya bagus ringan gag pakai colok listrik lagi

mati lampu mau cukur gag pusing.

bisa cukur kapan saja, dimana saja.

recommended seller.",5
barang bagus sesuai pesanan thanks buat seller dan lazada.buat kurir ninja is the best pokoknya,5
"pakek jing rapi, doble kardus dasar plastik, barang sama dg yg di katalog, pengiriman tepat sesuai estimasi, ketajaman agak kurang sih



",5
"terima kasih banyak,, mulai dari packing produk sangat memuaskan dan TDK ada sama sekali cacatnya.. 
satu proses pengiriman lbih ditingkatkan lg..",5
brg sudh di trima. alhm dulilh sht bngt brg nya. sesuai gambar pokoke mntaaaap. mudh2n awet. mksi lazada. ,5
"maaf ulasan nya aga lambat  tapi barang nya ok banget udah dicoba beberapa kali hasil nya sangat memuaskan  trims lazada..

",5
Alhamdulillah barang nya sdh saya terima dengan baik dan alhamdulillah barang nya bagus sudah saya coba untuk motong rambut bagus dan tajam semoga awet terima kasih lazada ,5
"ini barang ko bagus banget ya,pakai cukur 5-6 kepala ngga habis habis batrai nya
pokok nya recommended banget",5
mantap boss ku semua nya pungsi dengan normal pisau tajem cuman blm di coba buat mangkas orang baru ngetes beberapa helai doang tapi jreeeeng langsung potong  recomonded pokok nya..? ,5
"mantap !!! barang udah di terima pisaunya tajam langsung test potong rambut temen wah mantap banget sekarang udah hampir 1bulan udah berapa kepala rambutnya,saya potong pake alat ini,hasilnya selalu memuaskan tak ada kendala sama sekali ,pengiriman cepat kurirnya ramah udah langganan,..",5
"mantulll gan terimah kasih lazada..
 pengiriman sangat cepat 3 hari sampai dan untuk kurir ramah💯👍👍👍👍",5
"barang sudah sampe berfungsi semua blm sempet nyoba mudah""an awet dan tajem

",5
"Barang nya lumayan bagus, tdi udh sempet testimony cukur bulu kaki ternyata Tajam.. Smoga barang nya awet aamiin. Untuk packing rapih dan aman, untuk pengiriman nya Luarbiasa kmrn pagi pesan eh bsok sore nya lngsung sampe barang nya. Maksih Lazada dan seller Indo Electric. ",5
mkch lazada & kurir JNE barang sudah aq terima sesuai pesanan wlpn lambat datang nya tpi is ok mantap tank bro,5
"kemasannya rapih dan bagus, paketnya lebih cepat sampainya dari yg di perkirakan. barangnya bagus sesuai dgn pesanan",5
"sudah tiga kali belanja d sini barang sesuai pesanan packing aman sejahtera,,nyampenya cepet,kurirnya luar biasa ,,, pokoknya g kecoalah,,",5
"sory baru kasih ulasan....barang sdh sampai..sangat bagus..sdh dicoba dan berfungsi semuanya...trims bt kurir ninja,seller dan lazada...sangat memuaskan smuanya",5
Barang bgus sangat...apakah untuk penggunaan pertama kali harus d charge dlu min 3 smpe 5 jam sperti di buku petunjuk,5
mantab barangnya....,5
Mantap gan sesuai iklan dengan poto barang mantul penjaul ny juga amanah moga makin berkah gan,5
mantaap...udh ordr ke 5 x nya...maasih trpercaya..,5
 ma ntoe l ,5
bagus.paking rapih..tapi blm di coba mudah2 awet..pengiriman y cepat..kurir y jg ramah..,5
"lumayan bagus
",3
"seller recommended..mantap
muadah2han selalu amanah",5
👍👍👍👍👍👌👌👌👌👌,5
Barangnya mantap dan cepat pengirimannya👍,5
mantap bray,5
barang dh nyamp terimakasih lajada,5
"ga ngecewain hasilnya
bikin fade juga lebih bagus ",5
sangat memuaskan cocok sama yg digambarnya. langsung dites lumayan tajam . mantap..,5
"mesin nya bagus,n pengirimanya cepat,barang sesuai",5
"barang bagus puas  n penerimaan cepat
",5
"barang nya Bagus, sesuai dgn yg ada di aplikasi,mksh lazada 👍😊",5
jangan ragu deh beli di sini..,5
barang suda di terima bagus paket rapi makasi,4
mantap x barang nya kak,5
biar bintang yang berbicara 😅,5
matap ......dh barang y......makasih lazada....,5
Alhamduima paket sudah di terima dengan baik tidak ada kendala barang nya sesuai dengan pesanan,5
sdh di coba tajam bunyinya jg halus mantap pokoknya,5
semua normal tapi blom di coba ,5
mantab sesuai dngn dikripsi barang nya.,5
muuuaanntap...mksh lazada!!!!!.,5
"pesanan udah mendarat sngat cepat, sesuai pesanan, dan sngat memuaskan, kurir nya juga ramah,",5
barang mantap,5
"barang nya matap, sesuai pesanan.trimakasih lazada,",5
"suara mesin halus,,mantap da pokoknya..hasilnya juga memuaskan,,mantap kemei..",5
"mf telat ngasih ulasan...barangnya bagus banget, makasih lazada n seller.",5
mantap 👍🏼👍🏻👍🏼👍🏼👍🏼👍🏼,5
"produk bagus, ini pembelian kedua untuk produk yg sama 👍",5
bagus.. super..,5
siiiiiiippppppp,5
mantap sesuai gambar . makasih tapi lom di coba ,5
"barang mantap bsQiu, puas banget terimakasih lazada. ",5
mata kliper nya kok goyang2 gan ,5
tenaganya ok piso juga tajam thanks LAZ,5
ter mantull,5
"meski agak lama pengiriman nya..tapi barang puas,mantap..terimakasih",5
"goooood , lebih cepet dr perkiraan , thanks Lazada",5
"Alhamdulillah barang sampai dengan selamat,sangat puas,barang baghossss👍👍👍terima kasihh ",5
"ok bagus
",5
"Barang sesuai, tajam, kemasan rapih, kurir ramah, terimakasih lazada. ",5
sesuai ekspektasi. terimakasih lazada,5
barang bagus,5
pengiriman paket cepat..barang bagus tpi belum d coba,5
mantap...kiriman cepat...barang sesuai pesanan!,5
maaaaaaantullll,5
maaf bru ksih ulasan...barang sdh sampai dg cepat real pick,5
"barangnya ok semoga awet, untuk p.kurirnya ramah thanks 
",5
"barang mantap...fekingnya bagus sangat,gx kecewa deh beli di toko ini ....sangat puas",5
sangat bagus dan tajam pokoknya mantap,5
Barang udah sampai bagus ,5
mantap sipppppppppppppp,5
ok pokoknya. ,5
"Barang bagus,m memuaskan
",4
"sejauh ini lumayan tajam sdh dua kali pake,  cuma cepet panas mesinya",5
mantap barangnya bagus ternyta enteng produk kemei ,5
sesuai pesanan.kwalitas jempol ,5
"bagusss, puas sma barangnya mesin cukurnya tajam 👍👍👍",5
mantap👍👍👍👍👍👍,5
"Batrenya awet, mantull..",5
biar bintang yg berbicara..  ,5
sabgat bagus,5
barang bagus.pengirimn cepat trimaksh ,5
Paket dah d terima barang berpungsi dgn baik pisau tajam,5
sesuai pesanan.. semoga awet,5
"Barang sampai sesuai pesanan memuaskan
",5
"mantu produk ini
",5
good,5
belum di coba overall oke barang mulu box mulus thanks semoga awet buat usaha,5
Mantap 🤟🤟 rekomend,5
"paket udah smpai, thank you lazada dan seller,,,",5
"thx lazada..  barang sudah sampai dengan selamat, pengiriman cepat...  nice lahhh",5
"Barang telah diterima dgn baik dan cepat, sesuai pesanan yg diinginkan. ",5
pisau cukurnya tajam banget. sy suka dan senang. ,5
