review,rating
"Pengiriman cepat (di luar perkiraan), Packing O.K, barangnya menarik dan berkualitas sesuai harga, cocok buat di kamar mandi, terimakasih Lazada",5
"Pengiriman lmyan cepat,packing rapi bgt,barang ny keren,,thnks lazada thx penjual thx juga pengirim ny,,,",4
barang ok .........................................................................................................................,3
"Batang nya mantap,,",5
"sangat baik, sesuai sama yg d gambar dan tidak kecewa ",5
Bagus ...awet ,5
barang dh mendarat.. kereennn bingiitt,5
"barang sdah diterima,makasih lazada",4
"Brg sudah di terima,
Brg bagus dgn harga ekonomis.",5
Trim' lazada paket da nyampe' dengan baik,5
"tampilan bagus, menarik, awet",5
bagus,5
"bagus
",5
Bu/pa' sy mau tanya utk buka kran shower nya dmna N keluarnya kencang nga shower nya.,4
Packing rapi... N lengkap.. Tks lazada,5
"Barang bagus, harga lebih murah dari toko sebelah, thx Lazada",5
Barang bagus dah terpasang baik troma,5
Barang bagus dah terpasang baik troma,5
