review,rating
wawawaw sumph bgus bngt mksih lazada sukses trus buat toko nyh ...kurir nyh baik tpi baru lgi yh smoga kurir nyh ga gunta ganti mulu yh👍😊👌,5
like☺️barang nya baguus sesuai pict..kurir nya baiik kena sudah langganan..,5
barang nya relpick aku suka ,5
"gendongan nya bagus bgt sya suka udh 2x order di sini, tp syang nya gampang luntur,pengiriman nya juga lama 1 mnggu baru smpe,tp gpp mksh M.R. Tama shop",5
"yay sudah sudah sampai. barangnya oke banget, pengurimannya cepat sakalii 👍👍😁 kemarin pesan tadi sore dah datang.. pesan warna coklat tapi stock kosong, alhmdllh diinfokan sebelum dikirim.. good jobb. thankyouu",5
paket sudah dtg.. alhmdulilah baguss 🥰🥰,5
memuaskn sexali....,5
Real pict aga tebal ,5
"barang dah dtrima,bhn agak ksr,mksi lazada",5
"Realpict bgt saya suka , kurir nya juga udah langganan ramah , mkasih lazada 
",5
makasih ka 😍😍😍😍seler amanah warna kosong langsung ngompirmasi ke plnggan langsung ,5
"bagus banget pokonya cepet banget ngirimnya

",5
Barang sudah di terima meski kurir ny sedikit bingung karna belum tw daerah sini tpi alhmdulilah nyampe jga dan sesuai harga barang bagus☺️,5
The best,5
"Brang real pick,,,,",5
produk bagus thank bwt lazada dan selernya,5
sangat sangat sangat puas dengan barang ny realfict banget..😘😘,5
biar kan bintang yg berbicara,5
"Realpict,  suka bgt pokonya trms lazada dn abang kurir 😬",5
Murah tapi gak murahan bahan tebal pokonya recomended❤️,5
real pict👍👍👍😍😍😍,5
bagus,5
"bagus, pengiriman cepatt sekali",5
"barang nya bagus,cepet samapi..
ngm mengecewakan",5
mksih paketnya dh nyampe,5
"makasih lazada
saya puas
brng nya ok",5
"Matulll banget..
",5
gendongannya bagus real pict,5
kerend bgs,5
"baru kali ini kcwa, warna sm gambar sama cuma yg sy pesan dsni kan gendongan samping bukan gendongan depan",2
bagus bangetzz sesuai gambar nya ..top dechh tp prngiriman nya lama !!,5
mantul,5
pengiriman cepat brang sesuai gambar bahan tebal ,4
ka ko barang nya udah ada di terima.tapi padahal belum di terima,5
"Barang nya bagus, belum pernah kecewa belanja di lazada",5
"Barang sudh sampai sesuai gambar,maaf gk bisa foto,,trimakash semoga laris manis 🙏🙏",5
bagus barangnya lucu ,5
bagus.. lucu..,5
👍👍cucook,5
good ,5
